ACSI: American Customer Satisfaction Core Alpha ETF
Inception Date: 2016-11-01
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	67945
Shares Outstanding: 1575000
Expense Ratio: 0.66%
Tracks This Index: American Customer Satisfaction Investable Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Exponential ETFs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ACSI


Holding,Symbol,Weighting
"Amazon.com, Inc.",AMZN,8.33%
Apple Inc.,AAPL,7.95%
"Etsy, Inc.",ETSY,5.06%
Charles Schwab Corporation,SCHW,4.9%
Hilton Worldwide Holdings Inc,HLT,4.57%
Southwest Airlines Co.,LUV,4.33%
Alphabet Inc. Class C,GOOG,4.03%
UnitedHealth Group Incorporated,UNH,3.68%
"PepsiCo, Inc.",PEP,3.59%
FedEx Corporation,FDX,3.52%
Hershey Company,HSY,3.52%
Costco Wholesale Corporation,COST,3.46%
Humana Inc.,HUM,3.28%
Vonage Holdings Corp.,VG,2.97%
Walt Disney Company,DIS,2.78%
"MetLife, Inc.",MET,2.77%
"T-Mobile US, Inc.",TMUS,2.77%
Berkshire Hathaway Inc. Class B,BRK.B,2.74%
"L Brands, Inc.",LB,2.62%
"Netflix, Inc.",NFLX,2.33%
"Pinterest, Inc. Class A",PINS,2.33%
Verizon Communications Inc.,VZ,2.29%
"Chipotle Mexican Grill, Inc.",CMG,2.03%
Ulta Beauty Inc,ULTA,1.86%
Walmart Inc.,WMT,1.7%
Clorox Company,CLX,1.58%
Capital One Financial Corporation,COF,1.48%
JPMorgan Chase & Co.,JPM,1.46%
Levi Strauss & Co. Class A,LEVI,1.29%
"CenterPoint Energy, Inc.",CNP,1.22%
"NextEra Energy, Inc.",NEE,1.22%
Microsoft Corporation,MSFT,1.21%
Atmos Energy Corporation,ATO,1.13%
First American Funds Inc X Government Obligations Fund,FGXXX,0.03%
U.S. Dollar,Other,-0.02%
