ACWV: iShares Edge MSCI Min Vol Global ETF
Inception Date: 2011-10-18
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	5843670
Shares Outstanding: 60500000
Expense Ratio: 0.2%
Tracks This Index: MSCI All Country World Minimum Volatility Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ACWV


Holding,Symbol,Weighting
Roche Holding Ltd,ROG,1.52%
Verizon Communications Inc.,VZ,1.42%
Nestle S.A.,NESN,1.28%
Newmont Corporation,NEM,1.21%
"NextEra Energy, Inc.",NEE,1.13%
"Waste Management, Inc.",WM,1.13%
"Merck & Co., Inc.",MRK,1.12%
"PepsiCo, Inc.",PEP,1.06%
Visa Inc. Class A,V,1.05%
"Regeneron Pharmaceuticals, Inc.",REGN,1.05%
McDonald\'s Corporation,MCD,1.02%
Walmart Inc.,WMT,0.98%
Deutsche Telekom AG,DTE,0.98%
Johnson & Johnson,JNJ,0.96%
Barrick Gold Corporation,ABX,0.91%
Keysight Technologies Inc,KEYS,0.86%
Dollar General Corporation,DG,0.84%
"Gilead Sciences, Inc.",GILD,0.84%
Franco-Nevada Corporation,FNV,0.84%
"Consolidated Edison, Inc.",ED,0.83%
Eli Lilly and Company,LLY,0.81%
Vertex Pharmaceuticals Incorporated,VRTX,0.79%
Xcel Energy Inc.,XEL,0.76%
Southern Company,SO,0.76%
"Republic Services, Inc.",RSG,0.75%
WEC Energy Group Inc,WEC,0.75%
Procter & Gamble Company,PG,0.74%
Duke Energy Corporation,DUK,0.73%
Novo Nordisk A/S Class B,NOVO.B,0.72%
"Motorola Solutions, Inc.",MSI,0.71%
"Paychex, Inc.",PAYX,0.69%
Public Storage,PSA,0.65%
Coloplast A/S Class B,COLO.B,0.64%
Keyence Corporation,6861,0.63%
"Cisco Systems, Inc.",CSCO,0.62%
"Chugai Pharmaceutical Co., Ltd.",4519,0.62%
Agnico Eagle Mines Limited,AEM,0.61%
"Tyler Technologies, Inc.",TYL,0.61%
Hershey Company,HSY,0.6%
"Oriental Land Co., Ltd.",4661,0.6%
Liberty Broadband Corp. Class C,LBRDK,0.59%
Intact Financial Corporation,IFC,0.58%
Xiaomi Corp. Class B,1810,0.58%
Nippon Telegraph and Telephone Corporation,9432,0.57%
Clorox Company,CLX,0.55%
"Secom Co., Ltd.",9735,0.55%
Electronic Arts Inc.,EA,0.55%
Starbucks Corporation,SBUX,0.54%
