ACWX: iShares MSCI ACWI ex U.S. ETF
Inception Date: 2008-03-26
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	3760210
Shares Outstanding: 70400000
Expense Ratio: 0.32%
Tracks This Index: MSCI All Country World ex-U.S. Index 
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ACWX


Holding,Symbol,Weighting
iShares MSCI India ETF,INDA,2.48%
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,1.81%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,1.77%
Tencent Holdings Ltd.,700,1.63%
"Samsung Electronics Co., Ltd.",005930,1.4%
Nestle S.A.,NESN,1.32%
Roche Holding Ltd,ROG,0.96%
Novartis AG,NOVN,0.83%
ASML Holding NV,ASML,0.82%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.69%
Unilever PLC,ULVR,0.64%
Toyota Motor Corp.,7203,0.64%
AIA Group Limited,1299,0.59%
SAP SE,SAP,0.54%
Meituan Class B,3690,0.53%
AstraZeneca PLC,AZN,0.52%
"Shopify, Inc. Class A",SHOP,0.5%
Sony Corporation,6758,0.49%
SoftBank Group Corp.,9984,0.48%
Novo Nordisk A/S Class B,NOVO.B,0.48%
Royal Bank of Canada,RY,0.46%
Commonwealth Bank of Australia,CBA,0.44%
Siemens AG,SIE,0.43%
Sanofi,SAN,0.43%
Total SE,FP,0.43%
HSBC Holdings Plc,HSBA,0.42%
Toronto-Dominion Bank,TD,0.4%
Allianz SE,ALV,0.4%
Keyence Corporation,6861,0.4%
CSL Limited,CSL,0.4%
BHP Group Ltd,BHP,0.38%
L\'Oreal SA,OR,0.38%
Diageo plc,DGE,0.38%
GlaxoSmithKline plc,GSK,0.37%
Naspers Limited Class N,NPN,0.35%
Iberdrola SA,IBE,0.34%
British American Tobacco p.l.c.,BATS,0.34%
Rio Tinto plc,RIO,0.34%
Enel SpA,ENEL,0.32%
Air Liquide SA,AI,0.31%
Schneider Electric SE,SU,0.31%
"JD.com, Inc. Sponsored ADR Class A",JD,0.3%
Canadian National Railway Company,CNR,0.3%
China Construction Bank Corporation Class H,939,0.29%
Royal Dutch Shell Plc Class A,RDSA,0.29%
BASF SE,BAS,0.29%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,0.28%
BP p.l.c.,BP,0.28%
"Nintendo Co., Ltd.",7974,0.28%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.27%
adidas AG,ADS,0.27%
Hong Kong Exchanges & Clearing Ltd.,388,0.26%
Airbus SE,AIR,0.26%
Bank of Nova Scotia,BNS,0.26%
Royal Dutch Shell Plc Class B,RDSB,0.25%
Zurich Insurance Group Ltd,ZURN,0.25%
Vale S.A.,VALE3,0.25%
Enbridge Inc.,ENB,0.25%
Reckitt Benckiser Group plc,RB,0.25%
"Baidu, Inc. Sponsored ADR Class A",BIDU,0.24%
NIO Inc. Sponsored ADR Class A,NIO,0.24%
Deutsche Telekom AG,DTE,0.24%
Daimler AG,DAI,0.24%
SK hynix Inc,000660,0.24%
Shin-Etsu Chemical Co Ltd,4063,0.24%
Xiaomi Corp. Class B,1810,0.24%
Bayer AG,BAYN,0.23%
BNP Paribas SA Class A,BNP,0.23%
Takeda Pharmaceutical Co. Ltd.,4502,0.23%
"Daiichi Sankyo Company, Limited",4568,0.23%
Tokyo Electron Ltd.,8035,0.22%
Nidec Corporation,6594,0.22%
BHP Group Plc,BHP,0.22%
Banco Santander S.A.,SAN,0.22%
National Australia Bank Limited,NAB,0.22%
"Recruit Holdings Co., Ltd.",6098,0.22%
"DAIKIN INDUSTRIES, LTD.",6367,0.22%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.21%
Prosus N.V. Class N,PRX,0.21%
Westpac Banking Corporation,WBC,0.21%
Anheuser-Busch InBev SA/NV,ABI,0.21%
Kering SA,KER,0.21%
VINCI SA,DG,0.21%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.21%
"FAST RETAILING CO., LTD.",9983,0.21%
Brookfield Asset Management Inc. Class A,BAM.A,0.21%
UBS Group AG,UBSG,0.2%
ABB Ltd.,ABBN,0.2%
"Murata Manufacturing Co., Ltd.",6981,0.2%
Infineon Technologies AG,IFX,0.2%
Australia and New Zealand Banking Group Limited,ANZ,0.2%
HOYA CORPORATION,7741,0.2%
Lonza Group AG,LONN,0.19%
Vestas Wind Systems A/S,VWS,0.19%
KDDI Corporation,9433,0.19%
Safran S.A.,SAF,0.19%
RELX PLC,REL,0.19%
Bank of Montreal,BMO,0.19%
Deutsche Post AG,DPW,0.19%
Prudential plc,PRU,0.19%
Koninklijke Philips N.V.,PHIA,0.19%
AXA SA,CS,0.18%
Vodafone Group Plc,VOD,0.18%
Compagnie Financiere Richemont SA,CFR,0.18%
Canadian Pacific Railway Limited,CP,0.18%
"Honda Motor Co., Ltd.",7267,0.18%
Fanuc Corporation,6954,0.18%
EssilorLuxottica SA,EL,0.18%
Adyen NV,ADYEN,0.17%
Wesfarmers Limited,WES,0.17%
"NetEase, Inc. Sponsored ADR",NTES,0.16%
London Stock Exchange Group plc,LSE,0.16%
"M3, Inc.",2413,0.16%
Barrick Gold Corporation,ABX,0.16%
Wuxi Biologics (Cayman) Inc.,2269,0.16%
National Grid plc,NG,0.16%
Anglo American plc,AAL,0.16%
Pernod Ricard SA,RI,0.16%
MediaTek Inc,2454,0.16%
Munich Reinsurance Company,MUV2,0.16%
Danone SA,BN,0.16%
"Hon Hai Precision Industry Co., Ltd.",2317,0.16%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.15%
Canadian Imperial Bank of Commerce,CM,0.15%
Sika AG,SIKA,0.15%
Itochu Corporation,8001,0.15%
Orsted,ORSTED,0.15%
Sberbank Russia PJSC,SBER,0.15%
ING Groep NV,INGA,0.15%
Intesa Sanpaolo S.p.A.,ISP,0.15%
Woolworths Group Ltd,WOW,0.15%
"Hitachi,Ltd.",6501,0.15%
Industrial and Commercial Bank of China Limited Class H,1398,0.15%
Givaudan SA,GIVN,0.15%
TC Energy Corporation,TRP,0.15%
Vonovia SE,VNA,0.15%
U.S. Dollar,Other,0.14%
Volkswagen AG Pref,VOW3,0.14%
Macquarie Group Limited,MQG,0.14%
SoftBank Corp.,9434,0.14%
"Chugai Pharmaceutical Co., Ltd.",4519,0.14%
China Mobile Limited,941,0.14%
Manulife Financial Corporation,MFC,0.14%
LG Chem Ltd.,051910,0.14%
"Industria de Diseno Textil, S.A.",ITX,0.14%
SMC Corporation,6273,0.14%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.14%
Barclays PLC,BARC,0.14%
Lloyds Banking Group plc,LLOY,0.14%
DSV Panalpina A/S,DSV,0.14%
Kao Corp.,4452,0.14%
Experian PLC,EXPN,0.14%
DBS Group Holdings Ltd,D05,0.13%
Hermes International SCA,RMS,0.13%
Glencore plc,GLEN,0.13%
Nippon Telegraph and Telephone Corporation,9432,0.13%
Amadeus IT Group SA Class A,AMS,0.13%
CRH Plc,CRG,0.13%
NAVER Corp.,035420,0.13%
"Tokio Marine Holdings, Inc.",8766,0.13%
"Samsung SDI Co., Ltd",006400,0.13%
Atlas Copco AB Class A,ATCO.A,0.13%
Compass Group PLC,CPG,0.13%
"Celltrion, Inc.",068270,0.13%
Investor AB Class B,INVE.B,0.13%
"Oriental Land Co., Ltd.",4661,0.13%
Volvo AB Class B,VOLV.B,0.13%
Deutsche Boerse AG,DB1,0.13%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.13%
"Alcon, Inc.",ALC,0.13%
Flutter Entertainment Plc,FLTR,0.13%
Mitsubishi Corporation,8058,0.13%
Rio Tinto Limited,RIO,0.12%
Credit Suisse Group AG,CSGN,0.12%
"Mizuho Financial Group, Inc.",8411,0.12%
Tesco PLC,TSCO,0.12%
Ferrari NV,RACE,0.12%
Alimentation Couche-Tard Inc. Class B,ATD.B,0.12%
Koninklijke DSM N.V.,DSM,0.12%
"Mitsui & Co.,Ltd",8031,0.12%
Fortescue Metals Group Ltd,FMG,0.12%
Koninklijke Ahold Delhaize N.V.,AD,0.12%
Neste Corporation,NESTE,0.12%
Gazprom PJSC Sponsored ADR,OGZD,0.11%
TAL Education Group Sponsored ADR Class A,TAL,0.11%
Itau Unibanco Holding SA Pfd,ITUB4,0.11%
Mitsubishi Electric Corp.,6503,0.11%
Ferguson Plc,FERG,0.11%
Heineken NV,HEIA,0.11%
RWE AG,RWE,0.11%
Astellas Pharma Inc.,4503,0.11%
Terumo Corporation,4543,0.11%
Vivendi SE,VIV,0.11%
Sandvik AB,SAND,0.11%
Canadian Natural Resources Limited,CNQ,0.11%
Genmab A/S,GMAB,0.11%
Fujitsu Limited,6702,0.11%
ENGIE SA.,ENGI,0.11%
Bayerische Motoren Werke AG,BMW,0.11%
Oil company LUKOIL PJSC,LKOH,0.11%
Nutrien Ltd.,NTR,0.11%
Swiss Re AG,SREN,0.11%
Dassault Systemes SA,DSY,0.11%
Kone Oyj Class B,KNEBV,0.11%
Transurban Group Ltd.,TCL,0.11%
LafargeHolcim Ltd.,LHN,0.11%
"Shiseido Company,Limited",4911,0.11%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.1%
Petroleo Brasileiro SA Pfd,PETR4,0.1%
Banco Bradesco SA Pfd,BBDC4,0.1%
STMicroelectronics NV,STM,0.1%
Nordea Bank Abp,NDA.SE,0.1%
"Seven & I Holdings Co., Ltd.",3382,0.1%
Goodman Group,GMG,0.1%
Al Rajhi Bank,1120,0.1%
E.ON SE,EOAN,0.1%
Bank of China Limited Class H,3988,0.1%
Capgemini SE,CAP,0.1%
Hyundai Motor Company,005380,0.1%
DENSO CORPORATION,6902,0.1%
America Movil SAB de CV Class L,AMXL,0.1%
Suncor Energy Inc.,SU,0.1%
Hexagon AB Class B,HEXA.B,0.1%
