AFIF: Anfield Universal Fixed Income ETF
Inception Date: 2018-09-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	116019
Shares Outstanding: 11875000
Expense Ratio: 1.32%
Tracks This Index: n/a
ETFdb.com Category: Total Bond Market
Issuer: Regents Park Funds
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AFIF


Holding,Symbol,Weighting
FUTURES,Other,9.51%
iShares Core U.S. Aggregate Bond ETF,AGG,4.51%
Vanguard Total Bond Market ETF,BND,4.5%
U.S. Dollar,Other,3.86%
BNP Paribas S.A. 7.625% PERP,Other,3.21%
NortonLifeLock Inc. 3.95% 15-JUN-2022,Other,2.1%
Ball Corporation 5.0% 15-MAR-2022,Other,1.79%
Sprint Corp. 7.25% 15-SEP-2021,Other,1.7%
Deutsche Telekom International Finance BV 1.95% 19-SEP-2021,Other,1.6%
"Netflix, Inc. 5.375% 01-FEB-2021",Other,1.55%
EDP Finance BV 5.25% 14-JAN-2021,Other,1.53%
"Netflix, Inc. 5.5% 15-FEB-2022",Other,1.49%
Teva Pharmaceutical Finance Netherlands III BV 2.2% 21-JUL-2021,Other,1.33%
FirstEnergy Corp. 4.25% 15-MAR-2023,Other,1.32%
First Horizon Corporation 3.55% 26-MAY-2023,Other,1.23%
Sunoco Logistics Partners Operations LP 4.4% 01-APR-2021,Other,1.2%
"Energy Transfer Operating, L.P. 5.2% 01-FEB-2022",Other,1.15%
Dell Inc. 4.625% 01-APR-2021,Other,1.07%
"T-Mobile USA, Inc. 4.0% 15-APR-2022",Other,1.03%
"General Motors Financial Co., Inc. 4.2% 06-NOV-2021",Other,1.02%
Ford Motor Credit Company LLC 5.875% 02-AUG-2021,Other,1.01%
"Graphic Packaging International, LLC 4.75% 15-APR-2021",Other,0.9%
Campbell Soup Company FRN 15-MAR-2021,Other,0.89%
Enel Finance International NV 2.875% 25-MAY-2022,Other,0.86%
Continental Airlines Pass Through Certificates Series 2007-1 5.983% 19-OCT-2023,Other,0.83%
Time Warner Cable Inc. 4.0% 01-SEP-2021,Other,0.83%
Morgan Stanley 5.75% 25-JAN-2021,Other,0.82%
CIT Group Inc Non-Cum Perp Registered Pfd Shs Series A,Other,0.81%
Southern Company 2.35% 01-JUL-2021,Other,0.8%
Aramark Services Inc 24-May-2018 Term Loan B-2 28-Mar-2024,Other,0.79%
Sempra Energy FRN 15-MAR-2021,Other,0.79%
"Marriott International, Inc. FRN 08-MAR-2021",Other,0.79%
Continental Airlines Pass Through Certificates Series 2010-1 4.75% 12-JAN-2021,Other,0.77%
"Plains All American Pipeline, L.P. 3.65% 01-JUN-2022",Other,0.72%
"Freddie Mac Multiclass Certificates, Series 3652  CS 6.39137% 15-MAR-2040",Other,0.71%
Barclays Bank PLC 10.179% 12-JUN-2021,Other,0.71%
Ford Motor Credit Company LLC 5.75% 01-FEB-2021,Other,0.71%
"American Tower Trust I, Series 2013-2  A_2013_2 3.07% 15-MAR-2048",Other,0.69%
