AFLG: First Trust Active Factor Large Cap ETF
Inception Date: 2019-12-03
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	4436
Shares Outstanding: 200000
Expense Ratio: 0.55%
Tracks This Index: Goldman Sachs ActiveBeta U.S. Large Cap Equity Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AFLG


Holding,Symbol,Weighting
Apple Inc.,AAPL,5.76%
Microsoft Corporation,MSFT,3.75%
"Amazon.com, Inc.",AMZN,2.92%
Alphabet Inc. Class A,GOOGL,1.73%
Walmart Inc.,WMT,1.22%
Verizon Communications Inc.,VZ,1.2%
Berkshire Hathaway Inc. Class B,BRK.B,1.1%
Target Corporation,TGT,1.08%
Johnson & Johnson,JNJ,1.04%
"Quanta Services, Inc.",PWR,0.9%
"Home Depot, Inc.",HD,0.88%
UnitedHealth Group Incorporated,UNH,0.84%
"West Pharmaceutical Services, Inc.",WST,0.79%
Thermo Fisher Scientific Inc.,TMO,0.75%
Comcast Corporation Class A,CMCSA,0.75%
Danaher Corporation,DHR,0.74%
Accenture Plc Class A,ACN,0.73%
"Lowe\'s Companies, Inc.",LOW,0.73%
"Merck & Co., Inc.",MRK,0.72%
eBay Inc.,EBAY,0.72%
Cummins Inc.,CMI,0.71%
"Cisco Systems, Inc.",CSCO,0.71%
Texas Instruments Incorporated,TXN,0.7%
AT&T Inc.,T,0.69%
"NextEra Energy, Inc.",NEE,0.68%
Exxon Mobil Corporation,XOM,0.67%
Allstate Corporation,ALL,0.65%
"Cadence Design Systems, Inc.",CDNS,0.64%
"Activision Blizzard, Inc.",ATVI,0.63%
"IDEXX Laboratories, Inc.",IDXX,0.63%
"Citrix Systems, Inc.",CTXS,0.63%
"NIKE, Inc. Class B",NKE,0.63%
Progressive Corporation,PGR,0.62%
Philip Morris International Inc.,PM,0.62%
Monster Beverage Corporation,MNST,0.62%
NVIDIA Corporation,NVDA,0.61%
"Facebook, Inc. Class A",FB,0.61%
Masco Corporation,MAS,0.6%
"Charter Communications, Inc. Class A",CHTR,0.59%
"NetApp, Inc.",NTAP,0.58%
Tractor Supply Company,TSCO,0.57%
HP Inc.,HPQ,0.57%
PayPal Holdings Inc,PYPL,0.57%
"United Parcel Service, Inc. Class B",UPS,0.56%
Cognizant Technology Solutions Corporation Class A,CTSH,0.56%
International Business Machines Corporation,IBM,0.56%
A. O. Smith Corporation,AOS,0.56%
"Rollins, Inc.",ROL,0.54%
Wells Fargo & Company,WFC,0.52%
"Zillow Group, Inc. Class C",Z,0.52%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.51%
"Square, Inc. Class A",SQ,0.51%
Chevron Corporation,CVX,0.51%
"Best Buy Co., Inc.",BBY,0.51%
Nucor Corporation,NUE,0.5%
"Franklin Resources, Inc.",BEN,0.5%
"Chipotle Mexican Grill, Inc.",CMG,0.5%
"NRG Energy, Inc.",NRG,0.5%
BorgWarner Inc.,BWA,0.49%
"F5 Networks, Inc.",FFIV,0.49%
Public Storage,PSA,0.48%
"Advanced Micro Devices, Inc.",AMD,0.48%
"CBRE Group, Inc. Class A",CBRE,0.48%
Honeywell International Inc.,HON,0.48%
Oracle Corporation,ORCL,0.47%
Cerner Corporation,CERN,0.47%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.47%
EQUITY OTHER,Other,0.46%
Sherwin-Williams Company,SHW,0.46%
Exelon Corporation,EXC,0.46%
Adobe Inc.,ADBE,0.45%
"Gilead Sciences, Inc.",GILD,0.45%
"BlackRock, Inc.",BLK,0.45%
"Synopsys, Inc.",SNPS,0.44%
Fox Corporation Class A,FOXA,0.44%
Humana Inc.,HUM,0.44%
Vistra Corp.,VST,0.43%
Generac Holdings Inc.,GNRC,0.43%
Eli Lilly and Company,LLY,0.42%
Clorox Company,CLX,0.42%
Intel Corporation,INTC,0.42%
ResMed Inc.,RMD,0.42%
Western Union Company,WU,0.42%
"Jack Henry & Associates, Inc.",JKHY,0.42%
"Juniper Networks, Inc.",JNPR,0.42%
Public Service Enterprise Group Inc,PEG,0.41%
"Evergy, Inc.",EVRG,0.4%
Arconic Corp.,ARNC,0.4%
Trane Technologies plc,TT,0.39%
"PPG Industries, Inc.",PPG,0.39%
Visa Inc. Class A,V,0.39%
"Consolidated Edison, Inc.",ED,0.39%
Dollar General Corporation,DG,0.38%
Qualcomm Inc,QCOM,0.38%
Costco Wholesale Corporation,COST,0.37%
"D.R. Horton, Inc.",DHI,0.37%
Bristol-Myers Squibb Company,BMY,0.37%
"Anthem, Inc.",ANTM,0.37%
"General Mills, Inc.",GIS,0.36%
"ABIOMED, Inc.",ABMD,0.35%
"Regeneron Pharmaceuticals, Inc.",REGN,0.35%
"Old Dominion Freight Line, Inc.",ODFL,0.35%
Garmin Ltd.,GRMN,0.34%
"Match Group, Inc.",MTCH,0.34%
Lam Research Corporation,LRCX,0.34%
Southern Copper Corporation,SCCO,0.34%
"AbbVie, Inc.",ABBV,0.33%
"Travelers Companies, Inc.",TRV,0.33%
"Expeditors International of Washington, Inc.",EXPD,0.33%
"Discovery, Inc. Class A",DISCA,0.32%
Seagate Technology PLC,STX,0.32%
"Take-Two Interactive Software, Inc.",TTWO,0.32%
"FLIR Systems, Inc.",FLIR,0.32%
Pfizer Inc.,PFE,0.32%
3M Company,MMM,0.31%
Linde plc,LIN,0.31%
"Snap, Inc. Class A",SNAP,0.31%
"Tyler Technologies, Inc.",TYL,0.31%
"T-Mobile US, Inc.",TMUS,0.31%
"Prologis, Inc.",PLD,0.3%
"Zions Bancorporation, N.A.",ZION,0.3%
International Paper Company,IP,0.3%
Kroger Co.,KR,0.3%
TE Connectivity Ltd.,TEL,0.3%
Electronic Arts Inc.,EA,0.3%
"Zoetis, Inc. Class A",ZTS,0.3%
Snap-on Incorporated,SNA,0.29%
Arthur J. Gallagher & Co.,AJG,0.29%
"C.H. Robinson Worldwide, Inc.",CHRW,0.29%
"Teradyne, Inc.",TER,0.29%
Deere & Company,DE,0.29%
