AIIQ: AI Powered International Equity ETF
Inception Date: 2018-06-06
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	6182
Shares Outstanding: 200000
Expense Ratio: 0.79%
Tracks This Index: n/a
ETFdb.com Category: Global Equities
Issuer: EquBot
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AIIQ


Holding,Symbol,Weighting
"Shopify, Inc. Class A",SHOP,3.99%
"Gravity Co., Ltd. Sponsored ADR",GRVY,2.28%
Canopy Growth Corporation,WEED,2.14%
Canaccord Genuity Group Inc.,CF,2.03%
Siemens AG,SIE,1.96%
Astrazeneca PLC Sponsored ADR,AZN,1.94%
Nordex SE,NDX1,1.94%
Roche Holding Ltd Sponsored ADR,RHHBY,1.65%
BioNTech SE Sponsored ADR,BNTX,1.61%
Atlassian Corp. Plc Class A,TEAM,1.58%
Torex Gold Resources Inc.,TXG,1.53%
Toyota Motor Corp. Sponsored ADR,TM,1.51%
HelloFresh SE,HFG,1.51%
Eldorado Gold Corporation,ELD,1.43%
SAP SE Sponsored ADR,SAP,1.42%
First American Funds Inc X Government Obligations Fund,FGXXX,1.38%
Nemetschek SE,NEM,1.26%
"M3, Inc.",2413,1.22%
Rada Electronic Industries Ltd.,RADA,1.21%
Hudbay Minerals Inc,HBM,1.19%
Affimed N.V.,AFMD,1.17%
InMode Ltd.,INMD,1.16%
Dollarama Inc.,DOL,1.14%
Logitech International S.A.,LOGN,1.05%
Yandex NV Class A,YNDX,1.04%
SunOpta Inc.,SOY,1.03%
"Nintendo Co., Ltd.",7974,1.03%
Trillium Therapeutics Inc.,TRIL,1.02%
Morneau Shepell Inc.,MSI,1.02%
Fiverr International Ltd.,FVRR,1.0%
CNH Industrial NV,CNHI,0.96%
New Pacific Metals Corp,NUAG,0.96%
CRISPR Therapeutics AG,CRSP,0.93%
Kinross Gold Corporation,K,0.92%
SSR Mining Inc,SSRM,0.9%
Enlivex Therapeutics Ltd.,ENLV,0.89%
Methanex Corporation,MX,0.85%
Nova Measuring Instruments Ltd,NVMI,0.85%
"CanSino Biologics, Inc. Class H",6185,0.83%
Canadian Solar Inc.,CSIQ,0.83%
"SK Telecom Co., Ltd. Sponsored ADR",SKM,0.82%
Flex Ltd.,FLEX,0.82%
Accor SA,AC,0.77%
Barrick Gold Corporation,ABX,0.74%
Eurofins Scientific Societe Europeenne,ERF,0.71%
Franco-Nevada Corporation,FNV,0.71%
SimCorp A/S,SIM,0.7%
Finning International Inc.,FTT,0.68%
Atos SE,ATO,0.67%
Check Point Software Technologies Ltd.,CHKP,0.67%
Compugen Ltd.,CGEN,0.66%
Unilever PLC Sponsored ADR,UL,0.65%
EML Payments Ltd.,EML,0.65%
Northland Power Inc.,NPI,0.62%
FUJIFILM Holdings Corp,4901,0.6%
Horizon Therapeutics Public Limited Company,HZNP,0.6%
DSV Panalpina A/S,DSV,0.6%
Globant SA,GLOB,0.6%
Infomart Corporation,2492,0.59%
Mesoblast Limited Sponsored ADR,MESO,0.58%
"Sundrug Co., Ltd.",9989,0.58%
Materialise NV Sponsored ADR,MTLS,0.57%
Descartes Systems Group Inc.,DSG,0.56%
Thomson Reuters Corporation,TRI,0.56%
Viemed Healthcare Inc,VMD,0.55%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.55%
Novagold Resources Inc,NG,0.55%
Dassault Systemes SA,DSY,0.55%
Sinch AB,SINCH,0.53%
Gamesys Group PLC,GYS,0.53%
Cascades Inc.,CAS,0.53%
Diageo plc Sponsored ADR,DEO,0.52%
Wheaton Precious Metals Corp,WPM,0.52%
MAG Silver Corp.,MAG,0.52%
Future plc,FUTR,0.51%
Blue Prism Group Plc,PRSM,0.5%
Nestle S.A. Sponsored ADR,NSRGY,0.49%
Smith & Nephew PLC Sponsored ADR,SNN,0.49%
Infineon Technologies AG,IFX,0.49%
Vascular Biogenics Ltd.,VBLT,0.49%
"ZOZO, Inc.",3092,0.48%
Spotify Technology SA,SPOT,0.48%
"MEDIA DO Co., Ltd.",3678,0.46%
ORIX Corporation Sponsored ADR,IX,0.45%
Canadian Natural Resources Limited,CNQ,0.45%
Tokmanni Group Oyj,TOKMAN,0.45%
Telecom Italia S.p.A. Sponsored ADR,TIIAY,0.44%
Sierra Wireless Inc.,SW,0.44%
"Woori Financial Group, Inc. Sponsored ADR",WF,0.43%
"VBI Vaccines, Inc.",VBIV,0.43%
Novo Nordisk A/S Sponsored ADR Class B,NVO,0.42%
Cellcom Israel Ltd.,CEL,0.42%
Turquoise Hill Resources Ltd.,TRQ,0.42%
Sabina Gold & Silver Corp.,SBB,0.42%
Amcor PLC,AMCR,0.41%
Delivery Hero SE,DHER,0.4%
Energix-Renewable Energies Ltd.,ENRG,0.4%
Eni S.p.A. Sponsored ADR,E,0.38%
Endeavour Mining Corporation,EDV,0.38%
NXP Semiconductors NV,NXPI,0.37%
Enel SpA Unsponsored ADR,ENLAY,0.36%
Barclays PLC Sponsored ADR,BCS,0.36%
BlackBerry Limited,BB,0.36%
IAMGOLD Corporation,IMG,0.36%
GlaxoSmithKline plc Sponsored ADR,GSK,0.35%
Hilan Ltd.,HLAN,0.35%
Open Text Corporation,OTEX,0.35%
Zealand Pharma A/S Sponsored ADR,ZEAL,0.34%
Justsystems Corporation,4686,0.34%
Koninklijke Philips N.V. Sponsored ADR,PHG,0.33%
Bure Equity AB,BURE,0.33%
Teck Resources Limited Class B,TECK.B,0.33%
Canadian National Railway Company,CNR,0.33%
Enerplus Corporation,ERF,0.33%
"Sansan, Inc.",4443,0.32%
Sequans Communications SA Sponsored ADR,SQNS,0.3%
