AIQ: Global X Future Analytics Tech ETF
Inception Date: 2018-05-11
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	146500
Shares Outstanding: 5399000
Expense Ratio: 0.68%
Tracks This Index: Indxx Artificial Intelligence & Big Data Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Global X
Structure: 
ETF Home Page: https://etfdb.com/etf/AIQ


Holding,Symbol,Weighting
Qualcomm Inc,QCOM,4.03%
"Samsung Electronics Co., Ltd.",005930,3.97%
Meituan Class B,3690,3.48%
NVIDIA Corporation,NVDA,3.13%
"ServiceNow, Inc.",NOW,3.06%
"Shopify, Inc. Class A",SHOP,3.01%
"Advanced Micro Devices, Inc.",AMD,2.93%
"salesforce.com, inc.",CRM,2.84%
"Facebook, Inc. Class A",FB,2.82%
Oracle Corporation,ORCL,2.78%
Alphabet Inc. Class A,GOOGL,2.78%
Adobe Inc.,ADBE,2.77%
"Amazon.com, Inc.",AMZN,2.65%
"Netflix, Inc.",NFLX,2.64%
Microsoft Corporation,MSFT,2.64%
Siemens AG,SIE,2.61%
"Uber Technologies, Inc.",UBER,2.5%
Tencent Holdings Ltd.,700,2.41%
International Business Machines Corporation,IBM,2.35%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,2.28%
"Cisco Systems, Inc.",CSCO,2.25%
Intel Corporation,INTC,1.94%
"Baidu, Inc. Sponsored ADR Class A",BIDU,1.61%
"Snap, Inc. Class A",SNAP,1.61%
Northrop Grumman Corporation,NOC,1.36%
Infineon Technologies AG,IFX,1.36%
SK hynix Inc,000660,1.27%
"Twilio, Inc. Class A",TWLO,1.22%
"Twitter, Inc.",TWTR,1.15%
"Workday, Inc. Class A",WDAY,1.12%
Thomson Reuters Corporation,TRI,1.1%
"Micron Technology, Inc.",MU,1.09%
"Synopsys, Inc.",SNPS,1.04%
eBay Inc.,EBAY,0.96%
Experian PLC,EXPN,0.95%
Microchip Technology Incorporated,MCHP,0.94%
"Xilinx, Inc.",XLNX,0.93%
STMicroelectronics NV,STM,0.92%
"Trade Desk, Inc. Class A",TTD,0.91%
Verisk Analytics Inc,VRSK,0.9%
Hexagon AB Class B,HEXA.B,0.87%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.86%
Splunk Inc.,SPLK,0.74%
"Fortinet, Inc.",FTNT,0.64%
Winbond Electronics Corp.,2344,0.55%
Zebra Technologies Corporation Class A,ZBRA,0.54%
"Ambarella, Inc.",AMBA,0.49%
"HubSpot, Inc.",HUBS,0.47%
StoneCo Ltd. Class A,STNE,0.46%
"Zendesk, Inc.",ZEN,0.44%
Xero Limited,XRO,0.44%
Seagate Technology PLC,STX,0.42%
"FireEye, Inc.",FEYE,0.41%
Hewlett Packard Enterprise Co.,HPE,0.4%
Fair Isaac Corporation,FICO,0.4%
"Nuance Communications, Inc.",NUAN,0.4%
"NetApp, Inc.",NTAP,0.39%
"Anaplan, Inc.",PLAN,0.39%
PTC Inc.,PTC,0.38%
"LivePerson, Inc.",LPSN,0.38%
Lattice Semiconductor Corporation,LSCC,0.37%
Wix.com Ltd.,WIX,0.36%
Verint Systems Inc.,VRNT,0.36%
Tencent Music Entertainment Group Sponsored ADR Class A,TME,0.35%
BlackBerry Limited,BB,0.34%
Toshiba Corporation,6502,0.34%
DXC Technology Co.,DXC,0.33%
Siemens Energy AG,ENR,0.33%
NortonLifeLock Inc.,NLOK,0.33%
"Macronix International Co., Ltd.",2337,0.33%
Open Text Corporation,OTEX,0.33%
Computacenter Plc,CCC,0.32%
Yelp Inc,YELP,0.32%
Nielsen Holdings Plc,NLSN,0.32%
"Pure Storage, Inc. Class A",PSTG,0.31%
Pegasystems Inc.,PEGA,0.3%
"PROS Holdings, Inc.",PRO,0.3%
"Cornerstone Ondemand, Inc.",CSOD,0.29%
"Cloudera, Inc.",CLDR,0.29%
Teradata Corporation,TDC,0.26%
Genpact Limited,G,0.26%
Phison Electronics Corp.,8299,0.26%
"Envestnet, Inc.",ENV,0.25%
Software AG,SOW,0.21%
"Juniper Networks, Inc.",JNPR,0.21%
U.S. Dollar,Other,-0.07%
