ALTY: Global X SuperDividend Alternatives ETF
Inception Date: 2015-07-13
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	20874
Shares Outstanding: 1799000
Expense Ratio: 3.48%
Tracks This Index: Indxx SuperDividend Alternatives Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ALTY


Holding,Symbol,Weighting
Global X SuperDividend REIT ETF,SRET,18.85%
Stone Harbor Emerging Markets Income Fund,EDF,3.03%
Western Asset Emerging Markets Debt Fund Inc,EMD,2.72%
Eaton Vance Tax-Managed Buy-Write Income Fund,ETB,2.69%
Nuveen S&P 500 Buy-Write Income Fund of Benef Interest,BXMX,2.69%
Morgan Stanley Emerging Markets Domestic Debt Fund Inc,EDD,2.69%
Nuveen Dow 30 Dynamic Overwrite Fund,DIAX,2.67%
Brookfield Real Assets Income Fund Inc of Benef. Interest,RA,2.61%
Eaton Vance Risk-Managed Diversified Equity Income Fund,ETJ,2.6%
Western Asset Mortgage Opportunity Fund Inc,DMO,2.59%
Voya Global Equity Dividend and Premium Opportunity Fund,IGD,2.59%
Templeton Emerging Markets Income Fund,TEI,2.55%
Nuveen Mortgage and Income Fund,JLS,2.51%
Blackrock Income Trust Inc,BKT,2.39%
MPLX LP,MPLX,2.25%
"Magellan Midstream Partners, L.P.",MMP,2.02%
Sunoco LP,SUN,1.94%
Edison International,EIX,1.91%
"Energy Transfer, L.P.",ET,1.87%
Southern Company,SO,1.79%
Kinder Morgan Inc Class P,KMI,1.79%
Black Stone Minerals LP,BSM,1.78%
BP Midstream Partners LP,BPMP,1.75%
"Evergy, Inc.",EVRG,1.69%
OGE Energy Corp.,OGE,1.68%
Icahn Enterprises L.P.,IEP,1.68%
Duke Energy Corporation,DUK,1.64%
PPL Corporation,PPL,1.63%
Dominion Energy Inc,D,1.49%
"Suburban Propane Partners, L.P.",SPH,1.42%
Carlyle Group Inc,CG,1.35%
"Hercules Capital, Inc.",HTGC,1.34%
Blackstone Group Inc. Class A,BX,1.32%
New Mountain Finance Corporation,NMFC,1.26%
"Sixth Street Specialty Lending, Inc.",TSLX,1.26%
Ares Capital Corporation,ARCC,1.26%
Hamilton Lane Incorporated Class A,HLNE,1.25%
KKR & Co. Inc.,KKR,1.2%
Oaktree Specialty Lending Corporation,OCSL,1.19%
Main Street Capital Corporation,MAIN,1.16%
Prospect Capital Corporation,PSEC,1.16%
Gladstone Investment Corporation,GAIN,1.16%
"Golub Capital BDC, Inc.",GBDC,1.09%
Compass Diversified Holdings,CODI,1.08%
Owl Rock Capital Corporation,ORCC,1.07%
U.S. Dollar,Other,0.33%
