AMZA: InfraCap MLP ETF
Inception Date: 2014-10-01
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	145520
Shares Outstanding: 7740000
Expense Ratio: 2.4%
Tracks This Index: n/a
ETFdb.com Category: MLPs
Issuer: Virtus
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AMZA


Holding,Symbol,Weighting
MPLX LP,MPLX,19.65%
NuStar Energy L.P.,NS,15.27%
Enterprise Products Partners L.P.,EPD,13.91%
"Magellan Midstream Partners, L.P.",MMP,11.58%
"Plains All American Pipeline, L.P.",PAA,11.2%
Western Midstream Partners LP,WES,10.78%
BP Midstream Partners LP,BPMP,10.16%
"Energy Transfer, L.P.",ET,8.83%
Shell Midstream Partners LP,SHLX,7.96%
Phillips 66 Partners LP,PSXP,7.16%
DCP Midstream LP,DCP,6.81%
Crestwood Equity Partners LP,CEQP,5.57%
Noble Midstream Partners LP,NBLX,4.84%
"Holly Energy Partners, L.P.",HEP,3.86%
Enable Midstream Partners LP,ENBL,2.05%
"TC PipeLines, LP",TCP,1.79%
NGL Energy Partners LP,NGL,1.15%
Kinder Morgan Inc Class P,KMI,0.98%
EnLink Midstream LLC,ENLC,0.29%
"Cheniere Energy Partners, L.P.",CQP,0.05%
"Williams Companies, Inc.",WMB,0.04%
Marathon Petroleum Corporation,MPC,0.03%
"Cheniere Energy, Inc.",LNG,0.03%
"ONEOK, Inc.",OKE,0.01%
OPTIONS,Other,-0.06%
U.S. Dollar,Other,-43.94%
