ARGT: Global X MSCI Argentina ETF
Inception Date: 2011-03-02
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	48519
Shares Outstanding: 1574000
Expense Ratio: 0.59%
Tracks This Index: MSCI All Argentina 25/50 Index
ETFdb.com Category: Global Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ARGT


Holding,Symbol,Weighting
"MercadoLibre, Inc.",MELI,25.45%
Globant SA,GLOB,21.22%
Grupo Financiero Galicia SA Sponsored ADR Class B,GGAL,4.24%
YPF SA Sponsored ADR Class D,YPF,3.93%
SSR Mining Inc,SSRM,3.85%
Yamana Gold Inc.,YRI,3.83%
Embotelladora Andina SA Pfd  B,ANDINA.B,3.68%
Compania Cervecerias Unidas S.A.,CCU,3.57%
Cencosud S.A.,CENCOSUD,3.46%
Banco Macro SA Sponsored ADR Class B,BMA,3.21%
Adecoagro S.A.,AGRO,3.17%
Pampa Energia SA Sponsored ADR,PAM,3.06%
"Despegar.com, Corp.",DESP,2.96%
"Arcos Dorados Holdings, Inc. Class A",ARCO,2.88%
Telecom Argentina SA Sponsored ADR,TEO,2.69%
Transportadora de Gas del Sur SA Sponsored ADR Class B RegS,TGS,1.75%
Loma Negra Compania Industrial Argentina SA Sponsored ADR,LOMA,1.69%
Central Puerto S.A. Sponsored ADR,CEPU,1.16%
Banco BBVA Argentina SA Sponsored ADR,BBAR,1.05%
Cresud SA Sponsored ADR,CRESY,0.69%
Grupo Supervielle SA Sponsored ADR Class B,SUPV,0.62%
Corporacion America Airports S.A.,CAAP,0.57%
IRSA Inversiones y Representaciones SA Sponsored ADR,IRS,0.47%
Edenor SA Sponsored ADR Class B,EDN,0.38%
IRSA Propiedades Comerciales S.A. Sponsored ADR,IRCP,0.26%
U.S. Dollar,Other,0.16%
