ARMR: Armor US Equity Index ETF
Inception Date: 2020-02-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	5911
Shares Outstanding: 274000
Expense Ratio: 0.6%
Tracks This Index: Armor US Equity Index
ETFdb.com Category: Large Cap Growth Equities
"Issuer: Armor Index, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ARMR


Holding,Symbol,Weighting
Vanguard Financials ETF,VFH,9.32%
Vanguard Information Technology ETF,VGT,9.26%
Vanguard Consumer Discretionary ETF,VCR,9.24%
Vanguard Communication Services ETF,VOX,9.15%
Vanguard Energy ETF,VDE,9.14%
Vanguard Health Care ETF,VHT,9.1%
Vanguard Materials ETF,VAW,9.05%
Vanguard Industrials ETF,VIS,8.92%
Vanguard Real Estate ETF,VNQ,8.87%
Vanguard Consumer Staples ETF,VDC,8.87%
Vanguard Utilities ETF,VPU,8.77%
MUTUAL FUND (OTHER),Other,0.31%
U.S. Dollar,Other,0.0%
