ASHS: Xtrackers Harvest CSI 500 China-A Shares Small Cap Fund
Inception Date: 2014-05-21
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	35009
Shares Outstanding: 1000000
Expense Ratio: 0.65%
Tracks This Index: CSI 500 Index
ETFdb.com Category: China Equities
Issuer: DWS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ASHS


Holding,Symbol,Weighting
"Sungrow Power Supply Co., Ltd. Class A",300274,1.24%
"Centre Testing International Group Co., Ltd. Class A",300012,0.81%
"Shandong Hualu-Hengsheng Chemical Co., Ltd. Class A",600426,0.76%
Gotion High-tech Co. Ltd. Class A,002074,0.68%
TBEA Co Ltd. Class A,600089,0.66%
"Humanwell Healthcare (Group) Co.,Ltd. Class A",600079,0.65%
Guangzhou Kingmed Diagnostics Group Co. Ltd. Class A,603882,0.63%
"Shandong Sinocera Functional Material Co., Ltd. Class A",300285,0.62%
"SUNWODA Electronic Co., Ltd. Class A",300207,0.61%
GUANGZHOU TINCI MATERIALS TECHNOLOGY CO LTD Class A,002709,0.6%
"Addsino Co., Ltd. Class A",000547,0.6%
"Thunder Software Technology Co., Ltd. Class A",300496,0.58%
"Kingfa Sci. & Tech. Co., Ltd. Class A",600143,0.55%
"Tongkun Group Co., Ltd. Class A",601233,0.54%
"Tianshui Huatian Technology Co., Ltd. Class A",002185,0.53%
"Liaoning Cheng Da Co., Ltd. Class A",600739,0.52%
"Beijing Dbn Technology Group Co., Ltd. Class A",002385,0.51%
Chongqing Brewery Co.Ltd Class A,600132,0.51%
"First Capital Securities Co., Ltd. Class A",002797,0.5%
"Hongfa Technology Co., Ltd. Class A",600885,0.5%
"Changzhou Xingyu Automotive Lighting Systems Co., Ltd Class A",601799,0.49%
Shanghai Bairun Investment Holding Group Co. Ltd. Class A,002568,0.49%
"Pacific Securities Co., Ltd. Class A",601099,0.48%
"GEM Co., Ltd. Class A",002340,0.48%
"HANGZHOU FIRST APPLIED MATERIAL CO.,LTD. Class A",603806,0.47%
"Raytron Technology Co., Ltd. Class A",688002,0.45%
