AVUV: Avantis U.S. Small Cap Value ETF
Inception Date: 2019-09-24
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	558422
Shares Outstanding: 9820000
Expense Ratio: 0.25%
Tracks This Index: n/a
ETFdb.com Category: Small Cap Value Equities
Issuer: American Century Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AVUV


Holding,Symbol,Weighting
Devon Energy Corporation,DVN,1.08%
"Lithia Motors, Inc. Class A",LAD,1.02%
Kohl\'s Corporation,KSS,0.91%
Targa Resources Corp.,TRGP,0.82%
Ovintiv Inc,OVV,0.79%
Timken Company,TKR,0.78%
Chemours Co.,CC,0.77%
Marathon Oil Corporation,MRO,0.77%
"AutoNation, Inc.",AN,0.74%
"Ryder System, Inc.",R,0.73%
Stifel Financial Corp.,SF,0.72%
Capri Holdings Limited,CPRI,0.71%
"Saia, Inc.",SAIA,0.7%
Iridium Communications Inc.,IRDM,0.69%
Evercore Inc Class A,EVR,0.69%
Alcoa Corporation,AA,0.68%
Cimarex Energy Co.,XEC,0.67%
Macy\'s Inc,M,0.65%
Air Lease Corporation Class A,AL,0.65%
"Foot Locker, Inc.",FL,0.65%
"BMC Stock Holdings, Inc.",BMCH,0.65%
"PROG Holdings, Inc.",PRG,0.63%
Synovus Financial Corp.,SNV,0.62%
"Dick\'s Sporting Goods, Inc.",DKS,0.62%
Western Alliance Bancorp,WAL,0.62%
"UFP Industries, Inc.",UFPI,0.62%
Triton International Ltd. Class A,TRTN,0.6%
"PennyMac Financial Services, Inc.",PFSI,0.59%
Eagle Materials Inc.,EXP,0.59%
GATX Corporation,GATX,0.58%
"Murphy USA, Inc.",MUSA,0.58%
"BankUnited, Inc.",BKU,0.57%
MGIC Investment Corporation,MTG,0.56%
SLM Corp,SLM,0.56%
"Ensign Group, Inc.",ENSG,0.55%
Bank of Hawaii Corporation,BOH,0.55%
"Popular, Inc.",BPOP,0.55%
Bank OZK,OZK,0.54%
"Nu Skin Enterprises, Inc. Class A",NUS,0.53%
EQT Corporation,EQT,0.53%
Jabil Inc.,JBL,0.53%
Unum Group,UNM,0.53%
Dana Incorporated,DAN,0.52%
Meritage Homes Corporation,MTH,0.51%
"CNO Financial Group, Inc.",CNO,0.51%
"Patterson Companies, Inc.",PDCO,0.5%
"Vishay Intertechnology, Inc.",VSH,0.48%
Kennametal Inc.,KMT,0.48%
Trinseo SA,TSE,0.48%
TRI Pointe Group Inc,TPH,0.48%
Radian Group Inc.,RDN,0.47%
Janus Henderson Group PLC,JHG,0.47%
"Trinity Industries, Inc.",TRN,0.47%
Commercial Metals Company,CMC,0.47%
"American Eagle Outfitters, Inc.",AEO,0.46%
Goodyear Tire & Rubber Company,GT,0.46%
"Avnet, Inc.",AVT,0.46%
Stepan Company,SCL,0.46%
National General Holdings Corp.,NGHC,0.46%
"Renewable Energy Group, Inc.",REGI,0.46%
"Matson, Inc.",MATX,0.46%
"Texas Capital Bancshares, Inc.",TCBI,0.46%
Cathay General Bancorp,CATY,0.45%
American Equity Investment Life Holding Company,AEL,0.45%
Louisiana-Pacific Corporation,LPX,0.45%
Associated Banc-Corp,ASB,0.45%
Bed Bath & Beyond Inc.,BBBY,0.44%
Masonite International Corp.,DOOR,0.44%
"Brighthouse Financial, Inc.",BHF,0.44%
Boise Cascade Co.,BCC,0.43%
F.N.B. Corporation,FNB,0.42%
Sanmina Corporation,SANM,0.42%
"Big Lots, Inc.",BIG,0.42%
Southwestern Energy Company,SWN,0.42%
Umpqua Holdings Corporation,UMPQ,0.41%
"SkyWest, Inc",SKYW,0.41%
Cabot Corporation,CBT,0.41%
Gentherm Incorporated,THRM,0.41%
Plexus Corp.,PLXS,0.4%
Navient Corp,NAVI,0.4%
KB Home,KBH,0.4%
"Axos Financial, Inc.",AX,0.4%
"PDC Energy, Inc.",PDCE,0.4%
Wintrust Financial Corporation,WTFC,0.4%
Signet Jewelers Limited,SIG,0.4%
