AWTM: Aware Ultra-Short Duration Enhanced Income ETF
Inception Date: 2019-01-29
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	224280
Shares Outstanding: 4500000
Expense Ratio: 0.23%
Tracks This Index: n/a
ETFdb.com Category: Total Bond Market
Issuer: Aware Asset Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AWTM


Holding,Symbol,Weighting
First American Funds Inc X Treasury Obligations Fund,FXFXX,14.78%
Invitation Homes 2017-SFR2  B 1.309% 17-DEC-2036,Other,4.21%
OCP CLO 2015-8  BR 2.06775% 17-APR-2027,Other,3.85%
Invitation Homes 2018-SFR1  C 1.409% 17-MAR-2037,Other,3.57%
Invitation Homes 2018-SFR2  B 1.229% 17-JUN-2037,Other,3.44%
Invitation Homes 2018-SFR3  B 1.299% 17-JUL-2037,Other,3.42%
AbbVie Inc. 2.3% 21-NOV-2022,Other,2.64%
"General Motors Financial Co., Inc. FRN 30-JUN-2022",Other,2.45%
Barclays Plc 3.2% 10-AUG-2021,Other,2.38%
Edison International 2.4% 15-SEP-2022,Other,2.28%
Citigroup Inc. FRN 17-MAY-2024,Other,2.26%
"Harley-Davidson Financial Services, Inc. 3.55% 21-MAY-2021",Other,2.25%
Invitation Homes 2018-SFR4  B 1.409% 17-JAN-2038,Other,2.24%
Federal Farm Credit Banks Consolidated Systemwide Bonds FRN 29-OCT-2021,Other,2.23%
Citigroup Inc. FRN 04-NOV-2022,Other,2.2%
Anchorage Capital CLO 9  BR 2.18688% 15-JUL-2032,Other,2.01%
Home Partners of America 2018-1 Trust  A 1.059% 17-JUL-2037,Other,1.97%
Occidental Petroleum Corporation FRN 15-AUG-2022,Other,1.96%
Citigroup Inc. 4.05% 30-JUL-2022,Other,1.89%
JPMorgan Chase & Co Deposit Shs Repr 1/10th Non-Cum Pfd Shs Series Z,Other,1.69%
"Goldman Sachs Group, Inc. FRN 29-NOV-2023",Other,1.65%
Sabine Pass Liquefaction LLC 6.25% 15-MAR-2022,Other,1.48%
Diamond 1 Finance Corp. 5.45% 15-JUN-2023,Other,1.48%
Wells Fargo & Company FRN 31-OCT-2023,Other,1.36%
Saranac CLO VIII  AN 1.57375% 20-FEB-2033,Other,1.34%
Bunge Ltd. Finance Corp. 3.0% 25-SEP-2022,Other,1.33%
"Mizuho Financial Group, Inc. FRN 13-SEP-2021",Other,1.3%
Cooperatieve Rabobank UA 3.95% 09-NOV-2022,Other,1.18%
"Sumitomo Mitsui Financial Group, Inc. FRN 19-OCT-2021",Other,1.16%
Metlife Inc Non Cum Pfd Registered Shs Series C,MWZ1,1.08%
"Mizuho Financial Group, Inc. FRN 28-FEB-2022",Other,0.98%
Barclays Plc FRN 16-MAY-2024,Other,0.98%
"General Motors Financial Co., Inc. FRN 14-JAN-2022",Other,0.97%
Bayer US Finance II LLC 2.75% 15-JUL-2021,Other,0.92%
"Cardinal Health, Inc. 3.2% 15-JUN-2022",Other,0.92%
"General Motors Financial Co., Inc. FRN 05-JAN-2023",Other,0.92%
JPMorgan Chase & Co Depositary Shs Repr 1/10th Non Cum Pfd Shs Series I,JPM4135538,0.91%
General Electric Co Non-Cum Perp Pfd Shs Series D,GEC2,0.91%
"Citizens Financial Group, Inc. 4.15% 28-SEP-2022",Other,0.85%
VCO CLO 2018-1  A 1.71838% 20-JUL-2030,Other,0.79%
"Mizuho Financial Group, Inc. FRN 11-SEP-2022",Other,0.77%
"Goldman Sachs Group, Inc. FRN 25-FEB-2021",Other,0.68%
Nissan Motor Acceptance Corp. FRN 28-SEP-2022,Other,0.64%
Lloyds Banking Group plc FRN 21-JUN-2021,Other,0.6%
Oaktree EIF III Series II  A2 1.66775% 17-JUL-2029,Other,0.59%
Sabine Pass Liquefaction LLC 5.625% 15-APR-2023,Other,0.53%
"Wells Fargo Bank, N.A. 2.082% 09-SEP-2022",Other,0.52%
Citigroup Inc. FRN 30-MAR-2021,Other,0.48%
Carlisle Companies Incorporated 3.75% 15-NOV-2022,Other,0.47%
"VMware, Inc. 2.95% 21-AUG-2022",Other,0.46%
JPMorgan Chase & Co. FRN 03-MAY-2023,Other,0.45%
Volkswagen Group of America Finance LLC FRN 12-NOV-2021,Other,0.45%
"United Parcel Service, Inc. 2.05% 01-APR-2021",Other,0.45%
Bayer US Finance II LLC 3.5% 25-JUN-2021,Other,0.45%
Bayer US Finance II LLC 2.2% 15-JUL-2022,Other,0.43%
"Lowe\'s Companies, Inc. 3.75% 15-APR-2021",Other,0.41%
Ford Motor Credit Company LLC FRN 12-OCT-2021,Other,0.4%
NatWest Markets Plc 6.125% 11-JAN-2021,Other,0.37%
