BBAX: JPMorgan BetaBuilders Developed Asia ex-Japan ETF
Inception Date: 2018-08-07
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	1788910
Shares Outstanding: 65600000
Expense Ratio: 0.19%
Tracks This Index: Morningstar Developed Asia Pacific ex-Japan Target Market Exposure Index
ETFdb.com Category: Asia Pacific Equities
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BBAX


Holding,Symbol,Weighting
AIA Group Limited,1299,7.84%
Commonwealth Bank of Australia,CBA,5.94%
CSL Limited,CSL,5.24%
BHP Group Ltd,BHP,5.08%
Hong Kong Exchanges & Clearing Ltd.,388,3.41%
National Australia Bank Limited,NAB,3.03%
Westpac Banking Corporation,WBC,2.83%
Australia and New Zealand Banking Group Limited,ANZ,2.63%
Wesfarmers Limited,WES,2.33%
Woolworths Group Ltd,WOW,2.02%
Macquarie Group Limited,MQG,1.91%
DBS Group Holdings Ltd,D05,1.78%
Rio Tinto Limited,RIO,1.72%
Oversea-Chinese Banking Corporation Limited,O39,1.62%
Fortescue Metals Group Ltd,FMG,1.6%
Transurban Group Ltd.,TCL,1.51%
United Overseas Bank Ltd. (Singapore),U11,1.38%
"Techtronic Industries Co., Ltd.",669,1.31%
Goodman Group,GMG,1.3%
Afterpay Limited,APT,1.09%
Sun Hung Kai Properties Limited,16,1.02%
Link Real Estate Investment Trust,823,1.0%
CK Hutchison Holdings Ltd,1,1.0%
Coles Group Ltd.,COL,0.99%
Woodside Petroleum Ltd,WPL,0.89%
Galaxy Entertainment Group Limited,27,0.86%
Newcrest Mining Limited,NCM,0.85%
Hong Kong & China Gas Co. Ltd.,3,0.84%
Aristocrat Leisure Limited,ALL,0.81%
CLP Holdings Limited,2,0.79%
Jardine Matheson Holdings Limited,J36,0.77%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.71%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,0.69%
"Hang Seng Bank, Limited",11,0.66%
CK Asset Holdings Limited,1113,0.65%
Brambles Limited,BXB,0.64%
Singapore Telecommunications Limited,Z74,0.63%
Sonic Healthcare Limited,SHL,0.63%
Scentre Group,SCG,0.6%
ASX Limited,ASX,0.57%
Sands China Ltd.,1928,0.56%
Wilmar International Limited,F34,0.53%
Cochlear Limited,COH,0.51%
QBE Insurance Group Limited,QBE,0.51%
Suncorp Group Limited,SUN,0.51%
Telstra Corporation Limited,TLS,0.5%
South32 Ltd.,S32,0.48%
APA Group,APA,0.47%
Insurance Australia Group Limited,IAG,0.47%
Wharf Real Estate Investment Co. Ltd.,1997,0.47%
Ramsay Health Care Limited,RHC,0.47%
MTR Corporation Limited,66,0.46%
Santos Limited,STO,0.45%
China Evergrande New Energy Vehicle Group Ltd.,708,0.44%
Mirvac Group,MGR,0.43%
Dexus,DXS,0.42%
Stockland,SGP,0.42%
WH Group Ltd. (HK),288,0.41%
Seek Limited,SEK,0.41%
Power Assets Holdings Limited,6,0.39%
CapitaLand Integrated Commercial Trust,C38U,0.39%
Ascendas Real Estate Investment Trust,A17U,0.38%
Northern Star Resources Ltd,NST,0.37%
Meridian Energy Limited,MEL,0.37%
Lendlease Group,LLC,0.37%
GPT Group,GPT,0.36%
Tabcorp Holdings Limited,TAH,0.36%
Auckland International Airport Limited,AIA,0.35%
New World Development Co. Ltd.,17,0.35%
Bluescope Steel Limited,BSL,0.35%
Origin Energy Limited,ORG,0.34%
a2 Milk Company Ltd.,ATM,0.34%
Sydney Airport,SYD,0.34%
Medibank Private Ltd.,MPL,0.34%
Evolution Mining Limited,EVN,0.34%
Spark New Zealand Limited,SPK,0.33%
CapitaLand Limited,C31,0.32%
Magellan Financial Group Ltd,MFG,0.31%
Keppel Corporation Limited,BN4,0.31%
Computershare Limited,CPU,0.3%
Singapore Exchange Ltd.,S68,0.3%
REA Group Ltd,REA,0.3%
AGL Energy Limited,AGL,0.3%
Budweiser Brewing Co. APAC Ltd.,1876,0.29%
Aurizon Holdings Ltd.,AZJ,0.29%
U.S. Dollar,Other,0.28%
Henderson Land Development Co. Ltd.,12,0.28%
Ampol Limited,ALD,0.28%
Treasury Wine Estates Limited,TWE,0.27%
Coca-Cola Amatil Limited,CCL,0.26%
Contact Energy Limited,CEN,0.25%
Vicinity Centres,VCX,0.25%
Hang Lung Properties Limited,101,0.25%
Orica Limited,ORI,0.25%
HKT Trust and HKT Ltd,6823,0.25%
Jardine Strategic Holdings Limited,J37,0.24%
Ryman Healthcare Ltd.,RYM,0.24%
Singapore Technologies Engineering Ltd,S63,0.23%
Domino\'s Pizza Enterprises Limited,DMP,0.22%
Singapore Airlines Ltd.,C6L,0.22%
AMP Limited,AMP,0.22%
Venture Corporation Limited,V03,0.21%
Sino Land Co. Ltd.,83,0.21%
Bendigo & Adelaide Bank Ltd.,BEN,0.2%
Boral Limited,BLD,0.2%
ASM Pacific Technology Limited,522,0.2%
Genting Singapore Limited,G13,0.19%
ESR Cayman Ltd.,1821,0.19%
Wisetech Global Ltd.,WTC,0.19%
Bank of East Asia Ltd.,23,0.18%
Incitec Pivot Limited,IPL,0.18%
Qantas Airways Limited,QAN,0.18%
Mapletree Commercial Trust,N2IU,0.18%
Fletcher Building Limited,FBU,0.18%
Alumina Limited,AWC,0.17%
CK Infrastructure Holdings Limited,1038,0.17%
Reece Limited,REH,0.17%
Swire Properties Limited,1972,0.16%
Mercury NZ Ltd.,MCY,0.16%
Challenger Limited,CGF,0.15%
NagaCorp Ltd.,3918,0.15%
UOL Group Limited,U14,0.15%
Worley Limited,WOR,0.15%
City Developments Limited,C09,0.15%
Washington H. Soul Pattinson and Co. Ltd.,SOL,0.15%
Swire Pacific Limited Class A,19,0.15%
Chow Tai Fook Jewellery Group Limited,1929,0.14%
Crown Resorts Limited,CWN,0.14%
Harvey Norman Holdings Ltd,HVN,0.13%
AusNet Services Limited,AST,0.13%
Wynn Macau Ltd.,1128,0.13%
Suntec Real Estate Investment Trust,T82U,0.13%
Comfortdelgro Corporation Limited,C52,0.13%
Seven Group Holdings Limited,SVW,0.12%
SJM Holdings Limited,880,0.12%
HK Electric Investments & HK Electric Investments Ltd.,2638,0.12%
"Hysan Development Co., Ltd.",14,0.12%
PCCW Limited,8,0.12%
TPG Telecom Limited,TPG,0.11%
SATS Ltd,S58,0.11%
JS Global Lifestyle Company Limited,1691,0.09%
Kerry Properties Limited,683,0.08%
Jardine Cycle & Carriage Limited,C07,0.08%
Mapletree North Asia Commercial Trust,RW0U,0.08%
NWS Holdings Limited,659,0.07%
MGM China Holdings Limited,2282,0.07%
