BBEU: JPMorgan BetaBuilders Europe ETF
Inception Date: 2018-06-15
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	3407900
Shares Outstanding: 128600000
Expense Ratio: 0.09%
Tracks This Index: Morningstar Developed Europe Target Market Exposure Index
ETFdb.com Category: Europe Equities
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BBEU


Holding,Symbol,Weighting
Nestle S.A.,NESN,3.36%
Roche Holding Ltd,ROG,2.42%
Novartis AG,NOVN,2.31%
ASML Holding NV,ASML,2.06%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.66%
Unilever PLC,ULVR,1.57%
SAP SE,SAP,1.41%
AstraZeneca PLC,AZN,1.3%
Novo Nordisk A/S Class B,NOVO.B,1.16%
Siemens AG,SIE,1.15%
Sanofi,SAN,1.1%
Total SE,FP,1.09%
HSBC Holdings Plc,HSBA,1.06%
Allianz SE,ALV,1.01%
Diageo plc,DGE,0.93%
GlaxoSmithKline plc,GSK,0.91%
L\'Oreal SA,OR,0.91%
British American Tobacco p.l.c.,BATS,0.85%
Iberdrola SA,IBE,0.82%
Rio Tinto plc,RIO,0.81%
Schneider Electric SE,SU,0.79%
Enel SpA,ENEL,0.78%
Air Liquide SA,AI,0.78%
Royal Dutch Shell Plc Class A,RDSA,0.72%
BASF SE,BAS,0.72%
Adyen NV,ADYEN,0.7%
BP p.l.c.,BP,0.7%
Airbus SE,AIR,0.68%
adidas AG,ADS,0.66%
Reckitt Benckiser Group plc,RB,0.65%
Royal Dutch Shell Plc Class B,RDSB,0.63%
Zurich Insurance Group Ltd,ZURN,0.62%
BNP Paribas SA Class A,BNP,0.6%
Deutsche Telekom AG,DTE,0.59%
Anheuser-Busch InBev SA/NV,ABI,0.59%
Daimler AG,DAI,0.58%
Bayer AG,BAYN,0.57%
BHP Group Plc,BHP,0.56%
UBS Group AG,UBSG,0.53%
ABB Ltd.,ABBN,0.53%
Kering SA,KER,0.53%
Banco Santander S.A.,SAN,0.52%
VINCI SA,DG,0.51%
Infineon Technologies AG,IFX,0.5%
AXA SA,CS,0.49%
Koninklijke Philips N.V.,PHIA,0.49%
RELX PLC,REL,0.48%
Deutsche Post AG,DPW,0.48%
Prudential plc,PRU,0.48%
Lonza Group AG,LONN,0.47%
