BBIN: JPMorgan BetaBuilders International Equity ETF
Inception Date: 2019-12-03
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	3086890
Shares Outstanding: 55400000
Expense Ratio: %
Tracks This Index: Morningstar Developed Markets ex-North America Target Market Exposure Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: J.P. Morgan
Structure: 
ETF Home Page: https://etfdb.com/etf/BBIN


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.05%
Roche Holding Ltd,ROG,1.48%
Novartis AG,NOVN,1.41%
ASML Holding NV,ASML,1.26%
Toyota Motor Corp.,7203,1.18%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.02%
Unilever PLC,ULVR,0.96%
AIA Group Limited,1299,0.91%
SAP SE,SAP,0.86%
AstraZeneca PLC,AZN,0.79%
SoftBank Group Corp.,9984,0.77%
Sony Corporation,6758,0.76%
Novo Nordisk A/S Class B,NOVO.B,0.71%
Siemens AG,SIE,0.7%
Commonwealth Bank of Australia,CBA,0.69%
Sanofi,SAN,0.67%
Total SE,FP,0.67%
HSBC Holdings Plc,HSBA,0.65%
Keyence Corporation,6861,0.64%
Allianz SE,ALV,0.62%
CSL Limited,CSL,0.6%
BHP Group Ltd,BHP,0.59%
Diageo plc,DGE,0.57%
GlaxoSmithKline plc,GSK,0.56%
L\'Oreal SA,OR,0.56%
British American Tobacco p.l.c.,BATS,0.52%
Iberdrola SA,IBE,0.5%
Rio Tinto plc,RIO,0.49%
Schneider Electric SE,SU,0.48%
Enel SpA,ENEL,0.47%
Air Liquide SA,AI,0.47%
"Nintendo Co., Ltd.",7974,0.46%
Royal Dutch Shell Plc Class A,RDSA,0.44%
BASF SE,BAS,0.44%
Adyen NV,ADYEN,0.43%
"Recruit Holdings Co., Ltd.",6098,0.43%
BP p.l.c.,BP,0.43%
Nidec Corporation,6594,0.42%
Shin-Etsu Chemical Co Ltd,4063,0.42%
Airbus SE,AIR,0.41%
adidas AG,ADS,0.41%
Reckitt Benckiser Group plc,RB,0.4%
Hong Kong Exchanges & Clearing Ltd.,388,0.39%
"DAIKIN INDUSTRIES, LTD.",6367,0.39%
Royal Dutch Shell Plc Class B,RDSB,0.38%
Zurich Insurance Group Ltd,ZURN,0.38%
"Daiichi Sankyo Company, Limited",4568,0.38%
BNP Paribas SA Class A,BNP,0.37%
Deutsche Telekom AG,DTE,0.36%
Daimler AG,DAI,0.36%
Anheuser-Busch InBev SA/NV,ABI,0.36%
Tokyo Electron Ltd.,8035,0.35%
Bayer AG,BAYN,0.35%
"Murata Manufacturing Co., Ltd.",6981,0.35%
National Australia Bank Limited,NAB,0.35%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.35%
"FAST RETAILING CO., LTD.",9983,0.35%
BHP Group Plc,BHP,0.34%
Takeda Pharmaceutical Co. Ltd.,4502,0.34%
UBS Group AG,UBSG,0.33%
Westpac Banking Corporation,WBC,0.33%
ABB Ltd.,ABBN,0.32%
Banco Santander S.A.,SAN,0.32%
Kering SA,KER,0.32%
VINCI SA,DG,0.31%
HOYA CORPORATION,7741,0.31%
AXA SA,CS,0.3%
Infineon Technologies AG,IFX,0.3%
Australia and New Zealand Banking Group Limited,ANZ,0.3%
Koninklijke Philips N.V.,PHIA,0.3%
Lonza Group AG,LONN,0.29%
Vestas Wind Systems A/S,VWS,0.29%
Compagnie Financiere Richemont SA,CFR,0.29%
KDDI Corporation,9433,0.29%
Safran S.A.,SAF,0.29%
"Honda Motor Co., Ltd.",7267,0.29%
RELX PLC,REL,0.29%
EssilorLuxottica SA,EL,0.29%
Deutsche Post AG,DPW,0.29%
Prudential plc,PRU,0.29%
Prosus N.V. Class N,PRX,0.28%
Fanuc Corporation,6954,0.28%
Danone SA,BN,0.28%
Wesfarmers Limited,WES,0.27%
National Grid plc,NG,0.27%
Vodafone Group Plc,VOD,0.27%
Anglo American plc,AAL,0.27%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.26%
Intesa Sanpaolo S.p.A.,ISP,0.25%
Munich Reinsurance Company,MUV2,0.25%
Vonovia SE,VNA,0.25%
Sika AG,SIKA,0.24%
London Stock Exchange Group plc,LSE,0.24%
"M3, Inc.",2413,0.24%
Itochu Corporation,8001,0.24%
Pernod Ricard SA,RI,0.24%
Hermes International SCA,RMS,0.23%
SMC Corporation,6273,0.23%
Volvo AB Class B,VOLV.B,0.23%
Woolworths Group Ltd,WOW,0.23%
"Hitachi,Ltd.",6501,0.23%
Macquarie Group Limited,MQG,0.22%
"Tokio Marine Holdings, Inc.",8766,0.22%
Orsted,ORSTED,0.22%
ING Groep NV,INGA,0.22%
"Industria de Diseno Textil, S.A.",ITX,0.22%
"Oriental Land Co., Ltd.",4661,0.22%
Kao Corp.,4452,0.22%
Volkswagen AG Pref,VOW3,0.21%
DBS Group Holdings Ltd,D05,0.21%
Glencore plc,GLEN,0.21%
Lloyds Banking Group plc,LLOY,0.21%
DSV Panalpina A/S,DSV,0.21%
Experian PLC,EXPN,0.21%
Mitsubishi Corporation,8058,0.21%
Rio Tinto Limited,RIO,0.2%
"Chugai Pharmaceutical Co., Ltd.",4519,0.2%
Nippon Telegraph and Telephone Corporation,9432,0.2%
Amadeus IT Group SA Class A,AMS,0.2%
CRH Plc,CRG,0.2%
Atlas Copco AB Class A,ATCO.A,0.2%
Compass Group PLC,CPG,0.2%
Investor AB Class B,INVE.B,0.2%
Barclays PLC,BARC,0.2%
Deutsche Boerse AG,DB1,0.2%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.2%
"Alcon, Inc.",ALC,0.2%
Kone Oyj Class B,KNEBV,0.2%
Givaudan SA,GIVN,0.2%
Mitsubishi Electric Corp.,6503,0.19%
DENSO CORPORATION,6902,0.19%
"Mizuho Financial Group, Inc.",8411,0.19%
Tesco PLC,TSCO,0.19%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.19%
Oversea-Chinese Banking Corporation Limited,O39,0.19%
Koninklijke DSM N.V.,DSM,0.19%
Fortescue Metals Group Ltd,FMG,0.19%
Koninklijke Ahold Delhaize N.V.,AD,0.19%
Neste Corporation,NESTE,0.19%
Credit Suisse Group AG,CSGN,0.18%
Terumo Corporation,4543,0.18%
Ferrari NV,RACE,0.18%
"Mitsui & Co.,Ltd",8031,0.18%
Flutter Entertainment Plc,FLTR,0.18%
Central Japan Railway Company,9022,0.18%
Nordea Bank Abp,NDA.SE,0.17%
"Seven & I Holdings Co., Ltd.",3382,0.17%
Ferguson Plc,FERG,0.17%
RWE AG,RWE,0.17%
Astellas Pharma Inc.,4503,0.17%
"AEON Co., Ltd.",8267,0.17%
Vivendi SE,VIV,0.17%
Olympus Corp.,7733,0.17%
ENGIE SA.,ENGI,0.17%
Bayerische Motoren Werke AG,BMW,0.17%
Dassault Systemes SA,DSY,0.17%
Panasonic Corporation,6752,0.17%
Transurban Group Ltd.,TCL,0.17%
LafargeHolcim Ltd.,LHN,0.17%
"Shiseido Company,Limited",4911,0.17%
JPMorgan Trust II US Government Money Market Fund Institutional,IJGXX,0.16%
United Overseas Bank Ltd. (Singapore),U11,0.16%
Heineken NV,HEIA,0.16%
Hexagon AB Class B,HEXA.B,0.16%
Sandvik AB,SAND,0.16%
Genmab A/S,GMAB,0.16%
Komatsu Ltd.,6301,0.16%
Fujitsu Limited,6702,0.16%
