BDCZ: ETRACS Wells Fargo Business Development Company Index ETN
Inception Date: 2015-10-08
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	46069
Shares Outstanding: 2870000
Expense Ratio: 0.85%
Tracks This Index: Wells Fargo Business Development Company Index
ETFdb.com Category: Financials Equities
Issuer: UBS
Structure: ETN
ETF Home Page: https://etfdb.com/etf/BDCZ


Holding,Symbol,Weighting
Acas LLC,ACAS,10.2506%
Ares Capital Corp,ARCC,10.1685%
Solar Senior Capital Ltd,SUNS,9.8523%
Apollo Investment Corp,AINV,9.2829%
Medallion Financial Corp,MFIN,6.2983%
BlackRock Capital Investment Corp,BKCC,5.4774%
Solar Capital Ltd,SLRC,4.5099%
Hercules Capital Inc,HTGC,3.958%
Medley Capital Corp,MCC,3.8959%
MCG Capital Corp,MCGC,3.1552%
Capital Southwest Corp,CSWC,2.6909%
Pennantpark Investment Corp,PNNT,2.6553%
Gladstone Capital Corp,GLAD,1.9469%
Golub Capital BDC Inc,GBDC,1.6282%
Prospect Capital Corp,PSEC,1.5997%
Gladstone Investment Corp,GAIN,1.5706%
MVC Capital Inc,MVC,1.5104%
Main Street Capital Corp,MAIN,1.2321%
Horizon Technology Finance Corp,HRZN,1.1826%
