BKHY: BNY Mellon High Yield Beta ETF
Inception Date: 2020-04-24
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	36388
Shares Outstanding: 650000
Expense Ratio: 0.22%
Tracks This Index: Bloomberg Barclays US Corporate High Yield Index
ETFdb.com Category: High Yield Bonds
Issuer: Bank of New York Mellon
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BKHY


Holding,Symbol,Weighting
U.S. Dollar,Other,1.72%
CORPORATE BOND,Other,1.33%
Altice France SA 7.375% 01-MAY-2026,Other,0.45%
Ford Motor Credit Company LLC 5.113% 03-MAY-2029,Other,0.43%
"Kraft Foods Group, Inc. 5.0% 04-JUN-2042",Other,0.36%
Centene Corporation 5.375% 15-AUG-2026,Other,0.32%
"Level 3 Financing, Inc. 4.625% 15-SEP-2027",Other,0.32%
"Colt Merger Sub, Inc. 6.25% 01-JUL-2025",Other,0.3%
CCO Holdings LLC 5.125% 01-MAY-2027,Other,0.29%
VRX Escrow Corp. 6.125% 15-APR-2025,Other,0.29%
"TransDigm, Inc. 6.25% 15-MAR-2026",Other,0.28%
American Airlines 2015-1 Pass Through Trust 3.375% 01-NOV-2028,Other,0.28%
Vodafone Group PLC Notes 2019-04.04.79 Global Fixed/Floating Rate,Other,0.28%
Bausch Health Companies Inc. 6.25% 15-FEB-2029,Other,0.26%
"CSC Holdings, LLC 4.625% 01-DEC-2030",Other,0.26%
Occidental Petroleum Corporation 6.45% 15-SEP-2036,Other,0.25%
"Molina Healthcare, Inc. 4.375% 15-JUN-2028",Other,0.25%
Jaguar Land Rover Automotive Plc 5.875% 15-JAN-2028,Other,0.25%
Ford Motor Company 9.0% 22-APR-2025,Other,0.25%
CCO Holdings LLC 4.5% 01-MAY-2032,Other,0.25%
Centene Corporation 4.625% 15-DEC-2029,Other,0.25%
Kraft Heinz Foods Co. 4.375% 01-JUN-2046,Other,0.24%
Carnival Corporation 11.5% 01-APR-2023,Other,0.24%
Springleaf Finance Corporation 4.0% 15-SEP-2030,Other,0.24%
CCO Holdings LLC 4.25% 01-FEB-2031,Other,0.23%
CCO Holdings LLC 5.0% 01-FEB-2028,Other,0.23%
"CSC Holdings, LLC 6.5% 01-FEB-2029",Other,0.23%
NFP Corp. 6.875% 15-AUG-2028,Other,0.22%
VEON Holdings BV 4.0% 09-APR-2025,Other,0.22%
Sprint Corp. 7.875% 15-SEP-2023,Other,0.22%
Tenet Healthcare Corporation 6.25% 01-FEB-2027,Other,0.22%
Sprint Corp. 7.125% 15-JUN-2024,Other,0.21%
Tenet Healthcare Corporation 5.125% 01-MAY-2025,Other,0.21%
"GFL Environmental, Inc. 3.5% 01-SEP-2028",Other,0.21%
"Kraft Foods Group, Inc. 6.875% 26-JAN-2039",Other,0.2%
Sprint Capital Corp. 8.75% 15-MAR-2032,Other,0.2%
Ford Motor Company 7.45% 16-JUL-2031,Other,0.2%
"Tesla, Inc. 5.3% 15-AUG-2025",Other,0.2%
"Post Holdings, Inc. 5.0% 15-AUG-2026",Other,0.2%
Tenet Healthcare Corporation 6.125% 01-OCT-2028,Other,0.2%
CCO Holdings LLC 4.75% 01-MAR-2030,Other,0.19%
Royal Caribbean Group 11.5% 01-JUN-2025,Other,0.19%
"Bausch Health Americas, Inc. 9.25% 01-APR-2026",Other,0.19%
Ford Motor Company 8.5% 21-APR-2023,Other,0.19%
"Banff Merger Sub, Inc. 9.75% 01-SEP-2026",Other,0.19%
"Netflix, Inc. 5.875% 15-FEB-2025",Other,0.19%
Kraft Heinz Foods Co. 5.2% 15-JUL-2045,Other,0.18%
"B&G Foods, Inc. 5.25% 15-SEP-2027",Other,0.18%
Uniti Group LP 7.875% 15-FEB-2025,Other,0.18%
FirstEnergy Corp. 7.375% 15-NOV-2031,Other,0.18%
VMED O2 UK Financing I Plc 4.25% 31-JAN-2031,Other,0.18%
"HCA, Inc. 5.375% 01-FEB-2025",Other,0.17%
Titan Acquisition Ltd. 7.75% 15-APR-2026,Other,0.17%
