BKLC: BNY Mellon US Large Cap Core Equity ETF
Inception Date: 2020-04-09
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	163005
Shares Outstanding: 2302000
Expense Ratio: 0.0%
Tracks This Index: Morningstar US Large Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Bank of New York Mellon
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BKLC


Holding,Symbol,Weighting
Apple Inc.,AAPL,7.92%
Microsoft Corporation,MSFT,6.28%
"Amazon.com, Inc.",AMZN,5.19%
"Facebook, Inc. Class A",FB,2.45%
Tesla Inc,TSLA,2.0%
Alphabet Inc. Class A,GOOGL,1.97%
Alphabet Inc. Class C,GOOG,1.9%
Berkshire Hathaway Inc. Class B,BRK.B,1.69%
Johnson & Johnson,JNJ,1.55%
JPMorgan Chase & Co.,JPM,1.44%
Visa Inc. Class A,V,1.39%
Procter & Gamble Company,PG,1.29%
UnitedHealth Group Incorporated,UNH,1.25%
Walt Disney Company,DIS,1.22%
NVIDIA Corporation,NVDA,1.21%
Mastercard Incorporated Class A,MA,1.17%
"Home Depot, Inc.",HD,1.07%
PayPal Holdings Inc,PYPL,1.02%
Verizon Communications Inc.,VZ,0.91%
"Netflix, Inc.",NFLX,0.9%
Adobe Inc.,ADBE,0.9%
Comcast Corporation Class A,CMCSA,0.89%
Bank of America Corp,BAC,0.86%
Coca-Cola Company,KO,0.8%
"Merck & Co., Inc.",MRK,0.78%
"salesforce.com, inc.",CRM,0.77%
Intel Corporation,INTC,0.77%
"PepsiCo, Inc.",PEP,0.77%
Pfizer Inc.,PFE,0.77%
AT&T Inc.,T,0.77%
Walmart Inc.,WMT,0.75%
Abbott Laboratories,ABT,0.73%
"Cisco Systems, Inc.",CSCO,0.71%
"AbbVie, Inc.",ABBV,0.7%
Thermo Fisher Scientific Inc.,TMO,0.69%
Broadcom Inc.,AVGO,0.66%
Exxon Mobil Corporation,XOM,0.66%
"NIKE, Inc. Class B",NKE,0.66%
Qualcomm Inc,QCOM,0.64%
Costco Wholesale Corporation,COST,0.63%
Accenture Plc Class A,ACN,0.61%
Chevron Corporation,CVX,0.61%
McDonald\'s Corporation,MCD,0.6%
Medtronic Plc,MDT,0.59%
"NextEra Energy, Inc.",NEE,0.57%
Texas Instruments Incorporated,TXN,0.56%
Honeywell International Inc.,HON,0.56%
Danaher Corporation,DHR,0.53%
Bristol-Myers Squibb Company,BMY,0.53%
Union Pacific Corporation,UNP,0.53%
Linde plc,LIN,0.52%
Eli Lilly and Company,LLY,0.5%
Amgen Inc.,AMGN,0.5%
Philip Morris International Inc.,PM,0.49%
Citigroup Inc.,C,0.48%
Starbucks Corporation,SBUX,0.47%
Wells Fargo & Company,WFC,0.47%
Oracle Corporation,ORCL,0.46%
"United Parcel Service, Inc. Class B",UPS,0.45%
"Lowe\'s Companies, Inc.",LOW,0.44%
Boeing Company,BA,0.42%
International Business Machines Corporation,IBM,0.42%
"ServiceNow, Inc.",NOW,0.41%
Raytheon Technologies Corporation,RTX,0.41%
"Advanced Micro Devices, Inc.",AMD,0.41%
3M Company,MMM,0.38%
"BlackRock, Inc.",BLK,0.38%
American Tower Corporation,AMT,0.37%
Intuit Inc.,INTU,0.37%
Morgan Stanley,MS,0.36%
"Charter Communications, Inc. Class A",CHTR,0.36%
Caterpillar Inc.,CAT,0.36%
General Electric Company,GE,0.35%
"Intuitive Surgical, Inc.",ISRG,0.35%
CVS Health Corporation,CVS,0.34%
Target Corporation,TGT,0.33%
"Goldman Sachs Group, Inc.",GS,0.33%
Lockheed Martin Corporation,LMT,0.33%
