BKMC: BNY Mellon US Mid Cap Core Equity ETF
Inception Date: 2020-04-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	65902
Shares Outstanding: 850000
Expense Ratio: 0.04%
Tracks This Index: Morningstar US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Bank of New York Mellon
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BKMC


Holding,Symbol,Weighting
KLA Corporation,KLAC,0.52%
TE Connectivity Ltd.,TEL,0.51%
"Freeport-McMoRan, Inc.",FCX,0.5%
"Match Group, Inc.",MTCH,0.49%
"Cadence Design Systems, Inc.",CDNS,0.49%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.48%
"Peloton Interactive, Inc. Class A",PTON,0.47%
MSCI Inc. Class A,MSCI,0.47%
Sysco Corporation,SYY,0.47%
"Agilent Technologies, Inc.",A,0.46%
"Xilinx, Inc.",XLNX,0.45%
Aptiv PLC,APTV,0.45%
Microchip Technology Incorporated,MCHP,0.45%
"DexCom, Inc.",DXCM,0.44%
Trane Technologies plc,TT,0.44%
"Pinterest, Inc. Class A",PINS,0.44%
"Roku, Inc. Class A",ROKU,0.44%
Parker-Hannifin Corporation,PH,0.44%
"Travelers Companies, Inc.",TRV,0.43%
"PPG Industries, Inc.",PPG,0.43%
IHS Markit Ltd.,INFO,0.43%
"Alexion Pharmaceuticals, Inc.",ALXN,0.43%
"Moderna, Inc.",MRNA,0.43%
"Palo Alto Networks, Inc.",PANW,0.43%
IQVIA Holdings Inc,IQV,0.43%
Verisk Analytics Inc,VRSK,0.42%
HP Inc.,HPQ,0.42%
Liberty Broadband Corp. Class C,LBRDK,0.42%
T. Rowe Price Group,TROW,0.42%
Johnson Controls International plc,JCI,0.42%
Ford Motor Company,F,0.42%
Allstate Corporation,ALL,0.41%
"Trade Desk, Inc. Class A",TTD,0.41%
TransDigm Group Incorporated,TDG,0.41%
Marvell Technology Group Ltd.,MRVL,0.4%
ResMed Inc.,RMD,0.4%
"Zimmer Biomet Holdings, Inc.",ZBH,0.4%
"Yum! Brands, Inc.",YUM,0.4%
"American International Group, Inc.",AIG,0.4%
Schlumberger NV,SLB,0.39%
"ANSYS, Inc.",ANSS,0.39%
"Okta, Inc. Class A",OKTA,0.39%
Carrier Global Corp.,CARR,0.39%
"Prudential Financial, Inc.",PRU,0.39%
Hilton Worldwide Holdings Inc,HLT,0.38%
Eversource Energy,ES,0.38%
"RingCentral, Inc. Class A",RNG,0.38%
Phillips 66,PSX,0.38%
Ball Corporation,BLL,0.38%
"Paychex, Inc.",PAYX,0.37%
Corteva Inc,CTVA,0.37%
"EOG Resources, Inc.",EOG,0.37%
Walgreens Boots Alliance Inc,WBA,0.37%
PACCAR Inc,PCAR,0.36%
Public Service Enterprise Group Inc,PEG,0.36%
"Motorola Solutions, Inc.",MSI,0.36%
McKesson Corporation,MCK,0.36%
"Rockwell Automation, Inc.",ROK,0.36%
Aflac Incorporated,AFL,0.36%
"American Water Works Company, Inc.",AWK,0.35%
Fastenal Company,FAST,0.35%
"Simon Property Group, Inc.",SPG,0.35%
Archer-Daniels-Midland Company,ADM,0.35%
V.F. Corporation,VFC,0.35%
Mettler-Toledo International Inc.,MTD,0.35%
Discover Financial Services,DFS,0.35%
"AMETEK, Inc.",AME,0.35%
"AutoZone, Inc.",AZO,0.34%
Corning Inc,GLW,0.34%
"Stanley Black & Decker, Inc.",SWK,0.34%
U.S. Dollar,Other,0.33%
"Welltower, Inc.",WELL,0.33%
Southwest Airlines Co.,LUV,0.33%
First Republic Bank,FRC,0.33%
Marathon Petroleum Corporation,MPC,0.33%
Willis Towers Watson Public Limited Company,WLTW,0.33%
"Dollar Tree, Inc.",DLTR,0.33%
Splunk Inc.,SPLK,0.33%
Otis Worldwide Corporation,OTIS,0.33%
Kinder Morgan Inc Class P,KMI,0.33%
Clorox Company,CLX,0.32%
"Copart, Inc.",CPRT,0.32%
Keysight Technologies Inc,KEYS,0.32%
State Street Corporation,STT,0.32%
"Williams Companies, Inc.",WMB,0.32%
"Teladoc Health, Inc.",TDOC,0.31%
"Delta Air Lines, Inc.",DAL,0.31%
Weyerhaeuser Company,WY,0.31%
"Skyworks Solutions, Inc.",SWKS,0.31%
Cerner Corporation,CERN,0.31%
Kroger Co.,KR,0.31%
"Consolidated Edison, Inc.",ED,0.31%
"Maxim Integrated Products, Inc.",MXIM,0.3%
"Take-Two Interactive Software, Inc.",TTWO,0.3%
"McCormick & Company, Incorporated",MKC,0.3%
DTE Energy Company,DTE,0.3%
Arthur J. Gallagher & Co.,AJG,0.29%
LyondellBasell Industries NV,LYB,0.29%
Valero Energy Corporation,VLO,0.29%
"Viatris, Inc.",VTRS,0.29%
"Coupa Software, Inc.",COUP,0.29%
Hershey Company,HSY,0.29%
Edison International,EIX,0.29%
Fortive Corp.,FTV,0.29%
Equifax Inc.,EFX,0.29%
"Best Buy Co., Inc.",BBY,0.29%
"D.R. Horton, Inc.",DHI,0.28%
"Alexandria Real Estate Equities, Inc.",ARE,0.28%
"Etsy, Inc.",ETSY,0.28%
MarketAxess Holdings Inc.,MKTX,0.28%
"Ameriprise Financial, Inc.",AMP,0.28%
KKR & Co. Inc.,KKR,0.28%
"Enphase Energy, Inc.",ENPH,0.28%
"FLEETCOR Technologies, Inc.",FLT,0.28%
ViacomCBS Inc. Class B,VIAC,0.27%
"AvalonBay Communities, Inc.",AVB,0.27%
"Seagen, Inc.",SGEN,0.27%
"VeriSign, Inc.",VRSN,0.27%
PPL Corporation,PPL,0.27%
"Church & Dwight Co., Inc.",CHD,0.27%
"Paycom Software, Inc.",PAYC,0.27%
"Slack Technologies, Inc. Class A",WORK,0.26%
Realty Income Corporation,O,0.26%
Zebra Technologies Corporation Class A,ZBRA,0.26%
Lennar Corporation Class A,LEN,0.26%
SVB Financial Group,SIVB,0.26%
"CBRE Group, Inc. Class A",CBRE,0.26%
"West Pharmaceutical Services, Inc.",WST,0.26%
Exact Sciences Corporation,EXAS,0.26%
Laboratory Corporation of America Holdings,LH,0.25%
"Fortinet, Inc.",FTNT,0.25%
"Teradyne, Inc.",TER,0.25%
Fifth Third Bancorp,FITB,0.25%
Vulcan Materials Company,VMC,0.25%
"Republic Services, Inc.",RSG,0.25%
Equity Residential,EQR,0.25%
Entergy Corporation,ETR,0.25%
Northern Trust Corporation,NTRS,0.25%
"Tyson Foods, Inc. Class A",TSN,0.24%
"Hologic, Inc.",HOLX,0.24%
Kansas City Southern,KSU,0.24%
International Paper Company,IP,0.24%
Teleflex Incorporated,TFX,0.24%
"Qorvo, Inc.",QRVO,0.24%
"EPAM Systems, Inc.",EPAM,0.24%
"Old Dominion Freight Line, Inc.",ODFL,0.24%
Pioneer Natural Resources Company,PXD,0.24%
Synchrony Financial,SYF,0.24%
"Zillow Group, Inc. Class C",Z,0.24%
PG&E Corporation,PCG,0.23%
"Conagra Brands, Inc.",CAG,0.23%
"Expedia Group, Inc.",EXPE,0.23%
TransUnion,TRU,0.23%
Ameren Corporation,AEE,0.23%
Xylem Inc.,XYL,0.23%
CDW Corp.,CDW,0.23%
"Ventas, Inc.",VTR,0.23%
"Martin Marietta Materials, Inc.",MLM,0.23%
Dover Corporation,DOV,0.23%
"MongoDB, Inc. Class A",MDB,0.22%
"W.W. Grainger, Inc.",GWW,0.22%
Garmin Ltd.,GRMN,0.22%
Catalent Inc,CTLT,0.22%
Halliburton Company,HAL,0.22%
"Wayfair, Inc. Class A",W,0.22%
Amcor PLC,AMCR,0.22%
"Broadridge Financial Solutions, Inc.",BR,0.22%
Datadog Inc Class A,DDOG,0.22%
"Hartford Financial Services Group, Inc.",HIG,0.22%
"Akamai Technologies, Inc.",AKAM,0.22%
"Tyler Technologies, Inc.",TYL,0.22%
"Cooper Companies, Inc.",COO,0.22%
Trimble Inc.,TRMB,0.22%
"Burlington Stores, Inc.",BURL,0.22%
"United Rentals, Inc.",URI,0.22%
Tractor Supply Company,TSCO,0.21%
Ingersoll Rand Inc.,IR,0.21%
"Zendesk, Inc.",ZEN,0.21%
CMS Energy Corporation,CMS,0.21%
Albemarle Corporation,ALB,0.21%
Ulta Beauty Inc,ULTA,0.21%
Quest Diagnostics Incorporated,DGX,0.21%
"HubSpot, Inc.",HUBS,0.21%
KeyCorp,KEY,0.21%
Dell Technologies Inc Class C,DELL,0.21%
Insulet Corporation,PODD,0.21%
"ONEOK, Inc.",OKE,0.21%
"PerkinElmer, Inc.",PKI,0.21%
STERIS Plc,STE,0.21%
"Varian Medical Systems, Inc.",VAR,0.21%
