BKSB: BNY Mellon Short Duration Corporate Bond ETF
Inception Date: 2020-04-24
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	28419
Shares Outstanding: 550000
Expense Ratio: 0.06%
Tracks This Index: Bloomberg Barclays U.S. 1–5 Year Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: Bank of New York Mellon
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BKSB


Holding,Symbol,Weighting
Credit Suisse Group Funding (Guernsey) Ltd. 3.75% 26-MAR-2025,Other,0.98%
HSBC Holdings Plc 4.292% 12-SEP-2026,Other,0.8%
Barclays Plc 4.375% 11-SEP-2024,Other,0.78%
"Sumitomo Mitsui Financial Group, Inc. 2.348% 15-JAN-2025",Other,0.75%
"Mizuho Financial Group, Inc. 2.953% 28-FEB-2022",Other,0.73%
Lloyds Banking Group plc 3.0% 11-JAN-2022,Other,0.72%
U.S. Dollar,Other,0.6%
Wells Fargo & Company 3.3% 09-SEP-2024,Other,0.58%
HSBC USA Inc. 3.5% 23-JUN-2024,Other,0.58%
U.S. Bancorp 3.375% 05-FEB-2024,Other,0.58%
AerCap Ireland Capital DAC 4.5% 15-SEP-2023,Other,0.57%
International Business Machines Corporation 3.0% 15-MAY-2024,Other,0.57%
Deutsche Bank AG 5.0% 14-FEB-2022,Other,0.55%
Exxon Mobil Corporation 2.992% 19-MAR-2025,Other,0.48%
Bank of America Corporation 4.2% 26-AUG-2024,Other,0.4%
NatWest Group Plc 6.0% 19-DEC-2023,Other,0.4%
CORPORATE BOND,Other,0.39%
Fifth Third Bancorp 3.65% 25-JAN-2024,Other,0.39%
Wells Fargo & Company 4.125% 15-AUG-2023,Other,0.39%
NatWest Markets Plc 6.125% 15-DEC-2022,Other,0.39%
"Goldman Sachs Group, Inc. 3.272% 29-SEP-2025",Other,0.39%
Santander UK Plc 4.0% 13-MAR-2024,Other,0.39%
JPMorgan Chase & Co. 3.875% 10-SEP-2024,Other,0.39%
Morgan Stanley 3.875% 29-APR-2024,Other,0.39%
State Street Corporation 3.7% 20-NOV-2023,Other,0.39%
Citigroup Inc. 3.352% 24-APR-2025,Other,0.38%
"Mitsubishi UFJ Financial Group, Inc. 3.407% 07-MAR-2024",Other,0.38%
Morgan Stanley 4.875% 01-NOV-2022,Other,0.38%
JPMorgan Chase & Co. 3.22% 01-MAR-2025,Other,0.38%
Unilever Capital Corp. 2.6% 05-MAY-2024,Other,0.38%
Toronto-Dominion Bank 2.65% 12-JUN-2024,Other,0.38%
Bank of America Corporation 3.55% 05-MAR-2024,Other,0.38%
"Goldman Sachs Group, Inc. 3.625% 20-FEB-2024",Other,0.38%
Royal Bank of Canada 2.25% 01-NOV-2024,Other,0.38%
Discover Financial Services 3.85% 21-NOV-2022,Other,0.38%
Huntington Bancshares Incorporated 2.625% 06-AUG-2024,Other,0.38%
Morgan Stanley 2.72% 22-JUL-2025,Other,0.38%
"Goldman Sachs Group, Inc. 2.905% 24-JUL-2023",Other,0.37%
Sabine Pass Liquefaction LLC 6.25% 15-MAR-2022,Other,0.37%
Wells Fargo & Company 2.188% 30-APR-2026,Other,0.37%
Citigroup Inc. 2.876% 24-JUL-2023,Other,0.37%
Bank of America Corporation 2.015% 13-FEB-2026,Other,0.37%
Apple Inc. 1.8% 11-SEP-2024,Other,0.37%
"General Motors Financial Co., Inc. 3.55% 08-JUL-2022",Other,0.37%
"Mitsubishi UFJ Financial Group, Inc. 2.665% 25-JUL-2022",Other,0.37%
JPMorgan Chase & Co. 3.207% 01-APR-2023,Other,0.37%
BB&T Corporation 3.05% 20-JUN-2022,Other,0.37%
BB&T Corporation 2.75% 01-APR-2022,Other,0.36%
PNC Funding Corp. 3.3% 08-MAR-2022,Other,0.36%
Canadian Imperial Bank of Commerce 2.55% 16-JUN-2022,Other,0.36%
American Express Company 2.5% 01-AUG-2022,Other,0.36%
Bank of America Corporation 3.124% 20-JAN-2023,Other,0.36%
Oracle Corporation 2.4% 15-SEP-2023,Other,0.35%
Vodafone Group Plc 2.5% 26-SEP-2022,Other,0.35%
Cooperatieve Rabobank UA 3.875% 08-FEB-2022,Other,0.35%
B.A.T. Capital Corp. 3.222% 15-AUG-2024,Other,0.34%
"Amazon.com, Inc. 2.8% 22-AUG-2024",Other,0.32%
"NextEra Energy Capital Holdings, Inc. 3.15% 01-APR-2024",Other,0.32%
