BLES: Inspire Global Hope Large Cap ETF
Inception Date: 2017-02-28
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	115886
Shares Outstanding: 3450000
Expense Ratio: 0.61%
Tracks This Index: Inspire Global Hope Large Cap Equal Weight Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Inspire Investing
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BLES


Holding,Symbol,Weighting
U.S. Dollar,Other,0.5%
Allegion PLC,ALLE,0.4%
"Freeport-McMoRan, Inc.",FCX,0.37%
K+S AG,SDF,0.37%
Fresnillo PLC,FRES,0.37%
Tata Steel Limited,500470,0.37%
STMicroelectronics NV ADR RegS,STM,0.36%
Vestas Wind Systems A/S,VWS,0.36%
ICL Group Ltd.,ICL,0.36%
ASML Holding NV,ASML,0.36%
Partners Group Holding AG,PGHN,0.36%
Anglo American plc,AAL,0.36%
Infosys Limited,500209,0.36%
Markel Corporation,MKL,0.36%
Fortescue Metals Group Ltd,FMG,0.36%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,0.36%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,0.35%
Swatch Group Ltd. Bearer,UHR,0.35%
Antofagasta plc,ANTO,0.35%
Bunzl plc,BNZL,0.35%
Croda International Plc,CRDA,0.35%
Goodman Group,GMG,0.35%
Direct Line Insurance Group Plc,DLG,0.35%
London Stock Exchange Group plc,LSE,0.35%
Koninklijke Boskalis Westminster N.V.,BOKA,0.35%
NXP Semiconductors NV,NXPI,0.35%
ABB Ltd.,ABBN,0.35%
NATIXIS,KN,0.35%
Housing Development Finance Corporation Limited,500010,0.35%
Imerys SA,NK,0.35%
"AutoZone, Inc.",AZO,0.35%
Tata Consultancy Services Limited,532540,0.35%
Melrose Industries PLC,MRO,0.35%
Prysmian S.p.A.,PRY,0.35%
Wm Morrison Supermarkets plc,MRW,0.35%
Aptiv PLC,APTV,0.35%
Infineon Technologies AG,IFX,0.35%
Mettler-Toledo International Inc.,MTD,0.35%
Geberit AG,GEBN,0.35%
Rio Tinto plc,RIO,0.35%
Boliden AB,BOL,0.35%
Royal Mail plc,RMG,0.35%
Amcor PLC Shs Chess Depository Interests Repr 1 Sh,AMC,0.34%
Enel SpA,ENEL,0.34%
Costco Wholesale Corporation,COST,0.34%
Bank Hapoalim BM,POLI,0.34%
Macquarie Group Limited,MQG,0.34%
Newmont Corporation,NEM,0.34%
"Synopsys, Inc.",SNPS,0.34%
Next plc,NXT,0.34%
Apartment Investment & Management Co Class A,AIV,0.34%
Orkla ASA,ORK,0.34%
"CF Industries Holdings, Inc.",CF,0.34%
Bank Leumi Le-Israel Ltd.,LUMI,0.34%
Sage Group plc,SGE,0.34%
"Maxim Integrated Products, Inc.",MXIM,0.34%
Rexel SA,RXL,0.34%
"Ross Stores, Inc.",ROST,0.34%
Groupe Bruxelles Lambert SA,GBLB,0.34%
Gjensidige Forsikring ASA,GJF,0.34%
Devon Energy Corporation,DVN,0.34%
Kingfisher Plc,KGF,0.34%
Brenntag AG,BNR,0.34%
Valero Energy Corporation,VLO,0.34%
Ferguson Plc,FERG,0.34%
RSA Insurance Group plc,RSA,0.34%
BHP Group Plc,BHP,0.34%
Air Liquide SA,AI,0.34%
Ayala Corp.,AC,0.34%
G4S plc,GFS,0.34%
Compagnie Financiere Richemont SA,CFR,0.34%
Smith & Nephew plc,SN,0.34%
Macerich Company,MAC,0.34%
Johnson Matthey Plc,JMAT,0.34%
GPT Group,GPT,0.34%
AES Corporation,AES,0.34%
Sandvik AB,SAND,0.34%
Akzo Nobel N.V.,AKZA,0.34%
"DENTSPLY SIRONA, Inc.",XRAY,0.34%
"Intuitive Surgical, Inc.",ISRG,0.34%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.34%
Alfa Laval AB,ALFA,0.34%
Persimmon Plc,PSN,0.34%
Cincinnati Financial Corporation,CINF,0.34%
Unum Group,UNM,0.34%
Edenred SA,EDEN,0.34%
Demant A/S,DEMANT,0.34%
Brambles Limited,BXB,0.34%
Edwards Lifesciences Corporation,EW,0.34%
"Leggett & Platt, Incorporated",LEG,0.34%
Legal & General Group Plc,LGEN,0.34%
TechnipFMC Plc,FTI,0.34%
Lam Research Corporation,LRCX,0.34%
mBank SA,MBK,0.34%
Danske Bank A/S,DANSKE,0.34%
NOV Inc.,NOV,0.34%
Covivio SA,COV,0.34%
Mosaic Company,MOS,0.34%
Kone Oyj Class B,KNEBV,0.34%
Commonwealth Bank of Australia,CBA,0.34%
Ramsay Health Care Limited,RHC,0.34%
"Cheniere Energy, Inc.",LNG,0.34%
"Cadence Design Systems, Inc.",CDNS,0.34%
Mondi plc,MNDI,0.34%
"Palo Alto Networks, Inc.",PANW,0.34%
LafargeHolcim Ltd.,LHN,0.34%
Trip.com Group Ltd. Sponsored ADR,TCOM,0.33%
Mobile TeleSystems PJSC Sponsored ADR,MBT,0.33%
Petroleo Brasileiro SA Pfd,PETR4,0.33%
Schindler Holding AG Pref,SCHP,0.33%
Companhia Energetica de Minas Gerais SA Pfd,CMIG4,0.33%
"People\'s United Financial, Inc.",PBCT,0.33%
Broadcom Inc.,AVGO,0.33%
PT Adaro Energy Tbk,ADRO,0.33%
Land Securities Group PLC,LAND,0.33%
Marks and Spencer Group plc,MKS,0.33%
Pandora A/S,PNDORA,0.33%
Crown Castle International Corp,CCI,0.33%
Pinnacle West Capital Corporation,PNW,0.33%
Aboitiz Equity Ventures Inc.,AEV,0.33%
Coloplast A/S Class B,COLO.B,0.33%
Pentair plc,PNR,0.33%
ACC Limited,500410,0.33%
KLA Corporation,KLAC,0.33%
Commerzbank AG,CBK,0.33%
Origin Energy Limited,ORG,0.33%
Kansas City Southern,KSU,0.33%
Royal Vopak NV,VPK,0.33%
"Analog Devices, Inc.",ADI,0.33%
J.M. Smucker Company,SJM,0.33%
DaVita Inc.,DVA,0.33%
"Agilent Technologies, Inc.",A,0.33%
Naspers Limited Class N,NPN,0.33%
SL Green Realty Corp.,SLG,0.33%
Kohl\'s Corporation,KSS,0.33%
PT AKR Corporindo Tbk,AKRA,0.33%
LyondellBasell Industries NV,LYB,0.33%
Credit Agricole SA,ACA,0.33%
"Franklin Resources, Inc.",BEN,0.33%
"Illumina, Inc.",ILMN,0.33%
"NetApp, Inc.",NTAP,0.33%
"Intercontinental Exchange, Inc.",ICE,0.33%
Marathon Petroleum Corporation,MPC,0.33%
Norfolk Southern Corporation,NSC,0.33%
Avery Dennison Corporation,AVY,0.33%
Ampol Limited,ALD,0.33%
Bureau Veritas SA,BVI,0.33%
Ayala Land Inc.,ALI,0.33%
Aeroports de Paris SA,ADP,0.33%
Nokian Renkaat Oyj,TYRES,0.33%
Dexus,DXS,0.33%
Centene Corporation,CNC,0.33%
Grupo Aeroportuario del Sureste SA de CV Class B,ASURB,0.33%
Verisk Analytics Inc,VRSK,0.33%
Cerner Corporation,CERN,0.33%
Vulcan Materials Company,VMC,0.33%
Norsk Hydro ASA,NHY,0.33%
Newcrest Mining Limited,NCM,0.33%
HCA Healthcare Inc,HCA,0.33%
Volvo AB Class A,VOLV.A,0.33%
"McCormick & Company, Incorporated",MKC,0.33%
National Australia Bank Limited,NAB,0.33%
Sime Darby Plantation Bhd.,5285,0.33%
Intertek Group plc,ITRK,0.33%
Valeo SA,FR,0.33%
Whitbread PLC,WTB,0.33%
"Assurant, Inc.",AIZ,0.33%
KBC Group N.V.,KBC,0.33%
Equity Residential,EQR,0.33%
Globe Life Inc.,GL,0.33%
EssilorLuxottica SA,EL,0.33%
VINCI SA,DG,0.33%
Eni S.p.A.,ENI,0.33%
"Mohawk Industries, Inc.",MHK,0.33%
Kuehne & Nagel International AG,KNIN,0.33%
PPL Corporation,PPL,0.33%
Cosan S.A.,CSAN3,0.33%
Sealed Air Corporation,SEE,0.33%
NiSource Inc,NI,0.33%
Equinor ASA,EQNR,0.33%
Raiffeisen Bank International AG,RBI,0.33%
Genuine Parts Company,GPC,0.33%
AirAsia Group Bhd.,5099,0.33%
"Gartner, Inc.",IT,0.33%
"Alexion Pharmaceuticals, Inc.",ALXN,0.33%
Pioneer Natural Resources Company,PXD,0.33%
"AMETEK, Inc.",AME,0.33%
Randstad NV,RAND,0.33%
Microchip Technology Incorporated,MCHP,0.33%
"Martin Marietta Materials, Inc.",MLM,0.33%
Dover Corporation,DOV,0.33%
Sampo Oyj Class A,SAMPO,0.33%
Kimco Realty Corporation,KIM,0.33%
UPM-Kymmene Oyj,UPM,0.33%
"Varian Medical Systems, Inc.",VAR,0.33%
Johnson Controls International plc,JCI,0.33%
British Land Company PLC,BLND,0.33%
"United Rentals, Inc.",URI,0.33%
IMI plc,IMI,0.33%
Waters Corporation,WAT,0.33%
Mirvac Group,MGR,0.33%
WEG S.A.,WEGE3,0.33%
"Essex Property Trust, Inc.",ESS,0.33%
Arkema SA,AKE,0.33%
Ryanair Holdings Plc Sponsored ADR,RYAAY,0.32%
Itau Unibanco Holding SA Pfd,ITUB4,0.32%
"Prologis, Inc.",PLD,0.32%
AmerisourceBergen Corporation,ABC,0.32%
"Avangrid, Inc.",AGR,0.32%
FirstEnergy Corp.,FE,0.32%
"Lowe\'s Companies, Inc.",LOW,0.32%
Metropolitan Bank & Trust Co.,MBT,0.32%
"ANSYS, Inc.",ANSS,0.32%
Cochlear Limited,COH,0.32%
Emerson Electric Co.,EMR,0.32%
Apache Corporation,APA,0.32%
American Tower Corporation,AMT,0.32%
Snap-on Incorporated,SNA,0.32%
Cintas Corporation,CTAS,0.32%
Fraport AG,FRA,0.32%
"C.H. Robinson Worldwide, Inc.",CHRW,0.32%
"Roper Technologies, Inc.",ROP,0.32%
Fastenal Company,FAST,0.32%
"CenterPoint Energy, Inc.",CNP,0.32%
TOTVS S.A.,TOTS3,0.32%
"CoStar Group, Inc.",CSGP,0.32%
Halliburton Company,HAL,0.32%
International Paper Company,IP,0.32%
BorgWarner Inc.,BWA,0.32%
Nedbank Group Limited,NED,0.32%
Nucor Corporation,NUE,0.32%
WestRock Company,WRK,0.32%
"PPG Industries, Inc.",PPG,0.32%
PACCAR Inc,PCAR,0.32%
EQT Corporation,EQT,0.32%
Jacobs Engineering Group Inc.,J,0.32%
"Xilinx, Inc.",XLNX,0.32%
NTPC Limited,532555,0.32%
"AvalonBay Communities, Inc.",AVB,0.32%
Incyte Corporation,INCY,0.32%
Union Pacific Corporation,UNP,0.32%
"Simon Property Group, Inc.",SPG,0.32%
"ServiceNow, Inc.",NOW,0.32%
Babcock International Group PLC,BAB,0.32%
Insurance Australia Group Limited,IAG,0.32%
"IDEXX Laboratories, Inc.",IDXX,0.32%
Cognizant Technology Solutions Corporation Class A,CTSH,0.32%
"O\'Reilly Automotive, Inc.",ORLY,0.32%
Equifax Inc.,EFX,0.32%
Splunk Inc.,SPLK,0.32%
"Expeditors International of Washington, Inc.",EXPD,0.32%
Cogna Educacao S.A.,COGN3,0.32%
Fluor Corporation,FLR,0.32%
"EOG Resources, Inc.",EOG,0.32%
Compagnie Generale des Etablissements Michelin SCA,ML,0.32%
WEC Energy Group Inc,WEC,0.32%
Associated British Foods plc,ABF,0.32%
