BRF: VanEck Vectors Brazil Small-Cap ETF
Inception Date: 2009-05-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	54654
Shares Outstanding: 2550000
Expense Ratio: 0.6%
Tracks This Index: MVIS Brazil Small-Cap Index
ETFdb.com Category: Latin America Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BRF


Holding,Symbol,Weighting
Transmissora Alianca De Energia Eletrica S.A. Unit,TAEE11,4.21%
Azul S.A. Sponsored ADR Pfd,AZUL,4.15%
OI S.A. Sponsored ADR,OIBR.C,3.98%
Companhia de Locacao das Americas,LCAM3,3.28%
Cyrela Brazil Realty SA Empreendimentos e Participacoes,CYRE3,3.08%
RHI Magnesita NV,RHIM,2.95%
Cia de Saneamento do Parana SA - Sanepar Units Cons of 1 Sh + 4 Pfd Shs,SAPR11,2.89%
Qualicorp Consultoria e Corretora de Seguros S.A.,QUAL3,2.78%
IRB Brasil Resseguros SA,IRBR3,2.58%
Metalurgica Gerdau SA Pfd,GOAU4,2.52%
BR Malls Participacoes S.A.,BRML3,2.51%
Fleury SA,FLRY3,2.46%
EZ TEC Empreendimentos e Participacoes SA,EZTC3,2.4%
Petro Rio SA,PRIO3,2.03%
Embraer S.A. Sponsored ADR,ERJ,1.89%
Locaweb Servicos de Internet SA,LWSA3,1.83%
Duratex S.A.,DTEX3,1.8%
Alupar Investimento SA Unit Cons of 1 Sh + 2 Pfd Shs,ALUP11,1.72%
Sao Martinho S.A.,SMTO3,1.64%
CESP - Companhia Energetica de Sao Paulo Class B,CESP6,1.59%
MRV Engenharia e Participacoes S.A.,MRVE3,1.58%
Light S.A.,LIGT3,1.56%
Aliansce Sonae Shopping Centers S.A.,ALSO3,1.51%
Omega Geracao SA,OMGE3,1.51%
Linx SA ADR,LINX,1.43%
Ero Copper Corp.,ERO,1.38%
GOL Linhas Aereas Inteligentes S.A. Sponsored ADR Pfd,GOL,1.29%
OdontoPrev S.A.,ODPV3,1.28%
Grupo de Moda Soma SA,SOMA3,1.25%
AES Tiete Energia SA Units Cons of 1 Sh + 4 Pfd,TIET11,1.25%
Iguatemi Empresa de Shopping Centers S.A,IGTA3,1.18%
Santos Brasil Participacoes SA,STBP3,1.16%
Companhia de Saneamento de Minas Gerais,CSMG3,1.15%
Arezzo Industria e Comercio S.A.,ARZZ3,1.14%
CVC Brasil Operadora e Agencia de Viagens SA,CVCB3,1.13%
Randon SA Implementos e Participacoes Pfd,RAPT4,1.07%
Banco do Estado do Rio Grande do Sul SA Pfd Series B,BRSR6,1.03%
Movida Participacoes SA,MOVI3,1.02%
Grupo SBF S.A.,CNTO3,1.0%
Minerva S.A.,BEEF3,1.0%
Vivara Participacoes SA,VIVA3,0.99%
"Arcos Dorados Holdings, Inc. Class A",ARCO,0.91%
EcoRodovias Infraestrutura e Logistica S.A.,ECOR3,0.85%
Anima Holding SA,ANIM3,0.84%
Simpar SA,SIMH3,0.81%
Unipar Carbocloro SA Pfd Class B,UNIP6,0.79%
Fundo de Investimento Imobiliario - FII BTG Pactual Corporate Office Fund Cotas,BRCR11,0.78%
JHSF Participacoes S.A.,JHSF3,0.75%
BR Properties S.A.,BRPR3,0.75%
SLC Agricola S.A.,SLCE3,0.73%
"Modec, Inc.",6269,0.68%
"SMART Global Holdings, Inc.",SGH,0.66%
Construtora Tenda SA,TEND3,0.66%
Adecoagro S.A.,AGRO,0.66%
Cia Hering SA,HGTX3,0.65%
Grendene S.A.,GRND3,0.64%
Cosan Logistica SA,RLOG3,0.63%
Even Construtora E Incorporadora S.A.,EVEN3,0.61%
BK Brasil Operacao e Assessoria a Restaurantes SA,BKBR3,0.56%
Largo Resources Ltd.,LGO,0.56%
Log Commercial Properties e Participacoes SA,LOGG3,0.55%
Iochpe Maxion S.A.,MYPK3,0.53%
Tupy S.A.,TUPY3,0.51%
Marcopolo SA Pfd,POMO4,0.5%
Smiles Fidelidade SA,SMLS3,0.5%
Sonda S.A.,SONDA,0.47%
Banco ABC Brasil SA Conv Pfd,ABCB4,0.45%
Vasta Platform Ltd. Class A,VSTA,0.43%
Direcional Engenharia S.A.,DIRR3,0.39%
Jereissati Participacoes S.A.,JPSA3,0.38%
Instituto Hermes Pardini SA,PARD3,0.38%
Ambipar Participacoes e Empreendimentos SA,AMBP3,0.36%
Ituran Location and Control Ltd.,ITRN,0.34%
Enauta Participacoes S.A.,ENAT3,0.34%
Ser Educacional SA,SEER3,0.32%
Mahle-Metal Leve S.A.,LEVE3,0.3%
C&A Modas SA,CEAB3,0.28%
Camil Alimentos SA,CAML3,0.28%
Marisa Lojas S.A.,AMAR3,0.27%
Banco Bmg SA BMG Pfd Registered Shs -144A- Reg S,BMGB4,0.23%
Wiz Solucoes e Corretagem de Seguros SA,WIZS3,0.19%
U.S. Dollar,Other,0.17%
CVC Brasil Operadora e Agencia de Viagens SA Warrant 2020-29.01.21 on CVC Brasil NM,CVCB11,0.11%
DERIVATIVE SECURITIES (OTHER),Other,0.0%
