BSJO: Invesco BulletShares 2024 High Yield Corporate Bond ETF
Inception Date: 2016-09-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	224118
Shares Outstanding: 9000000
Expense Ratio: 0.42%
Tracks This Index: NASDAQ BulletShares USD High Yield Corporate Bond 2024 Index
ETFdb.com Category: High Yield Bonds
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BSJO


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,3.59%
Sprint Corp. 7.125% 15-JUN-2024,Other,2.95%
Intesa Sanpaolo S.p.A. 5.017% 26-JUN-2024,Other,2.09%
DISH DBS Corporation 5.875% 15-NOV-2024,Other,2.05%
"CSC Holdings, LLC 6.5% 01-FEB-2029",Other,2.05%
Solera LLC 10.5% 01-MAR-2024,Other,2.03%
"Clear Channel Worldwide Holdings, Inc. 9.25% 15-FEB-2024",Other,1.95%
Tenet Healthcare Corporation 4.625% 15-JUL-2024,Other,1.9%
CCO Holdings LLC 5.375% 01-JUN-2029,Other,1.6%
Ford Motor Credit Company LLC 4.063% 01-NOV-2024,Other,1.57%
Virgin Media Secured Finance Plc 5.5% 15-MAY-2029,Other,1.57%
Sirius XM Radio Inc. 4.625% 15-JUL-2024,Other,1.51%
JBS USA Food Company 6.5% 15-APR-2029,Other,1.5%
"BWAY Holding Co., Inc. 5.5% 15-APR-2024",Other,1.48%
1011778 B.C. UNLIMITED LIABILITY COMPANY 4.25% 15-MAY-2024,Other,1.44%
Sirius XM Radio Inc. 5.5% 01-JUL-2029,Other,1.31%
"Golden Nugget, Inc. 6.75% 15-OCT-2024",Other,1.21%
"TransDigm, Inc. 6.5% 15-JUL-2024",Other,1.2%
Icahn Enterprises L.P. 4.75% 15-SEP-2024,Other,1.13%
MGM Growth Properties Operating Partnership LP 5.625% 01-MAY-2024,Other,1.09%
"Kennedy-Wilson Holdings, Inc. 5.875% 01-APR-2024",Other,1.08%
"Community Health Systems, Inc. 8.625% 15-JAN-2024",Other,1.08%
"Lumen Technologies, Inc. 7.5% 01-APR-2024",Other,1.04%
SBA Communications Corporation 4.875% 01-SEP-2024,Other,1.02%
AMC Networks Inc. 5.0% 01-APR-2024,Other,1.02%
Diamond 1 Finance Corp. 7.125% 15-JUN-2024,Other,0.97%
"Qorvo, Inc. 4.375% 15-OCT-2029",Other,0.96%
Hanesbrands Inc. 4.625% 15-MAY-2024,Other,0.92%
Navient Corporation 6.125% 25-MAR-2024,Other,0.92%
Six Flags Entertainment Corporation 4.875% 31-JUL-2024,Other,0.92%
Bombardier Inc. 7.5% 01-DEC-2024,Other,0.88%
"Lamb Weston Holdings, Inc. 4.625% 01-NOV-2024",Other,0.84%
AECOM 5.875% 15-OCT-2024,Other,0.84%
MDC Partners Inc. 6.5% 01-MAY-2024,Other,0.84%
Bausch Health Companies Inc. 7.25% 30-MAY-2029,Other,0.83%
"NRG Energy, Inc. 5.25% 15-JUN-2029",Other,0.82%
"CSC Holdings, LLC 5.25% 01-JUN-2024",Other,0.82%
Ford Motor Credit Company LLC 3.664% 08-SEP-2024,Other,0.79%
"Veritas US, Inc. 10.5% 01-FEB-2024",Other,0.78%
"Freeport-McMoRan, Inc. 4.55% 14-NOV-2024",Other,0.77%
Service Corporation International 5.125% 01-JUN-2029,Other,0.77%
Ford Motor Credit Company LLC 3.81% 09-JAN-2024,Other,0.74%
"Triumph Group, Inc. 8.875% 01-JUN-2024",Other,0.72%
NextEra Energy Operating Partners LP 4.25% 15-JUL-2024,Other,0.7%
"AmeriGas Partners, L.P. 5.625% 20-MAY-2024",Other,0.68%
Alcoa Europe Holding BV 6.75% 30-SEP-2024,Other,0.68%
OCI NV 5.25% 01-NOV-2024,Other,0.66%
Videotron Ltee 5.375% 15-JUN-2024,Other,0.65%
Tenet Healthcare Corporation 4.625% 01-SEP-2024,Other,0.63%
Cincinnati Bell Inc. 7.0% 15-JUL-2024,Other,0.61%
"TreeHouse Foods, Inc. 6.0% 15-FEB-2024",Other,0.61%
"US Foods, Inc. 5.875% 15-JUN-2024",Other,0.6%
CDW LLC 5.5% 01-DEC-2024,Other,0.59%
Occidental Petroleum Corporation 6.95% 01-JUL-2024,Other,0.59%
MEG Energy Corp. 7.0% 31-MAR-2024,Other,0.58%
"Prestige Brands, Inc. 6.375% 01-MAR-2024",Other,0.58%
Uniti Group Inc. 7.125% 15-DEC-2024,Other,0.57%
U.S. Dollar,Other,0.56%
"Suburban Propane Partners, L.P. 5.5% 01-JUN-2024",Other,0.56%
"Dakota Merger Sub, Inc. 10.75% 01-SEP-2024",Other,0.56%
Navient Corporation 5.875% 25-OCT-2024,Other,0.55%
"Live Nation Entertainment, Inc. 4.875% 01-NOV-2024",Other,0.55%
NextEra Energy Operating Partners LP 4.25% 15-SEP-2024,Other,0.54%
"CDK Global, Inc. 5.0% 15-OCT-2024",Other,0.54%
Wolverine Escrow LLC 8.5% 15-NOV-2024,Other,0.54%
Antero Midstream Partners LP 5.375% 15-SEP-2024,Other,0.54%
Lions Gate Capital Holdings LLC 5.875% 01-NOV-2024,Other,0.54%
Murphy Oil Corporation 6.875% 15-AUG-2024,Other,0.53%
"Allison Transmission, Inc. 5.875% 01-JUN-2029",Other,0.53%
"CDK Global, Inc. 5.25% 15-MAY-2029",Other,0.53%
"Cengage Learning, Inc. 9.5% 15-JUN-2024",Other,0.53%
goeasy Ltd. 5.375% 01-DEC-2024,Other,0.52%
"FXI Holdings, Inc. 7.875% 01-NOV-2024",Other,0.52%
Outfront Media Capital Corporation 5.625% 15-FEB-2024,Other,0.51%
"Simmons Foods, Inc. 5.75% 01-NOV-2024",Other,0.51%
Enterprise Development Authority 12.0% 15-JUL-2024,Other,0.51%
INEOS Group Holdings SA 5.625% 01-AUG-2024,Other,0.51%
Stena AB 7.0% 01-FEB-2024,Other,0.5%
Weatherford International plc 8.75% 01-SEP-2024,Other,0.5%
HAT Holdings I LLC 5.25% 15-JUL-2024,Other,0.5%
Mohegan Gaming & Entertainment 7.875% 15-OCT-2024,Other,0.5%
"TRI Pointe Homes, Inc. 5.875% 15-JUN-2024",Other,0.5%
EQM Midstream Partners LP 4.0% 01-AUG-2024,Other,0.49%
"EnLink Midstream Partners, L.P. 4.4% 01-APR-2024",Other,0.49%
