BSJQ: Invesco BulletShares 2026 High Yield Corporate Bond ETF
Inception Date: 2018-08-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	63895
Shares Outstanding: 2500000
Expense Ratio: 0.42%
Tracks This Index: NASDAQ BulletShares USD High Yield Corporate Bond 2026 Index
ETFdb.com Category: High Yield Bonds
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BSJQ


Holding,Symbol,Weighting
DISH DBS Corporation 7.75% 01-JUL-2026,Other,2.04%
Newell Brands Inc 4.7% 01-APR-2026,Other,2.02%
Connect Finco SARL 6.75% 01-OCT-2026,Other,1.88%
"HCA, Inc. 5.875% 15-FEB-2026",Other,1.85%
Tenet Healthcare Corporation 4.875% 01-JAN-2026,Other,1.85%
Sprint Corp. 7.625% 01-MAR-2026,Other,1.7%
"Post Holdings, Inc. 5.0% 15-AUG-2026",Other,1.62%
HUB International Ltd. 7.0% 01-MAY-2026,Other,1.6%
Springleaf Finance Corporation 7.125% 15-MAR-2026,Other,1.6%
"Banff Merger Sub, Inc. 9.75% 01-SEP-2026",Other,1.46%
Novelis Corp. 5.875% 30-SEP-2026,Other,1.45%
"Hilton Domestic Operating Co., Inc. 5.125% 01-MAY-2026",Other,1.44%
"VICI Properties, Inc. 4.25% 01-DEC-2026",Other,1.44%
CCO Holdings LLC 5.5% 01-MAY-2026,Other,1.42%
Ford Motor Credit Company LLC 4.389% 08-JAN-2026,Other,1.36%
Ford Motor Company 4.346% 08-DEC-2026,Other,1.34%
IQVIA Inc. 5.0% 15-OCT-2026,Other,1.34%
Meredith Corporation 6.875% 01-FEB-2026,Other,1.32%
Calpine Corporation 5.25% 01-JUN-2026,Other,1.13%
Icahn Enterprises Finance Corp. 6.25% 15-MAY-2026,Other,1.13%
"Lumen Technologies, Inc. 5.125% 15-DEC-2026",Other,1.11%
Occidental Petroleum Corporation 5.55% 15-MAR-2026,Other,1.04%
"Netflix, Inc. 4.375% 15-NOV-2026",Other,1.03%
Verscend Escrow Corp. 9.75% 15-AUG-2026,Other,1.01%
Occidental Petroleum Corporation 3.4% 15-APR-2026,Other,1.0%
"HCA, Inc. 5.375% 01-SEP-2026",Other,0.97%
"Cheniere Energy Partners, L.P. 5.625% 01-OCT-2026",Other,0.97%
Hughes Satellite Systems Corp. 6.625% 01-AUG-2026,Other,0.92%
"T-Mobile USA, Inc. 4.5% 01-FEB-2026",Other,0.89%
Hanesbrands Inc. 4.875% 15-MAY-2026,Other,0.89%
Targa Resources Partners LP 5.875% 15-APR-2026,Other,0.88%
Radiate HoldCo LLC 4.5% 15-SEP-2026,Other,0.83%
"TransDigm, Inc. 6.375% 15-JUN-2026",Other,0.83%
Rite Aid Corporation 8.0% 15-NOV-2026,Other,0.83%
Southwestern Energy Company 7.5% 01-APR-2026,Other,0.8%
Goodyear Tire & Rubber Company 5.0% 31-MAY-2026,Other,0.77%
Cleveland-Cliffs Inc. 6.75% 15-MAR-2026,Other,0.76%
"Lamb Weston Holdings, Inc. 4.875% 01-NOV-2026",Other,0.73%
Ball Corporation 4.875% 15-MAR-2026,Other,0.72%
Boyd Gaming Corporation 6.375% 01-APR-2026,Other,0.72%
"PDC Energy, Inc. 5.75% 15-MAY-2026",Other,0.71%
Hess Midstream Operations LP 5.625% 15-FEB-2026,Other,0.7%
"Albertsons Companies, Inc. 3.25% 15-MAR-2026",Other,0.7%
Wolverine Escrow LLC 9.0% 15-NOV-2026,Other,0.69%
"Wyndham Destinations, Inc. 6.625% 31-JUL-2026",Other,0.68%
Freedom Mortgage Corporation 7.625% 01-MAY-2026,Other,0.68%
Boyd Gaming Corporation 6.0% 15-AUG-2026,Other,0.67%
"Level 3 Financing, Inc. 5.25% 15-MAR-2026",Other,0.67%
FAGE International SA 5.625% 15-AUG-2026,Other,0.66%
"AmWINS Group, Inc. 7.75% 01-JUL-2026",Other,0.66%
"Blue Yonder Group, Inc. 4.25% 31-JAN-2026",Other,0.66%
"Marriott Ownership Resorts, Inc. 6.5% 15-SEP-2026",Other,0.66%
Virgin Media Secured Finance Plc 5.5% 15-AUG-2026,Other,0.65%
"AmeriGas Partners, L.P. 5.875% 20-AUG-2026",Other,0.65%
Labl Escrow Issuer LLC 6.75% 15-JUL-2026,Other,0.64%
Ply Gem Midco LLC 8.0% 15-APR-2026,Other,0.63%
"Gray Television, Inc. 5.875% 15-JUL-2026",Other,0.62%
Titan Acquisition Ltd. 7.75% 15-APR-2026,Other,0.61%
Comstock Escrow Corp. 9.75% 15-AUG-2026,Other,0.61%
"Under Armour, Inc. 3.25% 15-JUN-2026",Other,0.6%
"Waste Pro USA, Inc. 5.5% 15-FEB-2026",Other,0.59%
Compass Group Diversified Holdings LLC 8.0% 01-MAY-2026,Other,0.57%
Indigo Natural Resources LLC 6.875% 15-FEB-2026,Other,0.56%
"American Builders & Contractors Supply Co., Inc. 5.875% 15-MAY-2026",Other,0.56%
Tronox Incorporated 6.5% 15-APR-2026,Other,0.54%
Alcoa Europe Holding BV 7.0% 30-SEP-2026,Other,0.53%
"TEGNA, Inc. 4.75% 15-MAR-2026",Other,0.53%
Baffinland Iron Mines LP 8.75% 15-JUL-2026,Other,0.53%
Antero Midstream Finance Corp. 7.875% 15-MAY-2026,Other,0.52%
"Tempur Sealy International, Inc. 5.5% 15-JUN-2026",Other,0.52%
"Hunt Companies, Inc. 6.25% 15-FEB-2026",Other,0.51%
"Buckeye Partners, L.P. 3.95% 01-DEC-2026",Other,0.51%
Gates Global LLC 6.25% 15-JAN-2026,Other,0.5%
MUTUAL FUND (OTHER),Other,0.49%
NextEra Energy Operating Partners LP 3.875% 15-OCT-2026,Other,0.49%
"Charles River Laboratories International, Inc. 5.5% 01-APR-2026",Other,0.49%
"Entegris, Inc. 4.625% 10-FEB-2026",Other,0.49%
United States Steel Corporation 6.25% 15-MAR-2026,Other,0.48%
"Wyndham Hotels & Resorts, Inc. 5.375% 15-APR-2026",Other,0.48%
Navient Corporation 6.75% 15-JUN-2026,Other,0.47%
"Western Midstream Operating, LP 4.65% 01-JUL-2026",Other,0.47%
"Signature Aviation US Holdings, Inc. 5.375% 01-MAY-2026",Other,0.47%
"Berry Global, Inc. 4.5% 15-FEB-2026",Other,0.47%
MGM Growth Properties Operating Partnership LP 4.5% 01-SEP-2026,Other,0.46%
"QEP Resources, Inc. 5.625% 01-MAR-2026",Other,0.46%
"Nuance Communications, Inc. 5.625% 15-DEC-2026",Other,0.45%
Coty Inc. 6.5% 15-APR-2026,Other,0.45%
"Flex Acquisition Co., Inc. 7.875% 15-JUL-2026",Other,0.45%
"GFL Environmental, Inc. 5.125% 15-DEC-2026",Other,0.45%
Parkland Corporation 6.0% 01-APR-2026,Other,0.45%
MSCI Inc. 4.75% 01-AUG-2026,Other,0.44%
"AHP Health Partners, Inc. 9.75% 15-JUL-2026",Other,0.44%
Endeavor Energy Resources LP 5.5% 30-JAN-2026,Other,0.44%
"Aramark Services, Inc. 4.75% 01-JUN-2026",Other,0.43%
"Penske Automotive Group, Inc. 5.5% 15-MAY-2026",Other,0.43%
Cimpress N.V. 7.0% 15-JUN-2026,Other,0.43%
IRB Holding Corp. 6.75% 15-FEB-2026,Other,0.43%
