BSMO: Invesco BulletShares 2024 Municipal Bond ETF
Inception Date: 2019-09-25
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	20533
Shares Outstanding: 800000
Expense Ratio: 0.18%
Tracks This Index: Invesco BulletShares USD Municipal Bond 2024 Index
ETFdb.com Category: National Munis
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BSMO


Holding,Symbol,Weighting
Dallas Fort Worth Tex Intl Arpt Rev 5.0% 01-NOV-2024,Other,2.88%
U.S. Dollar,Other,1.77%
New York St Twy Auth Gen Rev 5.0% 01-JAN-2036,Other,1.65%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2024,Other,1.56%
University Houston Tex Univ Revs 5.0% 15-FEB-2024,Other,1.55%
Michigan St Bldg Auth Rev 5.0% 15-APR-2024,Other,1.28%
California St 5.0% 01-DEC-2024,Other,1.26%
Snohomish Cnty Wash Sch Dist No 201 5.0% 01-DEC-2024,Other,1.16%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 5.0% 15-JUN-2026,Other,1.16%
Ohio St 5.0% 15-MAR-2033,Other,1.15%
Massachusetts St 5.0% 01-AUG-2024,Other,1.15%
California St Univ Rev 5.0% 01-NOV-2029,Other,1.15%
Pennsylvania St 5.0% 15-AUG-2024,Other,1.15%
Los Angeles Calif Uni Sch Dist 5.0% 01-JUL-2024,Other,1.14%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-OCT-2024,Other,1.14%
Connecticut St Health & Edl Facs Auth Rev 5.0% 01-JUL-2024,Other,1.14%
Los Angeles Cnty Calif Pub Wks Fing Auth Lease Rev 5.0% 01-DEC-2039,Other,1.13%
Los Angeles Calif Dept Wtr & Pwr Rev 5.0% 01-JUL-2044,Other,1.13%
Southern Calif Pub Pwr Auth Rev 5.0% 01-JUL-2037,Other,1.12%
Washington St 5.0% 01-FEB-2028,Other,1.12%
Illinois St 5.25% 01-FEB-2029,Other,1.12%
New York St Urban Dev Corp Rev 5.0% 15-MAR-2031,Other,1.12%
Suffolk Cnty N Y 4.0% 01-FEB-2024,Other,1.08%
Massachusetts St 5.0% 01-NOV-2024,Other,1.02%
Pennsylvania St 5.0% 15-SEP-2024,Other,1.01%
Arizona St Transn Brd Hwy Rev 5.0% 01-JUL-2032,Other,0.96%
Los Angeles Calif Cmnty College Dist 5.0% 01-AUG-2031,Other,0.95%
Energy Northwest Wash Elec Rev 5.0% 01-JUL-2027,Other,0.85%
Louisville & Jefferson Cnty Ky Met Swr Dist Swr& Drain Sys Rev 5.0% 15-MAY-2024,Other,0.85%
Chicago Ill Midway Arpt Rev 5.0% 01-JAN-2027,Other,0.83%
Alachua Cnty Fla Health Facs Auth Health Facs Rev 4.0% 01-DEC-2044,Other,0.77%
California St 5.0% 01-SEP-2024,Other,0.72%
Utility Debt Securitization Auth N Y 5.0% 15-JUN-2024,Other,0.71%
North Tex Twy Auth Rev 5.0% 01-JAN-2024,Other,0.7%
California St 4.0% 01-OCT-2024,Other,0.7%
Miami-Dade Cnty Fla 5.0% 01-JUL-2029,Other,0.63%
University Calif Revs 5.0% 15-MAY-2024,Other,0.6%
Regional Transn Dist Colo Ctfs Partn 5.0% 01-JUN-2024,Other,0.6%
Massachusetts St Wtr Pollutn Abatement Tr 5.0% 01-AUG-2024,Other,0.58%
California St 5.0% 01-OCT-2024,Other,0.58%
Texas St 5.0% 01-OCT-2030,Other,0.58%
California St Dept Wtr Res Cent Vy Proj Rev 5.0% 01-DEC-2026,Other,0.58%
California Infrastructure & Economic Dev Bk Rev 5.0% 01-OCT-2024,Other,0.58%
Hawaii St 5.0% 01-OCT-2024,Other,0.58%
North Carolina St 5.0% 01-JUN-2024,Other,0.57%
California St Pub Wks Brd Lease Rev 5.0% 01-SEP-2039,Other,0.57%
Philadelphia Pa 5.0% 01-AUG-2024,Other,0.57%
Metropolitan Wtr Dist Southn Calif Wtrwrks Rev 5.0% 01-JUL-2024,Other,0.57%
Pennsylvania St 5.0% 15-SEP-2024,Other,0.57%
California St Pub Wks Brd Lease Rev 5.0% 01-SEP-2033,Other,0.57%
New Jersey St Tpk Auth Tpk Rev 5.0% 01-JAN-2027,Other,0.57%
Alabama St Pub Sch & College Auth 5.0% 01-JAN-2026,Other,0.57%
New York St Environmental Facs Corp St Clean Wtr& Drinking Wtr Rev 5.0% 15-JUN-2024,Other,0.57%
Florida St Brd Ed Lottery Rev 5.0% 01-JUL-2024,Other,0.57%
South Carolina St Pub Svcs Auth Rev 5.0% 01-DEC-2030,Other,0.57%
Georgia St 5.0% 01-JUL-2024,Other,0.57%
Dallas Tex 5.0% 15-FEB-2024,Other,0.56%
California St 5.0% 01-DEC-2024,Other,0.56%
Port Auth N Y & N J 5.0% 01-SEP-2033,Other,0.56%
Connecticut St 5.0% 01-MAR-2027,Other,0.56%
Clark Cnty Nev Arpt Rev 5.0% 01-JUL-2029,Other,0.56%
Western Minn Mun Pwr Agy Minn Pwr Supply Rev 5.0% 01-JAN-2046,Other,0.56%
New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2029,Other,0.56%
New York St Dorm Auth Sales Tax Rev St Supporteddebt 5.0% 15-MAR-2033,Other,0.56%
New Jersey St Tpk Auth Tpk Rev 5.0% 01-JAN-2031,Other,0.56%
California St 5.0% 01-MAR-2024,Other,0.56%
New Jersey St Tpk Auth Tpk Rev 5.0% 01-JAN-2030,Other,0.56%
