BSMQ: Invesco BulletShares 2026 Municipal Bond ETF
Inception Date: 2019-09-25
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	20663
Shares Outstanding: 800000
Expense Ratio: 0.18%
Tracks This Index: Invesco BulletShares USD Municipal Bond 2026 Index
ETFdb.com Category: National Munis
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BSMQ


Holding,Symbol,Weighting
California St 5.0% 01-SEP-2032,Other,2.54%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 5.0% 15-JUN-2037,Other,2.53%
University Houston Tex Univ Revs 5.0% 15-FEB-2036,Other,2.3%
Illinois St 5.0% 01-NOV-2026,Other,2.21%
U.S. Dollar,Other,2.17%
Metropolitan Transn Auth N Y Rev 5.25% 15-NOV-2026,Other,2.13%
Massachusetts St 3.0% 01-SEP-2046,Other,2.08%
Massachusetts St Dev Fin Agy Rev 5.0% 15-OCT-2026,Other,1.87%
Pennsylvania St 5.0% 01-FEB-2029,Other,1.78%
New Jersey Health Care Facs Fing Auth Rev 5.0% 01-JUL-2043,Other,1.63%
New Mexico St 5.0% 01-MAR-2026,Other,1.45%
California St Pub Wks Brd Lease Rev 4.0% 01-NOV-2032,Other,1.26%
Denver Colo City & Cnty Ctfs Partn 5.375% 01-JUN-2043,Other,1.25%
Texas St 5.0% 01-APR-2026,Other,1.22%
Wisconsin St Environmental Impt Fd Rev 5.0% 01-JUN-2026,Other,1.22%
Virginia Commlth Transn Brd Fed Transn Grnt Antic Rev 5.0% 15-MAR-2026,Other,1.21%
New Jersey Economic Dev Auth Rev 5.0% 01-NOV-2026,Other,1.19%
University Wash Univ Revs 5.25% 01-DEC-2046,Other,1.19%
Arizona Brd Regents Ariz St Univ Sys Rev 5.0% 01-JUL-2042,Other,1.17%
Central Calif Uni Sch Dist 4.0% 01-AUG-2048,Other,1.11%
California Pub Fin Auth Rev 5.0% 15-OCT-2047,Other,1.1%
District Columbia 5.0% 01-JUN-2032,Other,1.05%
Main Str Nat Gas Inc Ga Gas Proj Rev 5.5% 15-SEP-2026,Other,1.04%
New Hope Cultural Ed Facs Fin Corp Tex Sr Livingrev 5.0% 01-JUL-2051,Other,0.96%
Dallas Tex Wtrwks & Swr Sys Rev 5.0% 01-OCT-2026,Other,0.95%
Los Angeles Calif Uni Sch Dist 3.0% 01-JUL-2032,Other,0.91%
Pennsylvania St 5.0% 15-SEP-2028,Other,0.91%
Metropolitan Transn Auth N Y Rev 5.0% 15-NOV-2026,Other,0.91%
Louisiana St Citizens Ppty Ins Corp Assmt Rev 5.0% 01-JUN-2026,Other,0.9%
Michigan Fin Auth Rev 4.0% 15-NOV-2046,Other,0.9%
South Carolina St Pub Svcs Auth Rev 5.0% 01-DEC-2031,Other,0.89%
University Tex Univ Revs 5.0% 15-AUG-2026,Other,0.83%
California St 5.0% 01-NOV-2026,Other,0.8%
Connecticut St 5.0% 15-SEP-2026,Other,0.79%
New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-OCT-2026,Other,0.76%
Los Angeles Calif Dept Arpts Rev 5.0% 15-MAY-2026,Other,0.73%
Michigan St 5.0% 15-MAR-2026,Other,0.69%
Metropolitan Transn Auth N Y Rev 5.0% 15-NOV-2056,Other,0.69%
Montgomery Cnty Md 5.0% 01-OCT-2026,Other,0.62%
New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 5.0% 15-JUN-2038,Other,0.61%
Hawaii St 5.0% 01-OCT-2026,Other,0.61%
Connecticut St Spl Tax Oblig Rev 5.0% 01-SEP-2026,Other,0.61%
California St 5.0% 01-SEP-2033,Other,0.6%
California St 5.0% 01-AUG-2036,Other,0.6%
New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2026,Other,0.6%
California St Univ Rev 5.0% 01-NOV-2041,Other,0.59%
Cook Cnty Ill 5.0% 15-NOV-2026,Other,0.59%
Miami-Dade Cnty Fla Wtr & Swr Rev 5.0% 01-OCT-2026,Other,0.59%
California St Univ Rev 5.0% 01-NOV-2045,Other,0.58%
Port Auth N Y & N J 5.25% 15-NOV-2056,Other,0.58%
Miami-Dade Cnty Fla Aviation Rev 5.0% 01-OCT-2041,Other,0.58%
Los Angeles Calif Dept Wtr & Pwr Wtrwks Rev 5.0% 01-JUL-2046,Other,0.58%
Wisconsin St Health & Edl Facs Auth Rev 4.5% 15-NOV-2039,Other,0.57%
Montebello Calif Uni Sch Dist 5.0% 01-AUG-2041,Other,0.57%
Clark Cnty Nev Sch Dist 5.0% 15-JUN-2026,Other,0.57%
California St 3.0% 01-MAR-2026,Other,0.56%
Central Fla Expwy Auth Sr Lienrev 4.0% 01-JUL-2035,Other,0.56%
Metropolitan Transn Auth N Y Rev 5.0% 15-NOV-2037,Other,0.56%
Massachusetts St 5.0% 01-NOV-2026,Other,0.56%
Iowa Higher Ed Ln Auth Rev 5.0% 01-DEC-2041,Other,0.54%
Alameda Corridor Transn Auth Calif Rev 4.0% 01-OCT-2037,Other,0.54%
Washington St 5.0% 01-FEB-2026,Other,0.54%
New York N Y City Transitional Fin Auth Rev 5.0% 01-FEB-2030,Other,0.53%
Chicago Ill 5.0% 01-JAN-2038,Other,0.53%
Hawaii St 5.0% 01-OCT-2026,Other,0.52%
Anaheim Calif Elem Sch Dist 3.0% 01-AUG-2046,Other,0.52%
North Carolina St 5.0% 01-JUN-2026,Other,0.52%
Ohio St 5.0% 01-FEB-2031,Other,0.51%
Lycoming Cnty Pa Auth College Rev 3.0% 01-OCT-2037,Other,0.5%
New Hope Cultural Ed Facs Fin Corp Tex Sr Livingrev 5.0% 01-JUL-2046,Other,0.49%
Utah Cnty Utah Hosp Rev 3.0% 15-MAY-2047,Other,0.49%
University Mich Univ Revs 5.0% 01-APR-2026,Other,0.46%
Maryland St Dept Transn Cons Transn 5.0% 01-OCT-2028,Other,0.46%
De Kalb Cnty Ga Wtr & Sew Rev 5.25% 01-OCT-2032,Other,0.43%
Metropolitan Transn Auth N Y Rev 5.0% 15-NOV-2030,Other,0.43%
Sweetwater Calif Un High Sch Dist 3.375% 01-AUG-2040,Other,0.42%
Ohio St 5.0% 01-MAY-2031,Other,0.42%
Maryland St 5.0% 01-AUG-2026,Other,0.4%
California Health Facs Fing Auth Rev 4.0% 15-AUG-2039,Other,0.39%
Miami-Dade Cnty Fla 5.0% 01-JUL-2031,Other,0.39%
Port Auth N Y & N J 5.0% 01-MAY-2026,Other,0.38%
Pennsylvania St 4.0% 15-SEP-2030,Other,0.37%
