BTEC: Principal Healthcare Innovators Index ETF
Inception Date: 2016-08-19
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	155352
Shares Outstanding: 2650000
Expense Ratio: 0.42%
Tracks This Index: NASDAQ U.S. Health Care Innovators Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Principal Financial Group
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BTEC


Holding,Symbol,Weighting
"Moderna, Inc.",MRNA,3.77%
"Zimmer Biomet Holdings, Inc.",ZBH,2.88%
Exact Sciences Corporation,EXAS,2.65%
"Seagen, Inc.",SGEN,2.28%
"Teladoc Health, Inc.",TDOC,2.16%
Horizon Therapeutics Public Limited Company,HZNP,2.12%
BioMarin Pharmaceutical Inc.,BMRN,2.12%
"Alnylam Pharmaceuticals, Inc",ALNY,2.01%
"Sarepta Therapeutics, Inc.",SRPT,1.78%
"Guardant Health, Inc.",GH,1.7%
"Elanco Animal Health, Inc.",ELAN,1.63%
"DENTSPLY SIRONA, Inc.",XRAY,1.52%
CRISPR Therapeutics AG,CRSP,1.43%
10x Genomics Inc Class A,TXG,1.36%
Mirati Therapeutics Inc.,MRTX,1.3%
Denali Therapeutics Inc.,DNLI,1.18%
"BridgeBio Pharma, Inc.",BBIO,1.16%
ACADIA Pharmaceuticals Inc.,ACAD,1.12%
"Ultragenyx Pharmaceutical, Inc.",RARE,1.11%
Adaptive Biotechnologies Corp.,ADPT,1.07%
"Ionis Pharmaceuticals, Inc.",IONS,1.06%
"Natera, Inc.",NTRA,1.06%
"Fate Therapeutics, Inc.",FATE,1.05%
"Arrowhead Pharmaceuticals, Inc.",ARWR,1.04%
Acceleron Pharma Inc,XLRN,1.02%
"Novavax, Inc.",NVAX,0.91%
"Allakos, Inc.",ALLK,0.91%
Iovance Biotherapeutics Inc,IOVA,0.9%
"TG Therapeutics, Inc.",TGTX,0.88%
"iRhythm Technologies, Inc.",IRTC,0.87%
"Kodiak Sciences, Inc.",KOD,0.87%
"Penumbra, Inc.",PEN,0.85%
Twist Bioscience Corp.,TWST,0.84%
Blueprint Medicines Corp.,BPMC,0.83%
Nevro Corp.,NVRO,0.8%
"Amicus Therapeutics, Inc.",FOLD,0.8%
"NeoGenomics, Inc.",NEO,0.8%
"Halozyme Therapeutics, Inc.",HALO,0.78%
"Tandem Diabetes Care, Inc.",TNDM,0.78%
Invitae Corp.,NVTA,0.74%
"1Life Healthcare, Inc.",ONEM,0.73%
HealthEquity Inc,HQY,0.71%
Biohaven Pharmaceutical Holding Company Ltd.,BHVN,0.69%
"Turning Point Therapeutics, Inc.",TPTX,0.68%
"Inspire Medical Systems, Inc.",INSP,0.67%
Emergent BioSolutions Inc.,EBS,0.64%
"Pacific Biosciences of California, Inc.",PACB,0.61%
"SAGE Therapeutics, Inc.",SAGE,0.6%
"Arena Pharmaceuticals, Inc.",ARNA,0.6%
"Editas Medicine, Inc.",EDIT,0.58%
"Apellis Pharmaceuticals, Inc.",APLS,0.57%
"Chemocentryx, Inc.",CCXI,0.57%
Tenet Healthcare Corporation,THC,0.56%
"Inari Medical, Inc.",NARI,0.56%
"Beam Therapeutics, Inc.",BEAM,0.56%
"PTC Therapeutics, Inc.",PTCT,0.55%
Immunovant Inc,IMVT,0.54%
STAAR Surgical Company,STAA,0.48%
"Progyny, Inc.",PGNY,0.48%
"Reata Pharmaceuticals, Inc. Class A",RETA,0.47%
"CareDx, Inc.",CDNA,0.47%
"Allogene Therapeutics, Inc.",ALLO,0.47%
"Shockwave Medical, Inc.",SWAV,0.47%
"Vir Biotechnology, Inc.",VIR,0.45%
"FibroGen, Inc.",FGEN,0.45%
Glaukos Corp,GKOS,0.45%
Insmed Incorporated,INSM,0.45%
"Arvinas, Inc.",ARVN,0.44%
Cantel Medical Corp.,CMD,0.44%
"Deciphera Pharmaceuticals, Inc.",DCPH,0.43%
CONMED Corporation,CNMD,0.43%
Alkermes Plc,ALKS,0.42%
"Intellia Therapeutics, Inc.",NTLA,0.42%
"Springworks Therapeutics, Inc.",SWTX,0.41%
