CARZ: First Trust NASDAQ Global Auto Index Fund
Inception Date: 2011-05-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	49374
Shares Outstanding: 950000
Expense Ratio: 0.7%
Tracks This Index: NASDAQ OMX Global Auto Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CARZ


Holding,Symbol,Weighting
Tesla Inc,TSLA,9.67%
Toyota Motor Corp.,7203,8.57%
Daimler AG,DAI,7.74%
"Honda Motor Co., Ltd.",7267,7.55%
General Motors Company,GM,6.95%
Geely Automobile Holdings Limited,175,4.63%
BYD Company Limited Class H,1211,4.47%
Hyundai Motor Company,005380,4.34%
KIA Motors Corporation,000270,4.21%
"Nissan Motor Co., Ltd.",7201,4.21%
Volkswagen AG Pref,VOW3,4.03%
Bayerische Motoren Werke AG,BMW,3.78%
SUBARU CORP,7270,3.7%
"Great Wall Motor Co., Ltd. Class H",2333,3.57%
Porsche Automobil Holding SE Pref,PAH3,3.54%
Ford Motor Company,F,3.53%
Suzuki Motor Corp.,7269,3.3%
Renault SA,RNO,3.04%
Isuzu Motors Limited,7202,2.12%
"Harley-Davidson, Inc.",HOG,1.62%
Mazda Motor Corp.,7261,1.3%
"Guangzhou Automobile Group Co., Ltd. Class H",2238,1.05%
Brilliance China Automotive Holdings Limited,1114,0.86%
"Dongfeng Motor Group Co., Ltd. Class H",489,0.85%
Yadea Group Holdings Ltd.,1585,0.68%
Aston Martin Lagonda Global Holdings plc,AML,0.58%
Jardine Cycle & Carriage Limited,C07,0.49%
Mitsubishi Motors Corporation,7211,0.47%
"Yulon Motor Co.,Ltd",2201,0.3%
BAIC Motor Corporation Limited Class H,1958,0.22%
China Motor Corporation,2204,0.16%
DRB-Hicom Bhd.,1619,0.12%
UMW Holdings Bhd,4588,0.07%
U.S. Dollar,Other,-1.7%
