CEFA: Global X S&P Catholic Values Developed ex-U.S. ETF
Inception Date: 2020-06-22
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	3012
Shares Outstanding: 100000
Expense Ratio: 0.35%
Tracks This Index: S&P Developed ex-U.S. Catholic Values Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Global X
Structure: 
ETF Home Page: https://etfdb.com/etf/CEFA


Holding,Symbol,Weighting
CSL Limited,CSL,2.08%
ASML Holding NV,ASML,1.55%
Toyota Motor Corp.,7203,1.46%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.24%
Takeda Pharmaceutical Co. Ltd.,4502,1.19%
L\'Oreal SA,OR,1.15%
Diageo plc,DGE,1.15%
HOYA CORPORATION,7741,1.1%
SAP SE,SAP,1.07%
AIA Group Limited,1299,1.06%
SoftBank Group Corp.,9984,1.03%
Koninklijke Philips N.V.,PHIA,1.02%
Siemens AG,SIE,0.92%
Sony Corporation,6758,0.92%
"M3, Inc.",2413,0.89%
Commonwealth Bank of Australia,CBA,0.82%
Total SE,FP,0.79%
HSBC Holdings Plc,HSBA,0.78%
Keyence Corporation,6861,0.78%
Allianz SE,ALV,0.75%
Anheuser-Busch InBev SA/NV,ABI,0.74%
BHP Group Ltd,BHP,0.72%
"Alcon, Inc.",ALC,0.68%
Terumo Corporation,4543,0.62%
Rio Tinto plc,RIO,0.62%
Schneider Electric SE,SU,0.61%
"Nintendo Co., Ltd.",7974,0.61%
Iberdrola SA,IBE,0.6%
Air Liquide SA,AI,0.6%
Olympus Corp.,7733,0.58%
Enel SpA,ENEL,0.56%
"Recruit Holdings Co., Ltd.",6098,0.56%
Danone SA,BN,0.56%
Genmab A/S,GMAB,0.55%
BASF SE,BAS,0.55%
Adyen NV,ADYEN,0.54%
Nidec Corporation,6594,0.54%
Shin-Etsu Chemical Co Ltd,4063,0.54%
Royal Dutch Shell Plc Class A,RDSA,0.53%
"Otsuka Holdings Co., Ltd.",4578,0.53%
"DAIKIN INDUSTRIES, LTD.",6367,0.52%
adidas AG,ADS,0.51%
BP p.l.c.,BP,0.51%
Deutsche Telekom AG,DTE,0.48%
Hong Kong Exchanges & Clearing Ltd.,388,0.48%
Pernod Ricard SA,RI,0.48%
Woolworths Group Ltd,WOW,0.48%
"Eisai Co., Ltd.",4523,0.47%
Royal Dutch Shell Plc Class B,RDSB,0.46%
Zurich Insurance Group Ltd,ZURN,0.46%
Kao Corp.,4452,0.46%
BNP Paribas SA Class A,BNP,0.45%
Tokyo Electron Ltd.,8035,0.44%
Daimler AG,DAI,0.44%
"Murata Manufacturing Co., Ltd.",6981,0.44%
Sysmex Corporation,6869,0.44%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.44%
ABB Ltd.,ABBN,0.43%
BHP Group Plc,BHP,0.42%
National Australia Bank Limited,NAB,0.42%
"FAST RETAILING CO., LTD.",9983,0.42%
Kering SA,KER,0.41%
UBS Group AG,UBSG,0.4%
Westpac Banking Corporation,WBC,0.4%
VINCI SA,DG,0.4%
"Seven & I Holdings Co., Ltd.",3382,0.39%
KDDI Corporation,9433,0.39%
Vestas Wind Systems A/S,VWS,0.38%
Smith & Nephew plc,SN,0.38%
Tesco PLC,TSCO,0.38%
Infineon Technologies AG,IFX,0.38%
RELX PLC,REL,0.38%
Deutsche Post AG,DPW,0.38%
Koninklijke Ahold Delhaize N.V.,AD,0.38%
Coloplast A/S Class B,COLO.B,0.37%
Banco Santander S.A.,SAN,0.37%
"Honda Motor Co., Ltd.",7267,0.37%
Fanuc Corporation,6954,0.37%
Australia and New Zealand Banking Group Limited,ANZ,0.37%
Prudential plc,PRU,0.37%
Fresenius Medical Care AG & Co. KGaA,FME,0.36%
AXA SA,CS,0.36%
Vodafone Group Plc,VOD,0.36%
Compagnie Financiere Richemont SA,CFR,0.35%
Prosus N.V. Class N,PRX,0.34%
National Grid plc,NG,0.34%
Anglo American plc,AAL,0.34%
EssilorLuxottica SA,EL,0.34%
"Shiseido Company,Limited",4911,0.34%
"ONO Pharmaceutical Co., Ltd.",4528,0.33%
Wesfarmers Limited,WES,0.33%
Itochu Corporation,8001,0.33%
"AEON Co., Ltd.",8267,0.33%
Heineken NV,HEIA,0.32%
SMC Corporation,6273,0.32%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.31%
"Shionogi & Co., Ltd.",4507,0.31%
Intesa Sanpaolo S.p.A.,ISP,0.31%
Volvo AB Class B,VOLV.B,0.31%
Munich Reinsurance Company,MUV2,0.31%
"Hitachi,Ltd.",6501,0.3%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.3%
Vonovia SE,VNA,0.3%
Hermes International SCA,RMS,0.29%
London Stock Exchange Group plc,LSE,0.29%
UCB S.A.,UCB,0.29%
Spotify Technology SA,SPOT,0.29%
Orsted,ORSTED,0.28%
"Industria de Diseno Textil, S.A.",ITX,0.28%
Givaudan SA,GIVN,0.28%
Macquarie Group Limited,MQG,0.27%
Kerry Group Plc Class A,KRZ,0.27%
"Tokio Marine Holdings, Inc.",8766,0.27%
"Oriental Land Co., Ltd.",4661,0.27%
DSV Panalpina A/S,DSV,0.27%
Experian PLC,EXPN,0.27%
"Asahi Group Holdings,Ltd.",2502,0.27%
Mitsubishi Electric Corp.,6503,0.26%
Siemens Healthineers AG,SHL,0.26%
Glencore plc,GLEN,0.26%
Atlas Copco AB Class A,ATCO.A,0.26%
ING Groep NV,INGA,0.26%
Lloyds Banking Group plc,LLOY,0.26%
Kone Oyj Class B,KNEBV,0.26%
Mitsubishi Corporation,8058,0.26%
Henkel AG & Co. KGaA Pref,HEN3,0.25%
Volkswagen AG Pref,VOW3,0.25%
DBS Group Holdings Ltd,D05,0.25%
Unicharm Corporation,8113,0.25%
Nippon Telegraph and Telephone Corporation,9432,0.25%
CRH Plc,CRH,0.25%
Amadeus IT Group SA Class A,AMS,0.25%
Essity AB Class B,ESSITY.B,0.25%
"Kirin Holdings Company, Limited",2503,0.25%
Compass Group PLC,CPG,0.25%
Rio Tinto Limited,RIO,0.24%
"Mizuho Financial Group, Inc.",8411,0.24%
Investor AB Class B,INVE.B,0.24%
Barclays PLC,BARC,0.24%
Sonic Healthcare Limited,SHL,0.24%
Deutsche Boerse AG,DB1,0.24%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.24%
Alibaba Health Information Technology Ltd.,241,0.24%
"Mitsui & Co.,Ltd",8031,0.24%
Imperial Brands PLC,IMB,0.24%
Ferguson Plc,FERG,0.23%
DENSO CORPORATION,6902,0.23%
Vivendi SE,VIV,0.23%
