CHIK: Global X MSCI China Information Technology ETF
Inception Date: 2018-12-07
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	28592
Shares Outstanding: 849000
Expense Ratio: 0.65%
Tracks This Index: MSCI China Information Technology 10/50 Index
ETFdb.com Category: China Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CHIK


Holding,Symbol,Weighting
Xiaomi Corp. Class B,1810,12.5%
"Sunny Optical Technology (Group) Co., Ltd.",2382,8.16%
Xinyi Solar Holdings Ltd.,968,6.29%
Semiconductor Manufacturing International Corp.,981,5.86%
"Kingdee International Software Group Co., Ltd.",268,5.73%
GDS Holdings Ltd. Sponsored ADR Class A,GDS,4.56%
Lenovo Group Limited,992,4.24%
Kingsoft Corp. Ltd.,3888,3.39%
AAC Technologies Holdings Inc.,2018,2.65%
"Hangzhou Hikvision Digital Technology Co., Ltd Class A",002415,2.61%
"BYD Electronic (International) Co., Ltd.",285,2.45%
LONGi Green Energy Technology Co Ltd Class A,601012,2.43%
Luxshare Precision Industry Co. Ltd. Class A,002475,2.38%
Kingboard Holdings Limited,148,2.11%
China Youzan Limited,8083,2.08%
Hua Hong Semiconductor Ltd.,1347,2.07%
TravelSky Technology Ltd. Class H,696,1.7%
Kingboard Laminates Holdings Limited,1888,1.47%
ZTE Corporation Class H,763,1.35%
"BOE Technology Group Co., Ltd. Class A",000725,1.24%
Kingsoft Cloud Holdings Ltd Sponsored ADR,KC,1.19%
GoerTek Inc. Class A,002241,1.1%
Hundsun Technologies Inc. Class A,600570,1.02%
"Sanan Optoelectronics Co., Ltd. Class A",600703,1.0%
Yonyou Network Technology Co. Ltd. Class A,600588,0.94%
Will Semiconductor Ltd. Class A,603501,0.92%
Lens Technology Co. Ltd. Class A,300433,0.84%
ZTE Corporation Class A,000063,0.81%
"iflytek Co., Ltd. Class A",002230,0.68%
Wuxi Lead Intelligent Equipment Co. Ltd. Class A,300450,0.6%
"Wingtech Technology Co., Ltd. Class A",600745,0.57%
Zhejiang Dahua Technology Co. Ltd. Class A,002236,0.55%
"Chaozhou Three-Circle (Group) Co., Ltd. Class A",300408,0.5%
Sangfor Technologies Inc. Class A,300454,0.47%
"GigaDevice Semiconductor (Beijing), Inc. Class A",603986,0.44%
NAURA Technology Group Co Ltd Class A,002371,0.41%
"AVIC Jonhon Optronic Technology Co., Ltd. Class A",002179,0.39%
Maxscend Microelectronics Company Limited Class A,300782,0.39%
"Unigroup Guoxin Microelectronics Co., Ltd. Class A",002049,0.37%
"Foxconn Industrial Internet Co., Ltd. Class A",601138,0.37%
Glodon Company Limited Class A,002410,0.36%
"Suzhou Dongshan Precision Manufacturing Co., Ltd Class A",002384,0.36%
"Tianjin Zhonghuan Semiconductor Co., Ltd. Class A",002129,0.35%
Guangzhou Shiyuan Electronic Technology Co. Ltd. Class A,002841,0.35%
"Tianma Microelectronics Co., Ltd Class A",000050,0.35%
"OFILM Group Co., Ltd. Class A",002456,0.34%
"360 Security Technology, Inc. Class A",601360,0.33%
Lingyi iTech (Guangdong) Company Class A,002600,0.32%
"Shenzhen Goodix Technology Co., Ltd. Class A",603160,0.32%
Wuhan Guide Infrared Co. Ltd. Class A,002414,0.3%
"Hengtong Optic-Electric Co., Ltd. Class A",600487,0.3%
"Shengyi Technology Co., Ltd. Class A",600183,0.28%
"Unisplendour Co., Ltd. Class A",000938,0.26%
"Beijing Shiji Information Technology Co., Ltd. Class A",002153,0.26%
"Shanghai Baosight Software Co., Ltd. Class A",600845,0.26%
"DHC Software Co., Ltd. Class A",002065,0.25%
Ninestar Corporation Class A,002180,0.25%
Guangzhou Haige Communications Group Incorporated Company Class A,002465,0.24%
China Greatwall Technology Group Co Ltd Class A,000066,0.24%
Yealink Network Technology Co. Ltd. Class A,300628,0.24%
"HANGZHOU FIRST APPLIED MATERIAL CO.,LTD. Class A",603806,0.24%
"Shennan Circuit Co., Ltd. Class A",002916,0.23%
"Dawning Information Industry Co., Ltd. Class A",603019,0.22%
"Thunder Software Technology Co., Ltd. Class A",300496,0.21%
Shenzhen S.C New Energy Technology Corp. Class A,300724,0.2%
"JA Solar Technology Co., Ltd. Class A",002459,0.18%
SG Micro Corp. Class A,300661,0.18%
"Addsino Co., Ltd. Class A",000547,0.18%
China National Software & Service Company Limited Class A,600536,0.17%
"Inspur Electronic Information Industry Co., Ltd. Class A",000977,0.17%
"Tianshui Huatian Technology Co., Ltd. Class A",002185,0.16%
"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd. Class A",300316,0.16%
"Zhongji Innolight Co., Ltd. Class A",300308,0.15%
"Wangsu Science & Technology Co., Ltd. Class A",300017,0.15%
"Ingenic Semiconductor Co., Ltd Class A",300223,0.15%
"Shenzhen Sunway Communication Co., Ltd. Class A",300136,0.15%
"WUS PRINTED CIRCUIT (KUNSHAN) CO., LTD. Class A",002463,0.14%
"TongFu Microelectronics Co., Ltd. Class A",002156,0.14%
"China TransInfo Technology Co., Ltd. Class A",002373,0.13%
"Hangzhou Silan Microelectronics Co., Ltd. Class A",600460,0.13%
Tianjin 712 Communication & Broadcasting Co. Ltd. Class A,603712,0.13%
"Shenzhen Kaifa Technology Co., Ltd Class A",000021,0.12%
"Universal Scientific Industrial (Shanghai) Co., Ltd. Class A",601231,0.12%
"Fiberhome Telecommunication Technologies Co., Ltd. Class A",600498,0.12%
GCL System Integration Technology Co. Ltd. Class A,002506,0.12%
"Beijing Sinnet Technology Co., Ltd. Class A",300383,0.11%
"GRG Banking Equipment Co., Ltd. Class A",002152,0.1%
"Lakala Payment Co., Ltd. Class A",300773,0.1%
"Beijing BDStar Navigation Co., Ltd. Class A",002151,0.1%
"Venustech Group, Inc. Class A",002439,0.1%
"Wuhu Token Science Co., Ltd. Class A",300088,0.09%
"Huagong Tech Co., Ltd. Class A",000988,0.09%
Wuxi Taiji Industry Co. Ltd. Class A,600667,0.08%
"Accelink Technologies Co., Ltd. Class A",002281,0.08%
"Leyard Optoelectronic Co., Ltd. Class A",300296,0.07%
Beijing Thunisoft Corporation Limited Class A,300271,0.07%
"Beijing E-Hualu Information Technology Co., Ltd. Class A",300212,0.07%
U.S. Dollar,Other,0.06%
Visionox Technology Inc. Class A,002387,0.06%
