CHIM: Global X MSCI China Materials ETF
Inception Date: 2010-01-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	2183
Shares Outstanding: 99000
Expense Ratio: 0.65%
Tracks This Index: Solactive China Materials Index
ETFdb.com Category: China Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CHIM


Holding,Symbol,Weighting
"Zijin Mining Group Co., Ltd. Class H",2899,8.78%
Anhui Conch Cement Company Limited Class H,914,7.57%
China National Building Material Co. Ltd. Class H,3323,6.86%
China Resources Cement Holdings Limited,1313,4.45%
Wanhua Chemical Group Co. Ltd. Class A,600309,4.28%
Nine Dragons Paper Holdings Ltd.,2689,3.89%
"China Molybdenum Co., Ltd. Class H",3993,3.83%
Jiangxi Copper Company Limited Class H,358,3.22%
China Hongqiao Group Ltd.,1378,2.72%
"Hengli Petrochemical Co., Ltd. Class A",600346,2.62%
"Rongsheng Petrochemical Co., Ltd. Class A",002493,2.56%
Aluminum Corporation of China Limited Class H,2600,2.53%
"Yunnan Energy New Material Co., Ltd. Class A",002812,2.19%
"Zhaojin Mining Industry Co., Ltd. Class H",1818,2.17%
"Ganfeng Lithium Co., Ltd. Class A",002460,1.99%
Lee & Man Paper Manufacturing Limited,2314,1.94%
"China Molybdenum Co., Ltd. Class A",603993,1.83%
"Baoshan Iron & Steel Co., Ltd. Class A",600019,1.74%
"Shandong Gold Mining Co., Ltd. Class H",1787,1.68%
Zhejiang Huayou Cobalt Co. Ltd. Class A,603799,1.58%
"Beijing Oriental Yuhong Waterproof Technology Co., Ltd. Class A",002271,1.54%
"Zijin Mining Group Co., Ltd. Class A",601899,1.46%
"Shandong Gold Mining Co., Ltd. Class A",600547,1.35%
"China Jushi Co., Ltd. Class A",600176,1.32%
"Shandong Hualu-Hengsheng Chemical Co., Ltd. Class A",600426,1.18%
"Shanghai Putailai New Energy Technology Co., Ltd. Class A",603659,1.06%
Lomon Billions Group Co Ltd. Class A,002601,1.02%
Inner Mongolia Baotou Steel Union Co. Ltd. Class A,600010,0.92%
"Shandong Sinocera Functional Material Co., Ltd. Class A",300285,0.9%
"Hengyi Petrochemical Co., Ltd. Class A",000703,0.88%
"Weihai Guangwei Composites Co., Ltd. Class A",300699,0.88%
"China Northern Rare Earth (Group) High-Tech Co., Ltd. Class A",600111,0.88%
Aluminum Corporation of China Limited Class A,601600,0.87%
"Zhongjin Gold Corp., Ltd. Class A",600489,0.84%
Jiangxi Copper Company Limited Class A,600362,0.83%
Jiangsu Yangnong Chemical Co. Ltd. Class A,600486,0.83%
"Tongkun Group Co., Ltd. Class A",601233,0.82%
"Shandong Sunpaper Co., Ltd. Class A",002078,0.8%
Zhejiang Longsheng Group Co. Ltd. Class A,600352,0.8%
"Shandong Nanshan Aluminium Co., Ltd. Class A",600219,0.77%
"GEM Co., Ltd. Class A",002340,0.76%
"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd. Class A",601216,0.75%
"Hunan Valin Steel Co., Ltd. Class A",000932,0.61%
"Tongling Nonferrous Metals Group Co., Ltd. Class A",000630,0.59%
Xiamen Tungsten Co. Ltd. Class A,600549,0.56%
"Guangdong Hongda Blasting Co., Ltd. Class A",002683,0.54%
"HBIS Co., Ltd. Class A",000709,0.51%
"Huaxin Cement Co., Ltd. Class A",600801,0.51%
"Zhejiang Juhua Co., Ltd. Class A",600160,0.5%
U.S. Dollar,Other,0.49%
BBMG Corporation Class A,601992,0.49%
Shanxi Taigang Stainless Steel Co. Ltd. Class A,000825,0.46%
"Jiangsu Shagang Co., Ltd. Class A",002075,0.46%
"Yintai Gold Co., Ltd. Class A",000975,0.45%
"Pangang Group Vanadium Titanium and Resources Co., Ltd. Class A",000629,0.44%
Sinopec Shanghai Petrochemical Co. Ltd. Class A,600688,0.43%
Tangshan Jidong Cement Co. Ltd. Class A,000401,0.38%
"Shenzhen Capchem Technology Co., Ltd. Class A",300037,0.36%
GUANGZHOU TINCI MATERIALS TECHNOLOGY CO LTD Class A,002709,0.36%
"Transfar Zhilian Co., Ltd. Class A",002010,0.35%
Guangdong HEC Technology Holding Co. Ltd. Class A,600673,0.34%
"Sinoma Science & Technology Co., Ltd. Class A",002080,0.32%
"Kingfa Sci. & Tech. Co., Ltd. Class A",600143,0.28%
"Chifeng Jilong Gold Mining Co., Ltd. Class A",600988,0.24%
Anhui Conch Cement Company Limited Class A,600585,0.22%
"SKSHU Paint Co., Ltd. Class A",603737,0.21%
