CHNA: Loncar China BioPharma ETF
Inception Date: 2018-08-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	12356
Shares Outstanding: 375000
Expense Ratio: 0.79%
Tracks This Index: Loncar China BioPharma Index
ETFdb.com Category: Asia Pacific Equities
Issuer: Exchange Traded Concepts
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CHNA


Holding,Symbol,Weighting
Wuxi Biologics (Cayman) Inc.,2269,5.15%
"Pharmaron Beijing Co., Ltd. Class H",3759,4.24%
"WuXi AppTec Co., Ltd. Class H",2359,3.48%
Zai Lab Ltd. Sponsored ADR,ZLAB,3.35%
Hansoh Pharmaceutical Group Company Limited,3692,3.3%
I-MAB Sponsored ADR,IMAB,3.23%
"Innovent Biologics, Inc.",1801,3.21%
"BeiGene, Ltd. Sponsored ADR",BGNE,3.2%
"Shanghai Junshi Biosciences Co., Ltd. Class H",1877,3.02%
"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. Class H",2196,2.61%
"Akeso, Inc.",9926,2.54%
"China Biologic Products Holdings, Inc.",CBPO,2.21%
CSPC Pharmaceutical Group Limited,1093,2.21%
CASI Pharmaceuticals Inc,CASI,2.16%
Sino Biopharmaceutical Limited,1177,2.13%
Genetron Holdings Ltd Sponsored ADR,GTH,2.04%
Hutchison China Meditech Ltd Sponsored ADR,HCM,2.03%
"Sinopharm Group Co., Ltd. Class H",1099,1.98%
Burning Rock Biotech Ltd. Sponsored ADR Class A,BNR,1.94%
Alphamab Oncology,9966,1.92%
"Cellular Biomedicine Group, Inc.",CBMG,1.85%
SSY Group Limited,2005,1.83%
CStone Pharmaceuticals,2616,1.8%
InnoCare Pharma Limited,9969,1.8%
China Medical System Holdings Ltd.,867,1.78%
"CK Life Sciences International (Holdings), Inc.",775,1.77%
Viva Biotech Holdings,1873,1.76%
Shanghai Pharmaceuticals Holding Co. Ltd. Class H,2607,1.72%
China Resources Pharmaceutical Group Ltd.,3320,1.72%
Legend Biotech Corporation Sponsored ADR,LEGN,1.67%
Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited Class H,874,1.61%
China Grand Pharmaceutical and Healthcare Holdings Ltd,512,1.61%
"Shanghai Henlius Biotech, Inc. Class H",2696,1.56%
YiChang HEC ChangJiang Pharmaceutical Co. Ltd. Class H,1558,1.52%
"Shenzhen Hepalink Pharmaceutical Group Co., Ltd. Class H",9989,1.5%
Livzon Pharmaceutical Group Inc Class H,1513,1.49%
Sihuan Pharmaceutical Holdings Group Ltd.,460,1.46%
"3SBio, Inc.",1530,1.46%
Luye Pharma Group Ltd.,2186,1.43%
Ascentage Pharma Group International,6855,1.41%
"CanSino Biologics, Inc. Class H",6185,1.4%
Genscript Biotech Corporation,1548,1.39%
Immunotech Biopharm Ltd,6978,1.33%
Ocumension Therapeutics,1477,1.23%
"Ascletis Pharma, Inc.",1672,1.22%
"Shanghai Haohai Biological Technology Co., Ltd. Class H",6826,1.2%
Hua Medicine Ltd.,2552,1.11%
Lee\'s Pharmaceutical Holdings Limited,950,1.06%
Kintor Pharmaceutical Ltd,9939,0.91%
Shanghai Fudan Zhangjiang Bio Pharmaceutical Co. Ltd. Class H,1349,0.88%
First American Funds Inc X Government Obligations Fund,FGXXX,0.04%
U.S. Dollar,Other,-0.45%
