CNCR: Loncar Cancer Immunotherapy ETF
Inception Date: 2015-10-13
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	47539
Shares Outstanding: 1500000
Expense Ratio: 0.79%
Tracks This Index: Loncar Cancer Immunotherapy Index
ETFdb.com Category: Global Equities
Issuer: Exchange Traded Concepts
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CNCR


Holding,Symbol,Weighting
I-MAB Sponsored ADR,IMAB,4.37%
Trillium Therapeutics Inc.,TRIL,4.06%
"BeiGene, Ltd. Sponsored ADR",BGNE,3.89%
Genmab A/S Sponsored ADR,GMAB,3.6%
argenx SE ADR,ARGX,3.56%
Bristol-Myers Squibb Company,BMY,3.54%
MorphoSys AG Sponsored ADR,MOR,3.51%
"Xencor, Inc.",XNCR,3.5%
"bluebird bio, Inc.",BLUE,3.49%
Scholar Rock Holding Corp.,SRRK,3.49%
Nektar Therapeutics,NKTR,3.48%
"Regeneron Pharmaceuticals, Inc.",REGN,3.47%
"MacroGenics, Inc.",MGNX,3.46%
Legend Biotech Corporation Sponsored ADR,LEGN,3.43%
CRISPR Therapeutics AG,CRSP,3.41%
"Merck & Co., Inc.",MRK,3.39%
"Gilead Sciences, Inc.",GILD,3.32%
"Y-mAbs Therapeutics, Inc.",YMAB,3.27%
"Fate Therapeutics, Inc.",FATE,3.23%
Iovance Biotherapeutics Inc,IOVA,3.22%
Astrazeneca PLC Sponsored ADR,AZN,3.19%
"IGM Biosciences, Inc.",IGMS,3.19%
"Allogene Therapeutics, Inc.",ALLO,3.16%
Zymeworks Inc.,ZYME,3.1%
"Replimune Group, Inc.",REPL,3.04%
"Arcus Biosciences, Inc.",RCUS,3.02%
"Nkarta, Inc.",NKTX,2.95%
Atara Biotherapeutics Inc,ATRA,2.81%
"ALX Oncology Holdings, Inc.",ALXO,2.64%
BioNTech SE Sponsored ADR,BNTX,2.17%
First American Funds Inc X Government Obligations Fund,FGXXX,0.11%
U.S. Dollar,Other,-0.05%
