COMB: GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF
Inception Date: 2017-05-22
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	78279
Shares Outstanding: 3350000
Expense Ratio: 0.25%
Tracks This Index: n/a
ETFdb.com Category: Commodities
Issuer: GraniteShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/COMB


Holding,Symbol,Weighting
EQUITY OTHER,Other,18.14%
United States Treasury Bills 0.0% 29-APR-2021,Other,9.95%
Government of the United States of America 0.0% 16-MAR-2021,Other,8.87%
United States Treasury Bills 0.0% 23-FEB-2021,Other,7.66%
United States Treasury Bills 0.0% 04-MAR-2021,Other,6.38%
Government of the United States of America 0.0% 20-APR-2021,Other,5.87%
United States Treasury Bills 0.0% 12-JAN-2021,Other,4.08%
United States Treasury Bills 0.0% 15-APR-2021,Other,3.83%
United States Treasury Bills 0.0% 25-MAR-2021,Other,3.83%
United States Treasury Bills 0.0% 11-MAR-2021,Other,3.45%
United States Treasury Bills 0.0% 09-FEB-2021,Other,3.32%
Government of the United States of America 0.0% 13-APR-2021,Other,3.32%
United States Treasury Bills 0.0% 16-FEB-2021,Other,3.19%
United States Treasury Bills 0.0% 18-FEB-2021,Other,3.19%
United States Treasury Bills 0.0% 07-JAN-2021,Other,2.87%
United States Treasury Bills 0.0% 01-APR-2021,Other,2.55%
United States Treasury Bills 0.0% 18-MAR-2021,Other,2.55%
Government of the United States of America 0.0% 02-MAR-2021,Other,2.55%
United States Treasury Bills 0.0% 28-JAN-2021,Other,1.91%
Government of the United States of America 0.0% 11-MAY-2021,Other,1.53%
United States Treasury Bills 0.0% 02-FEB-2021,Other,0.77%
U.S. Dollar,Other,0.19%
