CSML: IQ Chaikin U.S. Small Cap ETF
Inception Date: 2017-05-16
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	169112
Shares Outstanding: 5800000
Expense Ratio: 0.35%
Tracks This Index: NASDAQ Chaikin Power US Small Cap Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: IndexIQ
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CSML


Holding,Symbol,Weighting
"Domo, Inc. Class B",DOMO,0.78%
"TG Therapeutics, Inc.",TGTX,0.65%
"U.S. Silica Holdings, Inc.",SLCA,0.62%
"Brinker International, Inc.",EAT,0.56%
Twist Bioscience Corp.,TWST,0.54%
"Mr. Cooper Group, Inc.",COOP,0.52%
Sleep Number Corporation,SNBR,0.52%
"Calix, Inc.",CALX,0.51%
Liberty Oilfield Services Inc. Class A,LBRT,0.49%
"TCR2 Therapeutics, Inc.",TCRR,0.49%
Lindblad Expeditions Holdings Inc,LIND,0.46%
"GenMark Diagnostics, Inc.",GNMK,0.46%
MicroStrategy Incorporated Class A,MSTR,0.45%
"Lithia Motors, Inc. Class A",LAD,0.43%
U.S. Dollar,Other,0.42%
"WESCO International, Inc.",WCC,0.42%
"MarineMax, Inc.",HZO,0.42%
"CareDx, Inc.",CDNA,0.41%
"GoPro, Inc. Class A",GPRO,0.39%
"OPKO Health, Inc.",OPK,0.39%
Playa Hotels & Resorts N.V.,PLYA,0.39%
MaxLinear inc,MXL,0.38%
"Arlo Technologies, Inc.",ARLO,0.38%
"Medifast, Inc.",MED,0.38%
ProPetro Holding Corp.,PUMP,0.38%
"Century Communities, Inc.",CCS,0.37%
Darling Ingredients Inc.,DAR,0.37%
"Smith & Wesson Brands, Inc.",SWBI,0.36%
"PennyMac Financial Services, Inc.",PFSI,0.35%
"Virtus Investment Partners, Inc.",VRTS,0.35%
ORBCOMM Inc.,ORBC,0.35%
"Green Brick Partners, Inc.",GRBK,0.34%
Vista Outdoor Inc,VSTO,0.34%
"NanoString Technologies, Inc.",NSTG,0.34%
Rent-A-Center Inc,RCII,0.34%
"BJ\'s Restaurants, Inc.",BJRI,0.34%
"Duluth Holdings, Inc. Class B",DLTH,0.34%
"QuinStreet, Inc.",QNST,0.33%
"M/I Homes, Inc.",MHO,0.33%
Cowen Inc Class A,COWN,0.33%
Core Laboratories NV,CLB,0.33%
Providence Service Corporation,PRSC,0.32%
"Fossil Group, Inc.",FOSL,0.32%
"Bloomin\' Brands, Inc.",BLMN,0.32%
R1 RCM Inc,RCM,0.32%
"Alarm.com Holdings, Inc.",ALRM,0.32%
Ellington Financial Inc.,EFC,0.32%
"Asbury Automotive Group, Inc.",ABG,0.32%
"Varonis Systems, Inc.",VRNS,0.32%
"Arrowhead Pharmaceuticals, Inc.",ARWR,0.32%
Clear Channel Outdoor Holdings Inc,CCO,0.31%
"Ruth\'s Hospitality Group, Inc.",RUTH,0.31%
"SI-BONE, Inc.",SIBN,0.31%
"Saia, Inc.",SAIA,0.31%
"Schnitzer Steel Industries, Inc. Class A",SCHN,0.31%
"Haverty Furniture Companies, Inc.",HVT,0.31%
"SPS Commerce, Inc.",SPSC,0.3%
Fluidigm Corporation,FLDM,0.3%
"Beacon Roofing Supply, Inc.",BECN,0.3%
"MFA Financial, Inc.",MFA,0.3%
"B. Riley Financial, Inc.",RILY,0.3%
Cooper Tire & Rubber Company,CTB,0.3%
Koppers Holdings Inc.,KOP,0.3%
"PGT Innovations, Inc.",PGTI,0.3%
"New York Mortgage Trust, Inc.",NYMT,0.29%
Timken Company,TKR,0.29%
Evoqua Water Technologies Corp,AQUA,0.29%
"LGI Homes, Inc.",LGIH,0.29%
"Amicus Therapeutics, Inc.",FOLD,0.29%
"Artisan Partners Asset Management, Inc. Class A",APAM,0.29%
"Cactus, Inc. Class A",WHD,0.29%
"Meridian Bioscience, Inc.",VIVO,0.29%
"Patterson-UTI Energy, Inc.",PTEN,0.29%
MYR Group Inc.,MYRG,0.28%
Taylor Morrison Home Corporation,TMHC,0.28%
Meritage Homes Corporation,MTH,0.28%
"Agilysys, Inc.",AGYS,0.28%
ASGN Inc,ASGN,0.28%
"FormFactor, Inc.",FORM,0.27%
Systemax Inc.,SYX,0.27%
Green Dot Corporation Class A,GDOT,0.27%
"Gannett Co., Inc.",GCI,0.27%
"CAI International, Inc.",CAI,0.27%
"Walker & Dunlop, Inc.",WD,0.27%
Quanex Building Products Corporation,NX,0.27%
Corcept Therapeutics Incorporated.,CORT,0.27%
"U.S. Concrete, Inc.",USCR,0.27%
"M.D.C. Holdings, Inc.",MDC,0.26%
Allied Motion Technologies Inc.,AMOT,0.26%
"FireEye, Inc.",FEYE,0.26%
"Warrior Met Coal, Inc.",HCC,0.26%
CNX Resources Corporation,CNX,0.26%
Hersha Hospitality Trust Class A,HT,0.26%
National Beverage Corp.,FIZZ,0.26%
"Mitek Systems, Inc.",MITK,0.26%
"Arvinas, Inc.",ARVN,0.26%
Genesco Inc.,GCO,0.26%
"1-800-FLOWERS.COM, Inc. Class A",FLWS,0.26%
Ducommun Incorporated,DCO,0.26%
"Ensign Group, Inc.",ENSG,0.25%
"Hillenbrand, Inc.",HI,0.25%
Piper Sandler Companies,PIPR,0.25%
"Provention Bio, Inc.",PRVB,0.25%
Atkore International Group Inc.,ATKR,0.25%
"Axos Financial, Inc.",AX,0.25%
Turning Point Brands Inc,TPB,0.25%
"Flagstar Bancorp, Inc.",FBC,0.25%
"Sinclair Broadcast Group, Inc. Class A",SBGI,0.25%
New Senior Investment Group Inc,SNR,0.25%
"TTEC Holdings, Inc.",TTEC,0.25%
"Emerald Holding, Inc.",EEX,0.25%
Gentherm Incorporated,THRM,0.25%
"Vocera Communications, Inc.",VCRA,0.25%
"Myers Industries, Inc.",MYE,0.24%
"Y-mAbs Therapeutics, Inc.",YMAB,0.24%
"Rush Enterprises, Inc. Class A",RUSHA,0.24%
Intersect ENT Inc,XENT,0.24%
"Magellan Health, Inc.",MGLN,0.24%
Regal Beloit Corp,RBC,0.24%
"Worthington Industries, Inc.",WOR,0.24%
Quidel Corporation,QDEL,0.24%
"Patterson Companies, Inc.",PDCO,0.24%
"Axonics Modulation Technologies, Inc.",AXNX,0.24%
LaZBoy Incorporated,LZB,0.24%
TRI Pointe Group Inc,TPH,0.24%
"First Foundation, Inc.",FFWM,0.24%
LCI Industries,LCII,0.24%
"Codexis, Inc.",CDXS,0.24%
"NMI Holdings, Inc. Class A",NMIH,0.24%
"Arcus Biosciences, Inc.",RCUS,0.24%
"2U, Inc.",TWOU,0.23%
KB Home,KBH,0.23%
Magnolia Oil & Gas Corp. Class A,MGY,0.23%
Select Medical Holdings Corporation,SEM,0.23%
Triton International Ltd. Class A,TRTN,0.23%
"Medpace Holdings, Inc.",MEDP,0.23%
"Foundation Building Materials, Inc.",FBM,0.23%
"Sterling Construction Company, Inc.",STRL,0.23%
"Matson, Inc.",MATX,0.23%
"Power Integrations, Inc.",POWI,0.23%
"BankUnited, Inc.",BKU,0.23%
"Omnicell, Inc.",OMCL,0.23%
Materion Corporation,MTRN,0.22%
"NextGen Healthcare, Inc.",NXGN,0.22%
Korn Ferry,KFY,0.22%
Primoris Services Corporation,PRIM,0.22%
Chatham Lodging Trust,CLDT,0.22%
RLJ Lodging Trust,RLJ,0.22%
WSFS Financial Corporation,WSFS,0.22%
"Insight Enterprises, Inc.",NSIT,0.22%
"Colony Credit Real Estate, Inc. Class A",CLNC,0.22%
Loral Space & Communications Inc.,LORL,0.22%
"CNO Financial Group, Inc.",CNO,0.22%
"Shoe Carnival, Inc.",SCVL,0.22%
"NETGEAR, Inc.",NTGR,0.22%
"Spirit Airlines, Inc.",SAVE,0.22%
"Casa Systems, Inc.",CASA,0.22%
Johnson Outdoors Inc. Class A,JOUT,0.22%
Diodes Incorporated,DIOD,0.22%
Houghton Mifflin Harcourt Company,HMHC,0.22%
"EVO Payments, Inc. Class A",EVOP,0.22%
"Diamond Hill Investment Group, Inc.",DHIL,0.22%
"Orchid Island Capital, Inc.",ORC,0.22%
"Urban Outfitters, Inc.",URBN,0.22%
Nevro Corp.,NVRO,0.21%
"Applied Industrial Technologies, Inc.",AIT,0.21%
Yelp Inc,YELP,0.21%
"Barrett Business Services, Inc.",BBSI,0.21%
"PJT Partners, Inc. Class A",PJT,0.21%
"Customers Bancorp, Inc.",CUBI,0.21%
"Perficient, Inc.",PRFT,0.21%
"Mistras Group, Inc.",MG,0.21%
"CSW Industrials, Inc.",CSWI,0.21%
Kforce Inc.,KFRC,0.21%
"Dynex Capital, Inc.",DX,0.21%
AZZ Inc.,AZZ,0.21%
Hancock Whitney Corporation,HWC,0.21%
"Itron, Inc.",ITRI,0.21%
"Antares Pharma, Inc.",ATRS,0.21%
Cabot Corporation,CBT,0.21%
"Axogen, Inc.",AXGN,0.21%
"Pacific Premier Bancorp, Inc.",PPBI,0.21%
"AtriCure, Inc.",ATRC,0.2%
"Kelly Services, Inc. Class A",KELYA,0.2%
"Model N, Inc.",MODN,0.2%
StoneX Group Inc.,SNEX,0.2%
DiamondRock Hospitality Company,DRH,0.2%
"Compass Minerals International, Inc.",CMP,0.2%
"Newmark Group, Inc. Class A",NMRK,0.2%
Meredith Corporation,MDP,0.2%
SPX Corporation,SPXC,0.2%
TCF Financial Corporation,TCF,0.2%
Altisource Portfolio Solutions S.A.,ASPS,0.2%
OFG Bancorp,OFG,0.2%
"G1 Therapeutics, Inc.",GTHX,0.2%
Oppenheimer Holdings Inc. Class A,OPY,0.2%
Cimpress Plc,CMPR,0.2%
"First Bancshares, Inc.",FBMS,0.2%
"ExlService Holdings, Inc.",EXLS,0.2%
United Therapeutics Corporation,UTHR,0.2%
"Onto Innovation, Inc.",ONTO,0.2%
"CorePoint Lodging, Inc.",CPLG,0.2%
PotlatchDeltic Corporation,PCH,0.2%
EnerSys,ENS,0.2%
Emergent BioSolutions Inc.,EBS,0.2%
"Sally Beauty Holdings, Inc.",SBH,0.2%
Ameris Bancorp,ABCB,0.2%
"Vishay Precision Group, Inc.",VPG,0.2%
Rambus Inc.,RMBS,0.2%
Blue Bird Corporation,BLBD,0.2%
"CRA International, Inc.",CRAI,0.19%
"Axcelis Technologies, Inc.",ACLS,0.19%
