CURE: Direxion Daily Healthcare Bull 3x Shares
Inception Date: 2011-06-15
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	142993
Shares Outstanding: 1850000
Expense Ratio: 1.08%
Tracks This Index: Health Care Select Sector Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CURE


Holding,Symbol,Weighting
U.S. Dollar,Other,24.88%
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,13.19%
Dreyfus Government Cash Management Funds Institutional,DGCXX,10.92%
Johnson & Johnson,JNJ,4.96%
UnitedHealth Group Incorporated,UNH,3.99%
"Merck & Co., Inc.",MRK,2.46%
Pfizer Inc.,PFE,2.46%
Abbott Laboratories,ABT,2.33%
Thermo Fisher Scientific Inc.,TMO,2.25%
"AbbVie, Inc.",ABBV,2.24%
Medtronic Plc,MDT,1.88%
Danaher Corporation,DHR,1.7%
Bristol-Myers Squibb Company,BMY,1.67%
Amgen Inc.,AMGN,1.59%
Eli Lilly and Company,LLY,1.58%
"Intuitive Surgical, Inc.",ISRG,1.13%
CVS Health Corporation,CVS,1.1%
"Anthem, Inc.",ANTM,0.95%
"Zoetis, Inc. Class A",ZTS,0.94%
Stryker Corporation,SYK,0.94%
"Gilead Sciences, Inc.",GILD,0.91%
Cigna Corporation,CI,0.89%
"Becton, Dickinson and Company",BDX,0.87%
Vertex Pharmaceuticals Incorporated,VRTX,0.72%
Edwards Lifesciences Corporation,EW,0.67%
Humana Inc.,HUM,0.66%
"Illumina, Inc.",ILMN,0.65%
"Regeneron Pharmaceuticals, Inc.",REGN,0.61%
Boston Scientific Corporation,BSX,0.61%
HCA Healthcare Inc,HCA,0.52%
"IDEXX Laboratories, Inc.",IDXX,0.5%
Baxter International Inc.,BAX,0.49%
"Align Technology, Inc.",ALGN,0.45%
Biogen Inc.,BIIB,0.45%
"Agilent Technologies, Inc.",A,0.44%
Centene Corporation,CNC,0.43%
"DexCom, Inc.",DXCM,0.41%
"Alexion Pharmaceuticals, Inc.",ALXN,0.41%
IQVIA Holdings Inc,IQV,0.41%
"Zimmer Biomet Holdings, Inc.",ZBH,0.38%
ResMed Inc.,RMD,0.37%
McKesson Corporation,MCK,0.34%
Mettler-Toledo International Inc.,MTD,0.33%
Cerner Corporation,CERN,0.29%
"Viatris, Inc.",VTRS,0.27%
"West Pharmaceutical Services, Inc.",WST,0.25%
Laboratory Corporation of America Holdings,LH,0.24%
"Hologic, Inc.",HOLX,0.23%
Teleflex Incorporated,TFX,0.23%
Catalent Inc,CTLT,0.21%
"Cooper Companies, Inc.",COO,0.21%
Quest Diagnostics Incorporated,DGX,0.2%
"PerkinElmer, Inc.",PKI,0.2%
"Cardinal Health, Inc.",CAH,0.19%
Incyte Corporation,INCY,0.19%
STERIS Plc,STE,0.19%
"Varian Medical Systems, Inc.",VAR,0.19%
Waters Corporation,WAT,0.19%
AmerisourceBergen Corporation,ABC,0.17%
"ABIOMED, Inc.",ABMD,0.17%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.15%
"DENTSPLY SIRONA, Inc.",XRAY,0.14%
"Universal Health Services, Inc. Class B",UHS,0.13%
"Henry Schein, Inc.",HSIC,0.11%
DaVita Inc.,DVA,0.1%
Perrigo Co. Plc,PRGO,0.07%
