DBEH: iM DBi Hedge Strategy ETF
Inception Date: 2019-12-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	18520
Shares Outstanding: 600000
Expense Ratio: 0.85%
Tracks This Index: n/a
ETFdb.com Category: Long-Short
Issuer: iM Global Partner US LLC
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DBEH


Holding,Symbol,Weighting
U.S. Dollar,Other,24.78%
United States Treasury Bills 0.0% 11-FEB-2021,Other,15.84%
United States Treasury Bills 0.0% 25-FEB-2021,Other,14.67%
TREASURY ISSUES (SHORT-TERM),Other,9.07%
United States Treasury Bills 0.0% 04-MAR-2021,Other,6.8%
United States Treasury Bills 0.0% 29-APR-2021,Other,4.13%
United States Treasury Bills 0.0% 01-APR-2021,Other,3.72%
United States Treasury Bills 0.0% 25-MAR-2021,Other,2.94%
United States Treasury Bills 0.0% 22-APR-2021,Other,2.53%
United States Treasury Bills 0.0% 08-APR-2021,Other,2.11%
United States Treasury Bills 0.0% 15-APR-2021,Other,2.09%
United States Treasury Bills 0.0% 11-MAR-2021,Other,1.71%
FUTURES,Other,1.6%
United States Treasury Bills 0.0% 13-MAY-2021,Other,1.59%
United States Treasury Bills 0.0% 18-FEB-2021,Other,1.5%
United States Treasury Bills 0.0% 17-JUN-2021,Other,1.47%
United States Treasury Bills 0.0% 20-MAY-2021,Other,1.3%
United States Treasury Bills 0.0% 03-JUN-2021,Other,0.93%
Government of the United States of America 0.0% 27-APR-2021,Other,0.71%
United States Treasury Bills 0.0% 24-JUN-2021,Other,0.3%
Government of the United States of America 0.0% 11-MAY-2021,Other,0.19%
