DBJP: Xtrackers MSCI Japan Currency-Hedged Equity Fund
Inception Date: 2011-06-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	205867
Shares Outstanding: 4500000
Expense Ratio: 0.45%
Tracks This Index: MSCI Japan US Dollar Hedged Index
ETFdb.com Category: Japan Equities
Issuer: DWS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DBJP


Holding,Symbol,Weighting
Toyota Motor Corp.,7203,4.01%
Sony Corporation,6758,3.15%
SoftBank Group Corp.,9984,3.0%
Keyence Corporation,6861,2.51%
"Nintendo Co., Ltd.",7974,1.71%
U.S. Dollar,Other,1.53%
Shin-Etsu Chemical Co Ltd,4063,1.51%
"Daiichi Sankyo Company, Limited",4568,1.47%
Takeda Pharmaceutical Co. Ltd.,4502,1.4%
Nidec Corporation,6594,1.39%
"DAIKIN INDUSTRIES, LTD.",6367,1.39%
"Recruit Holdings Co., Ltd.",6098,1.38%
Tokyo Electron Ltd.,8035,1.35%
"FAST RETAILING CO., LTD.",9983,1.33%
"Mitsubishi UFJ Financial Group, Inc.",8306,1.31%
HOYA CORPORATION,7741,1.31%
"Murata Manufacturing Co., Ltd.",6981,1.29%
KDDI Corporation,9433,1.19%
Fanuc Corporation,6954,1.17%
"Honda Motor Co., Ltd.",7267,1.12%
"M3, Inc.",2413,1.06%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.98%
Itochu Corporation,8001,0.95%
"Hitachi,Ltd.",6501,0.93%
Kao Corp.,4452,0.92%
SoftBank Corp.,9434,0.9%
SMC Corporation,6273,0.89%
"Chugai Pharmaceutical Co., Ltd.",4519,0.87%
Nippon Telegraph and Telephone Corporation,9432,0.84%
Mitsubishi Corporation,8058,0.81%
"Oriental Land Co., Ltd.",4661,0.79%
"Tokio Marine Holdings, Inc.",8766,0.78%
"Mizuho Financial Group, Inc.",8411,0.76%
"Mitsui & Co.,Ltd",8031,0.73%
Astellas Pharma Inc.,4503,0.71%
