DDIV: First Trust Dorsey Wright Momentum & Dividend ETF
Inception Date: 2014-03-10
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	27332
Shares Outstanding: 1100000
Expense Ratio: 0.6%
Tracks This Index: Dorsey Wright Momentum Plus Dividend Yield Index
ETFdb.com Category: All Cap Equities
Issuer: First Trust
Structure: 
ETF Home Page: https://etfdb.com/etf/DDIV


Holding,Symbol,Weighting
"Starwood Property Trust, Inc.",STWD,5.76%
Regions Financial Corporation,RF,4.41%
LyondellBasell Industries NV,LYB,4.37%
STORE Capital Corporation,STOR,4.29%
"Ventas, Inc.",VTR,3.21%
ViacomCBS Inc. Class B,VIAC,3.18%
Ares Management Corporation,ARES,3.14%
Broadcom Inc.,AVGO,3.1%
Discover Financial Services,DFS,3.01%
Blackstone Group Inc. Class A,BX,3.01%
AES Corporation,AES,2.86%
Synchrony Financial,SYF,2.85%
Ally Financial Inc,ALLY,2.78%
"Leggett & Platt, Incorporated",LEG,2.74%
Garmin Ltd.,GRMN,2.46%
Texas Instruments Incorporated,TXN,2.42%
Snap-on Incorporated,SNA,2.29%
"BlackRock, Inc.",BLK,2.26%
"Watsco, Inc.",WSO,2.25%
"QTS Realty Trust, Inc. Class A",QTS,2.08%
"Nexstar Media Group, Inc. Class A",NXST,2.03%
Amgen Inc.,AMGN,1.89%
"CyrusOne, Inc.",CONE,1.8%
"Darden Restaurants, Inc.",DRI,1.7%
Duke Realty Corporation,DRE,1.65%
Cummins Inc.,CMI,1.64%
Whirlpool Corporation,WHR,1.63%
"First Industrial Realty Trust, Inc.",FR,1.48%
Qualcomm Inc,QCOM,1.46%
Illinois Tool Works Inc.,ITW,1.41%
"United Parcel Service, Inc. Class B",UPS,1.36%
Fastenal Company,FAST,1.35%
Keurig Dr Pepper Inc.,KDP,1.28%
"Prologis, Inc.",PLD,1.21%
"Williams-Sonoma, Inc.",WSM,1.17%
"Home Depot, Inc.",HD,1.16%
Scotts Miracle-Gro Company Class A,SMG,1.04%
Union Pacific Corporation,UNP,1.04%
Target Corporation,TGT,1.01%
"NextEra Energy, Inc.",NEE,1.0%
"Rockwell Automation, Inc.",ROK,0.97%
"Best Buy Co., Inc.",BBY,0.95%
RPM International Inc.,RPM,0.91%
"Air Products and Chemicals, Inc.",APD,0.88%
Accenture Plc Class A,ACN,0.88%
"W.W. Grainger, Inc.",GWW,0.88%
"Nasdaq, Inc.",NDAQ,0.84%
"Marsh & McLennan Companies, Inc.",MMC,0.83%
UnitedHealth Group Incorporated,UNH,0.81%
KKR & Co. Inc.,KKR,0.8%
U.S. Dollar,Other,0.45%
