DEM: WisdomTree Emerging Markets Equity Income Fund
Inception Date: 2007-07-13
Fund Holdings as of: 2020-12-30
Total Assets Under Management (in thousands):	1735990
Shares Outstanding: 42200000
Expense Ratio: 0.63%
Tracks This Index: WisdomTree Emerging Markets Equity income Index
ETFdb.com Category: Emerging Markets Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DEM


Holding,Symbol,Weighting
Vale S.A.,VALE3,6.5%
Sberbank Russia PJSC Sponsored ADR,SBER,5.76%
MMC Norilsk Nickel PJSC ADR,MNOD,3.67%
China Mobile Limited,941,3.63%
"Hon Hai Precision Industry Co., Ltd.",2317,3.45%
China Construction Bank Corporation Class H,939,3.07%
Industrial and Commercial Bank of China Limited Class H,1398,2.32%
Rosneft Oil Co. Sponsored GDR RegS,ROSN,1.52%
Formosa Plastics Corporation,1301,1.33%
TATNEFT PJSC Sponsored ADR,ATAD,1.25%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,1.19%
Power Grid Corporation of India Limited,532898,1.18%
PT Telkom Indonesia (Persero) Tbk Class B,TLKM,1.16%
Formosa Chemicals & Fibre Corporation,1326,1.09%
Taiwan Cement Corp.,1101,1.07%
CTBC Financial Holding Company Ltd.,2891,1.04%
Quanta Computer Inc.,2382,0.97%
KT & G Corporation,033780,0.96%
ITC Limited,500875,0.94%
Pegatron Corporation,4938,0.88%
Asustek Computer Inc.,2357,0.86%
Mobile TeleSystems PJSC Sponsored ADR,MBT,0.85%
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI,0.83%
"Fubon Financial Holding Co., Ltd.",2881,0.81%
Vodacom Group Limited,VOD,0.77%
Country Garden Holdings Co. Ltd.,2007,0.76%
Hana Financial Group Inc.,086790,0.73%
PT Astra International Tbk,ASII,0.7%
Enel Americas S.A.,ENELAM,0.7%
Lite-On Technology Corp.,2301,0.69%
Magnit PJSC Sponsored GDR RegS,MGNT,0.67%
"Mega Financial Holding Co., Ltd.",2886,0.67%
Oil & Natural Gas Corp. Ltd.,500312,0.67%
Asia Cement Corporation,1102,0.65%
"Cathay Financial Holdings Co., Ltd.",2882,0.64%
Banco do Brasil S.A.,BBAS3,0.62%
"Taiwan Mobile Co., Ltd.",3045,0.62%
Macquarie Korea Infrastructure Fund,088980,0.59%
Agricultural Bank of China Limited Class H,1288,0.58%
CEZ as,CEZ,0.56%
Lenovo Group Limited,992,0.55%
PT Bank Mandiri (Persero) Tbk,BMRI,0.55%
Sanlam Limited,SLM,0.54%
Wistron Corporation,3231,0.53%
China Life Insurance Co. Ltd. Class H,2628,0.52%
Novolipetsk Steel Sponsored GDR RegS,NLMK,0.51%
"Catcher Technology Co., Ltd.",2474,0.5%
China Overseas Land & Investment Limited,688,0.49%
WH Group Ltd. (HK),288,0.49%
"Far Eastone Telecommunications Co., Ltd.",4904,0.46%
Kumba Iron Ore Limited,KIO,0.45%
GAIL (India) Limited,532155,0.44%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,0.43%
"SinoPac Financial Holdings Co., Ltd.",2890,0.42%
"Poly Developments & Holdings Group Co., Ltd. Class A",600048,0.42%
Exxaro Resources Limited,EXX,0.42%
"Industrial Bank Co., Ltd. Class A",601166,0.42%
"PLDT, Inc.",TEL,0.41%
Far Eastern New Century Corporation,1402,0.39%
First Financial Holding Co. Ltd.,2892,0.38%
Chicony Electronics Co. Ltd.,2385,0.36%
Want Want China Holdings Limited,151,0.35%
Multichoice Group Ltd,MCG,0.35%
Synnex Technology International Corp.,2347,0.35%
Transmissora Alianca De Energia Eletrica S.A. Unit,TAEE11,0.35%
PTT Exploration & Production Plc NVDR,PTTEP.R,0.34%
China Development Financial Holding Corp.,2883,0.34%
"Shanghai Commercial & Savings Bank, Ltd.",5876,0.33%
PhosAgro PJSC Sponsored GDR RegS,PHOR,0.32%
African Rainbow Minerals Limited,ARI,0.32%
Banco Santander (Brasil) S.A. Units Cons of 1 Sh + 1 Pfd Sh,SANB11,0.31%
Banco de Chile,CHILE,0.3%
"Shanghai Pudong Development Bank Co., Ltd. Class A",600000,0.3%
CCR S.A.,CCRO3,0.3%
Guangdong Investment Limited,270,0.3%
Tripod Technology Corporation,3044,0.29%
PT United Tractors Tbk,UNTR,0.29%
Powertech Technology Inc.,6239,0.29%
"Samsung Fire & Marine Insurance Co., Ltd",000810,0.29%
Shenzhen International Holdings Limited,152,0.29%
"Hengan International Group Co., Ltd.",1044,0.29%
Agile Group Holdings Limited,3383,0.29%
Petrobras Distribuidora SA,BRDT3,0.27%
Inventec Corporation,2356,0.27%
Siam Commercial Bank Public Company Limited NVDR,SCB.R,0.26%
China Resources Cement Holdings Limited,1313,0.26%
"Compal Electronics, Inc.",2324,0.26%
AVI Limited Class Y,AVI,0.25%
KunLun Energy Co. Ltd.,135,0.25%
China Telecom Corp. Ltd. Class H,728,0.25%
Hindustan Petroleum Corporation Limited,500104,0.24%
Indus Towers Limited,534816,0.24%
KWG Group Holdings Limited,1813,0.24%
"Postal Savings Bank of China Co., Ltd. Class H",1658,0.24%
ENGIE Brasil Energia S.A.,EGIE3,0.24%
Centrais Eletricas Brasileiras SA-Eletrobras,ELET3,0.24%
"Alfa, S.A.B. de C.V. Class A",ALFAA,0.24%
"Wen\'s Foodstuff Group Co., Ltd. Class A",300498,0.23%
CIFI Holdings (Group) Co. Ltd.,884,0.23%
Pou Chen Corporation,9904,0.23%
Remgro Limited,REM,0.23%
Intouch Holdings Public Company Limited NVDR,INTUCH.R,0.22%
"SITC International Holdings Co., Ltd.",1308,0.22%
WPG Holding Co Ltd,3702,0.22%
REC Limited,532955,0.21%
Shimao Group Holdings Limited,813,0.21%
"CGN Power Co., Ltd. Class H",1816,0.21%
FIBRA Macquarie Mexico,FIBRAMQ12,0.19%
"United Integrated Services Co., Ltd.",2404,0.19%
Globe Telecom Inc.,GLO,0.18%
NMDC Limited,526371,0.18%
Industrial Bank Of Korea,024110,0.18%
Oil India Limited,533106,0.18%
Manila Electric Co.,MER,0.17%
"Baoshan Iron & Steel Co., Ltd. Class A",600019,0.17%
Ford Otomotiv Sanayi A.S.,FROTO,0.17%
