DEW: WisdomTree Global Equity Income Fund
Inception Date: 2006-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	64423
Shares Outstanding: 1500000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree Global Equity Income Index
ETFdb.com Category: Large Cap Value Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DEW


Holding,Symbol,Weighting
AT&T Inc.,T,5.57%
Verizon Communications Inc.,VZ,3.66%
JPMorgan Chase & Co.,JPM,3.32%
Philip Morris International Inc.,PM,2.72%
Coca-Cola Company,KO,2.7%
Altria Group Inc,MO,2.32%
Citigroup Inc.,C,2.25%
"AbbVie, Inc.",ABBV,2.1%
Pfizer Inc.,PFE,1.95%
"Cisco Systems, Inc.",CSCO,1.62%
Broadcom Inc.,AVGO,1.41%
International Business Machines Corporation,IBM,1.35%
3M Company,MMM,1.25%
Novartis AG,NOVN,1.21%
China Mobile Limited,941,0.98%
Sberbank Russia PJSC Sponsored ADR,SBER,0.94%
China Construction Bank Corporation Class H,939,0.91%
Rio Tinto plc,RIO,0.81%
Fortescue Metals Group Ltd,FMG,0.8%
ConocoPhillips,COP,0.78%
GlaxoSmithKline plc,GSK,0.74%
U.S. Bancorp,USB,0.74%
"Gilead Sciences, Inc.",GILD,0.72%
Royal Dutch Shell Plc Class A,RDSA,0.68%
Dominion Energy Inc,D,0.68%
Southern Company,SO,0.66%
Duke Energy Corporation,DUK,0.65%
Commonwealth Bank of Australia,CBA,0.65%
"PNC Financial Services Group, Inc.",PNC,0.64%
British American Tobacco p.l.c.,BATS,0.63%
Vale S.A.,VALE3,0.62%
BHP Group Ltd,BHP,0.6%
Sanofi,SAN,0.59%
Industrial and Commercial Bank of China Limited Class H,1398,0.59%
Truist Financial Corporation,TFC,0.58%
SoftBank Corp.,9434,0.57%
"Dow, Inc.",DOW,0.56%
Allianz SE,ALV,0.52%
Kraft Heinz Company,KHC,0.5%
Enbridge Inc.,ENB,0.49%
Toronto-Dominion Bank,TD,0.48%
"MetLife, Inc.",MET,0.47%
"Williams Companies, Inc.",WMB,0.46%
Royal Bank of Canada,RY,0.46%
Iberdrola SA,IBE,0.45%
"General Mills, Inc.",GIS,0.42%
KDDI Corporation,9433,0.41%
Enel SpA,ENEL,0.39%
Nippon Telegraph and Telephone Corporation,9432,0.39%
BASF SE,BAS,0.39%
"Hon Hai Precision Industry Co., Ltd.",2317,0.39%
Bank of Nova Scotia,BNS,0.39%
Siemens AG,SIE,0.38%
Zurich Insurance Group Ltd,ZURN,0.37%
Exelon Corporation,EXC,0.36%
MMC Norilsk Nickel PJSC ADR,MNOD,0.35%
"Welltower, Inc.",WELL,0.34%
Blackstone Group Inc. Class A,BX,0.34%
Public Storage,PSA,0.33%
Bayer AG,BAYN,0.33%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.33%
Deutsche Telekom AG,DTE,0.32%
Vodafone Group Plc,VOD,0.32%
Equinor ASA,EQNR,0.32%
"American Electric Power Company, Inc.",AEP,0.31%
Bank of New York Mellon Corporation,BK,0.31%
HP Inc.,HPQ,0.31%
PPL Corporation,PPL,0.3%
PACCAR Inc,PCAR,0.29%
Japan Tobacco Inc.,2914,0.29%
BHP Group Plc,BHP,0.28%
Rio Tinto Limited,RIO,0.27%
National Australia Bank Limited,NAB,0.27%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.26%
"Lumen Technologies, Inc.",LUMN,0.26%
Takeda Pharmaceutical Co. Ltd.,4502,0.26%
"EOG Resources, Inc.",EOG,0.26%
DBS Group Holdings Ltd,D05,0.25%
Edison International,EIX,0.25%
Australia and New Zealand Banking Group Limited,ANZ,0.25%
Equity Residential,EQR,0.24%
Realty Income Corporation,O,0.23%
Public Service Enterprise Group Inc,PEG,0.23%
"Gaming and Leisure Properties, Inc.",GLPI,0.23%
Bank of Montreal,BMO,0.23%
AXA SA,CS,0.22%
CTBC Financial Holding Company Ltd.,2891,0.22%
"AvalonBay Communities, Inc.",AVB,0.22%
Canadian Imperial Bank of Commerce,CM,0.21%
E.ON SE,EOAN,0.21%
Itochu Corporation,8001,0.21%
International Paper Company,IP,0.21%
National Grid plc,NG,0.21%
Fifth Third Bancorp,FITB,0.21%
BCE Inc.,BCE,0.21%
"Consolidated Edison, Inc.",ED,0.21%
Rosneft Oil Co. Sponsored GDR RegS,ROSN,0.2%
FirstEnergy Corp.,FE,0.2%
State Street Corporation,STT,0.2%
BOC Hong Kong (Holdings) Limited,2388,0.2%
"Healthpeak Properties, Inc.",PEAK,0.2%
Mitsubishi Corporation,8058,0.2%
Wesfarmers Limited,WES,0.19%
Telenor ASA,TEL,0.19%
Manulife Financial Corporation,MFC,0.19%
Bayerische Motoren Werke AG,BMW,0.19%
DTE Energy Company,DTE,0.19%
TC Energy Corporation,TRP,0.19%
"Hang Seng Bank, Limited",11,0.18%
ABB Ltd.,ABBN,0.18%
"Iron Mountain, Inc.",IRM,0.18%
Canadian Natural Resources Limited,CNQ,0.18%
Baker Hughes Company Class A,BKR,0.18%
Oversea-Chinese Banking Corporation Limited,O39,0.18%
Swisscom AG,SCMN,0.18%
W. P. Carey Inc.,WPC,0.18%
M&T Bank Corporation,MTB,0.18%
EQUITY OTHER,Other,0.17%
United Overseas Bank Ltd. (Singapore),U11,0.17%
"Fubon Financial Holding Co., Ltd.",2881,0.17%
Kellogg Company,K,0.17%
Canon Inc.,7751,0.17%
"Mizuho Financial Group, Inc.",8411,0.17%
"Naturgy Energy Group, S.A.",NTGY,0.17%
"Boston Properties, Inc.",BXP,0.17%
Munich Reinsurance Company,MUV2,0.17%
Entergy Corporation,ETR,0.17%
Formosa Plastics Corporation,1301,0.17%
Endesa S.A.,ELE,0.17%
"Medical Properties Trust, Inc.",MPW,0.16%
Omnicom Group Inc,OMC,0.16%
Singapore Telecommunications Limited,Z74,0.16%
Danone SA,BN,0.16%
Koninklijke Ahold Delhaize N.V.,AD,0.16%
Synchrony Financial,SYF,0.16%
Northern Trust Corporation,NTRS,0.16%
POSCO,005490,0.16%
LafargeHolcim Ltd.,LHN,0.16%
"Mega Financial Holding Co., Ltd.",2886,0.15%
"Cardinal Health, Inc.",CAH,0.15%
Orange SA,ORA,0.15%
"NetApp, Inc.",NTAP,0.15%
Equity Commonwealth,EQC,0.15%
Agricultural Bank of China Limited Class H,1288,0.15%
Formosa Chemicals & Fibre Corporation,1326,0.15%
"Essex Property Trust, Inc.",ESS,0.15%
VICI Properties Inc,VICI,0.15%
U.S. Dollar,Other,0.14%
Bridgestone Corporation,5108,0.14%
CLP Holdings Limited,2,0.14%
Halliburton Company,HAL,0.14%
"Franklin Resources, Inc.",BEN,0.14%
"MS&AD Insurance Group Holdings, Inc.",8725,0.14%
Telstra Corporation Limited,TLS,0.14%
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI,0.14%
"OneMain Holdings, Inc.",OMF,0.14%
Apollo Global Management Inc. Class A,APO,0.14%
Taiwan Cement Corp.,1101,0.14%
TATNEFT PJSC Sponsored ADR,ATAD,0.13%
Country Garden Holdings Co. Ltd.,2007,0.13%
"Cathay Financial Holdings Co., Ltd.",2882,0.13%
Nucor Corporation,NUE,0.13%
Power Grid Corporation of India Limited,532898,0.13%
"Tokio Marine Holdings, Inc.",8766,0.13%
Hana Financial Group Inc.,086790,0.13%
Great-West Lifeco Inc.,GWO,0.13%
Fortum Oyj,FORTUM,0.13%
China Life Insurance Co. Ltd. Class H,2628,0.13%
Kimco Realty Corporation,KIM,0.13%
"Evergy, Inc.",EVRG,0.12%
Regency Centers Corporation,REG,0.12%
Macquarie Group Limited,MQG,0.12%
Henderson Land Development Co. Ltd.,12,0.12%
Power Assets Holdings Limited,6,0.12%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,0.12%
Quanta Computer Inc.,2382,0.12%
China Overseas Land & Investment Limited,688,0.12%
"Mid-America Apartment Communities, Inc.",MAA,0.12%
"UDR, Inc.",UDR,0.12%
Banco do Brasil S.A.,BBAS3,0.12%
Tesco PLC,TSCO,0.12%
TELUS Corporation,T,0.12%
"Interpublic Group of Companies, Inc.",IPG,0.12%
Nutrien Ltd.,NTR,0.12%
SSE plc,SSE,0.12%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,0.12%
Extra Space Storage Inc.,EXR,0.12%
"Avangrid, Inc.",AGR,0.11%
Asustek Computer Inc.,2357,0.11%
"SinoPac Financial Holdings Co., Ltd.",2890,0.11%
"CenterPoint Energy, Inc.",CNP,0.11%
"Fidelity National Financial, Inc. - FNF Group",FNF,0.11%
Newell Brands Inc,NWL,0.11%
BAE Systems plc,BA,0.11%
Red Electrica Corp. SA,REE,0.11%
PT Telkom Indonesia (Persero) Tbk Class B,TLKM,0.11%
"Chunghwa Telecom Co., Ltd",2412,0.11%
Genuine Parts Company,GPC,0.11%
Pegatron Corporation,4938,0.11%
Assicurazioni Generali S.p.A.,G,0.11%
Lenovo Group Limited,992,0.1%
STORE Capital Corporation,STOR,0.1%
Link Real Estate Investment Trust,823,0.1%
Eastman Chemical Company,EMN,0.1%
Royal KPN NV,KPN,0.1%
Lite-On Technology Corp.,2301,0.1%
Sun Life Financial Inc.,SLF,0.1%
Power Corporation of Canada,POW,0.1%
Sumitomo Corporation,8053,0.1%
