DFND: Reality Shares DIVCON Dividend Defender ETF
Inception Date: 2016-01-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	52588
Shares Outstanding: 1430000
Expense Ratio: 1.21%
Tracks This Index: Reality Shares DIVCON Dividend Defender Index
ETFdb.com Category: Foreign Small & Mid Cap Equities
Issuer: Reality Shares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DFND


Holding,Symbol,Weighting
U.S. Dollar,Other,21.27%
First American Funds Inc X Government Obligations Fund,FGXXX,20.06%
"Merck & Co., Inc.",MRK,2.74%
Nordson Corporation,NDSN,2.72%
"Zoetis, Inc. Class A",ZTS,2.29%
"West Pharmaceutical Services, Inc.",WST,2.14%
MarketAxess Holdings Inc.,MKTX,2.04%
"S&P Global, Inc.",SPGI,2.02%
Tractor Supply Company,TSCO,1.96%
Allstate Corporation,ALL,1.94%
"Domino\'s Pizza, Inc.",DPZ,1.91%
"Jack Henry & Associates, Inc.",JKHY,1.91%
UnitedHealth Group Incorporated,UNH,1.89%
Lam Research Corporation,LRCX,1.89%
Moody\'s Corporation,MCO,1.87%
Kroger Co.,KR,1.87%
Microsoft Corporation,MSFT,1.86%
"J.B. Hunt Transport Services, Inc.",JBHT,1.85%
Texas Instruments Incorporated,TXN,1.83%
Costco Wholesale Corporation,COST,1.81%
"D.R. Horton, Inc.",DHI,1.79%
Intel Corporation,INTC,1.78%
L3Harris Technologies Inc,LHX,1.78%
"Activision Blizzard, Inc.",ATVI,1.74%
"Home Depot, Inc.",HD,1.73%
NVIDIA Corporation,NVDA,1.72%
Booz Allen Hamilton Holding Corporation Class A,BAH,1.67%
Intuit Inc.,INTU,1.66%
"Best Buy Co., Inc.",BBY,1.66%
"Skyworks Solutions, Inc.",SWKS,1.65%
Amphenol Corporation Class A,APH,1.63%
KLA Corporation,KLAC,1.62%
Apple Inc.,AAPL,1.6%
HEICO Corporation Class A,HEI.A,1.59%
"McCormick & Company, Incorporated",MKC,1.56%
Fastenal Company,FAST,1.55%
T. Rowe Price Group,TROW,1.55%
Dollar General Corporation,DG,1.54%
"Brown & Brown, Inc.",BRO,1.52%
Procter & Gamble Company,PG,1.52%
FactSet Research Systems Inc.,FDS,1.51%
Cognex Corporation,CGNX,1.5%
"Teradyne, Inc.",TER,1.49%
MSCI Inc. Class A,MSCI,1.48%
"Church & Dwight Co., Inc.",CHD,1.47%
STERIS Plc,STE,1.47%
Clorox Company,CLX,1.45%
Cintas Corporation,CTAS,1.42%
Aflac Incorporated,AFL,1.42%
Sherwin-Williams Company,SHW,0.04%
SHORT POSITIONS,Other,-23.98%
