DGRO: iShares Core Dividend Growth ETF
Inception Date: 2014-06-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	14703000
Shares Outstanding: 328000000
Expense Ratio: 0.08%
Tracks This Index: Morningstar US Dividend Growth Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DGRO


Holding,Symbol,Weighting
Apple Inc.,AAPL,3.13%
Microsoft Corporation,MSFT,3.11%
JPMorgan Chase & Co.,JPM,2.97%
Johnson & Johnson,JNJ,2.9%
Verizon Communications Inc.,VZ,2.69%
Procter & Gamble Company,PG,2.63%
Pfizer Inc.,PFE,2.44%
"Home Depot, Inc.",HD,2.12%
"Cisco Systems, Inc.",CSCO,2.0%
"Merck & Co., Inc.",MRK,1.98%
Bank of America Corp,BAC,1.89%
"PepsiCo, Inc.",PEP,1.89%
Intel Corporation,INTC,1.83%
Broadcom Inc.,AVGO,1.8%
UnitedHealth Group Incorporated,UNH,1.59%
Citigroup Inc.,C,1.46%
Comcast Corporation Class A,CMCSA,1.41%
Bristol-Myers Squibb Company,BMY,1.35%
McDonald\'s Corporation,MCD,1.29%
Texas Instruments Incorporated,TXN,1.24%
Amgen Inc.,AMGN,1.23%
3M Company,MMM,1.11%
Medtronic Plc,MDT,1.06%
Walmart Inc.,WMT,0.96%
Qualcomm Inc,QCOM,0.94%
"NextEra Energy, Inc.",NEE,0.94%
Duke Energy Corporation,DUK,0.93%
"United Parcel Service, Inc. Class B",UPS,0.93%
Raytheon Technologies Corporation,RTX,0.93%
Union Pacific Corporation,UNP,0.87%
Abbott Laboratories,ABT,0.86%
Honeywell International Inc.,HON,0.86%
Eli Lilly and Company,LLY,0.82%
Lockheed Martin Corporation,LMT,0.82%
Truist Financial Corporation,TFC,0.8%
Accenture Plc Class A,ACN,0.78%
U.S. Bancorp,USB,0.77%
Visa Inc. Class A,V,0.74%
Caterpillar Inc.,CAT,0.74%
Starbucks Corporation,SBUX,0.73%
Morgan Stanley,MS,0.7%
Linde plc,LIN,0.7%
"BlackRock, Inc.",BLK,0.69%
"PNC Financial Services Group, Inc.",PNC,0.67%
Oracle Corporation,ORCL,0.66%
"Goldman Sachs Group, Inc.",GS,0.61%
"Lowe\'s Companies, Inc.",LOW,0.6%
"Mondelez International, Inc. Class A",MDLZ,0.6%
"Automatic Data Processing, Inc.",ADP,0.52%
Colgate-Palmolive Company,CL,0.5%
Exelon Corporation,EXC,0.5%
Mastercard Incorporated Class A,MA,0.49%
Kimberly-Clark Corporation,KMB,0.48%
"American Electric Power Company, Inc.",AEP,0.48%
Chubb Limited,CB,0.46%
"MetLife, Inc.",MET,0.46%
Target Corporation,TGT,0.45%
Illinois Tool Works Inc.,ITW,0.42%
Costco Wholesale Corporation,COST,0.41%
"NIKE, Inc. Class B",NKE,0.41%
CME Group Inc. Class A,CME,0.4%
"Air Products and Chemicals, Inc.",APD,0.39%
Emerson Electric Co.,EMR,0.39%
Eaton Corp. Plc,ETN,0.39%
Sempra Energy,SRE,0.39%
Charles Schwab Corporation,SCHW,0.37%
American Express Company,AXP,0.36%
Bank of New York Mellon Corporation,BK,0.34%
Public Service Enterprise Group Inc,PEG,0.33%
"Consolidated Edison, Inc.",ED,0.33%
General Dynamics Corporation,GD,0.32%
Edison International,EIX,0.32%
"Anthem, Inc.",ANTM,0.32%
"Analog Devices, Inc.",ADI,0.31%
"Becton, Dickinson and Company",BDX,0.31%
"Marsh & McLennan Companies, Inc.",MMC,0.31%
Xcel Energy Inc.,XEL,0.3%
Northrop Grumman Corporation,NOC,0.3%
"Travelers Companies, Inc.",TRV,0.29%
"Waste Management, Inc.",WM,0.28%
International Paper Company,IP,0.27%
Archer-Daniels-Midland Company,ADM,0.27%
"Fidelity National Information Services, Inc.",FIS,0.27%
T. Rowe Price Group,TROW,0.27%
Cummins Inc.,CMI,0.26%
