DGRW: WisdomTree U.S. Dividend Growth Fund
Inception Date: 2013-05-22
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	5141620
Shares Outstanding: 95300000
Expense Ratio: 0.28%
Tracks This Index: WisdomTree U.S. Dividend Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DGRW


Holding,Symbol,Weighting
Apple Inc.,AAPL,4.99%
Microsoft Corporation,MSFT,4.8%
Johnson & Johnson,JNJ,4.68%
Verizon Communications Inc.,VZ,4.62%
Procter & Gamble Company,PG,3.65%
Coca-Cola Company,KO,3.34%
Pfizer Inc.,PFE,3.23%
Altria Group Inc,MO,2.81%
"Merck & Co., Inc.",MRK,2.75%
"PepsiCo, Inc.",PEP,2.65%
"Cisco Systems, Inc.",CSCO,2.55%
Intel Corporation,INTC,2.24%
UnitedHealth Group Incorporated,UNH,2.1%
Comcast Corporation Class A,CMCSA,1.98%
Bristol-Myers Squibb Company,BMY,1.76%
Amgen Inc.,AMGN,1.59%
Texas Instruments Incorporated,TXN,1.58%
3M Company,MMM,1.55%
"United Parcel Service, Inc. Class B",UPS,1.33%
"NextEra Energy, Inc.",NEE,1.32%
Qualcomm Inc,QCOM,1.28%
Oracle Corporation,ORCL,1.28%
Eli Lilly and Company,LLY,1.27%
Union Pacific Corporation,UNP,1.23%
Honeywell International Inc.,HON,1.19%
Caterpillar Inc.,CAT,1.04%
Visa Inc. Class A,V,0.96%
"Lowe\'s Companies, Inc.",LOW,0.82%
Mastercard Incorporated Class A,MA,0.71%
"Automatic Data Processing, Inc.",ADP,0.68%
Illinois Tool Works Inc.,ITW,0.67%
Target Corporation,TGT,0.65%
"NIKE, Inc. Class B",NKE,0.65%
Costco Wholesale Corporation,COST,0.57%
CME Group Inc. Class A,CME,0.57%
General Dynamics Corporation,GD,0.57%
"General Mills, Inc.",GIS,0.56%
"Air Products and Chemicals, Inc.",APD,0.55%
Emerson Electric Co.,EMR,0.54%
Deere & Company,DE,0.46%
Northrop Grumman Corporation,NOC,0.46%
Norfolk Southern Corporation,NSC,0.45%
"Marsh & McLennan Companies, Inc.",MMC,0.44%
"Waste Management, Inc.",WM,0.43%
"Anthem, Inc.",ANTM,0.42%
Keurig Dr Pepper Inc.,KDP,0.41%
"Travelers Companies, Inc.",TRV,0.41%
"Analog Devices, Inc.",ADI,0.4%
Stryker Corporation,SYK,0.39%
Cummins Inc.,CMI,0.38%
"Paychex, Inc.",PAYX,0.38%
International Paper Company,IP,0.38%
T. Rowe Price Group,TROW,0.38%
CSX Corporation,CSX,0.37%
Kellogg Company,K,0.36%
"Fidelity National Information Services, Inc.",FIS,0.35%
"Intercontinental Exchange, Inc.",ICE,0.33%
L3Harris Technologies Inc,LHX,0.33%
"Applied Materials, Inc.",AMAT,0.33%
Allstate Corporation,ALL,0.32%
Lam Research Corporation,LRCX,0.3%
"S&P Global, Inc.",SPGI,0.29%
FedEx Corporation,FDX,0.28%
Fastenal Company,FAST,0.27%
Intuit Inc.,INTU,0.27%
Clorox Company,CLX,0.26%
"Conagra Brands, Inc.",CAG,0.25%
Weyerhaeuser Company,WY,0.25%
Estee Lauder Companies Inc. Class A,EL,0.25%
"Republic Services, Inc.",RSG,0.25%
Kroger Co.,KR,0.25%
"Constellation Brands, Inc. Class A",STZ,0.25%
"Best Buy Co., Inc.",BBY,0.25%
Hormel Foods Corporation,HRL,0.24%
KLA Corporation,KLAC,0.24%
Ecolab Inc.,ECL,0.24%
"PPG Industries, Inc.",PPG,0.24%
"Rockwell Automation, Inc.",ROK,0.24%
Sherwin-Williams Company,SHW,0.23%
