DIM: WisdomTree International MidCap Dividend
Inception Date: 2006-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	163031
Shares Outstanding: 2550000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree International MidCap Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DIM


Holding,Symbol,Weighting
Power Assets Holdings Limited,6,1.21%
OMV AG,OMV,1.19%
Actividades de Construccion y Servicios SA,ACS,1.03%
Lenovo Group Limited,992,0.98%
Admiral Group plc,ADM,0.93%
UnipolSai Assicurazioni S.p.A.,US,0.91%
Standard Life Aberdeen PLC,SLA,0.9%
Covivio SA,COV,0.79%
Red Electrica Corp. SA,REE,0.74%
Tele2 AB Class B,TEL2.B,0.73%
Royal KPN NV,KPN,0.7%
Solvay SA,SOLB,0.69%
Gjensidige Forsikring ASA,GJF,0.67%
Proximus SA de droit public,PROX,0.67%
Mediobanca S.p.A.,MB,0.65%
Adecco Group AG,ADEN,0.62%
"Bankia, S.A.",BKIA,0.62%
Telefonica Deutschland Holding AG,O2D,0.62%
Guangdong Investment Limited,270,0.62%
Banque Cantonale Vaudoise,BCVN,0.59%
Elisa Oyj Class A,ELISA,0.59%
Talanx AG,TLX,0.58%
Gecina SA,GFC,0.58%
Swiss Prime Site AG,SPSN,0.57%
Smurfit Kappa Group Plc,SK3,0.57%
CapitaLand Limited,C31,0.57%
LEG Immobilien AG,LEG,0.52%
Yara International ASA,YAR,0.52%
Sino Land Co. Ltd.,83,0.51%
Direct Line Insurance Group Plc,DLG,0.49%
Stockland,SGP,0.49%
Phoenix Group Holdings plc,PHNX,0.49%
Genting Singapore Limited,G13,0.48%
Lundin Energy AB,LUNE,0.48%
Publicis Groupe SA,PUB,0.48%
Berkeley Group Holdings plc,BKG,0.47%
Enagas SA,ENG,0.47%
Orkla ASA,ORK,0.46%
ASM International N.V.,ASM,0.46%
Baloise-Holding AG,BALN,0.45%
Dexus,DXS,0.45%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.45%
Schroders PLC,SDR,0.45%
Nitto Denko Corp.,6988,0.44%
AGL Energy Limited,AGL,0.44%
Italgas SpA,IG,0.43%
ASR Nederland NV,ASRNL,0.43%
APA Group,APA,0.42%
Brenntag AG,BNR,0.42%
United Utilities Group PLC,UU,0.41%
easyJet plc,EZJ,0.41%
Aurizon Holdings Ltd.,AZJ,0.41%
Suncorp Group Limited,SUN,0.41%
Hapag-Lloyd AG,HLAG,0.41%
Origin Energy Limited,ORG,0.4%
Hargreaves Lansdown plc,HL,0.4%
"JAPAN POST INSURANCE Co., Ltd.",7181,0.39%
Coca-Cola HBC AG,CCH,0.39%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC,0.39%
Singapore Exchange Ltd.,S68,0.39%
Sage Group plc,SGE,0.38%
Fosun International Limited,656,0.38%
Singapore Technologies Engineering Ltd,S63,0.38%
Bunzl plc,BNZL,0.37%
Castellum AB,CAST,0.37%
AusNet Services Limited,AST,0.37%
Toyota Tsusho Corp.,8015,0.37%
Marubeni Corporation,8002,0.37%
China Resources Power Holdings Co. Ltd.,836,0.36%
A2A S.p.A.,A2A,0.36%
Kesko Oyj Class B,KESKOB,0.36%
Bank Hapoalim BM,POLI,0.35%
QBE Insurance Group Limited,QBE,0.35%
"Resona Holdings, Inc.",8308,0.35%
Covestro AG,1COV,0.35%
Jardine Cycle & Carriage Limited,C07,0.35%
Mirvac Group,MGR,0.35%
Mondi plc,MNDI,0.35%
METRO AG,B4B,0.34%
Mineral Resources Limited,MIN,0.34%
INPEX CORPORATION,1605,0.34%
"Kansai Electric Power Company, Incorporated",9503,0.32%
China Jinmao Holdings Group Limited,817,0.32%
PCCW Limited,8,0.32%
Tate & Lyle PLC,TATE,0.31%
Severn Trent Plc,SVT,0.31%
"Idemitsu Kosan Co., Ltd.",5019,0.3%
Orion Oyj Class B,ORNBV,0.3%
Magellan Financial Group Ltd,MFG,0.3%
Rubis SCA,RUI,0.3%
"Daito Trust Construction Co., Ltd.",1878,0.3%
Telenet Group Holding NV,TNET,0.29%
ICA Gruppen AB,ICA,0.29%
VAT Group AG,VACN,0.29%
Medibank Private Ltd.,MPL,0.29%
Iliad,ILD,0.29%
Croda International Plc,CRDA,0.28%
Harvey Norman Holdings Ltd,HVN,0.28%
Pearson PLC,PSON,0.28%
U.S. Dollar,Other,0.27%
Cofinimmo SA,COFB,0.27%
"Chubu Electric Power Company,Incorporated",9502,0.27%
Mitsubishi Chemical Holdings Corporation,4188,0.27%
Tryg A/S,TRYG,0.27%
Boliden AB,BOL,0.27%
Otsuka Corporation,4768,0.27%
EQUITY OTHER,Other,0.26%
"Mitsubishi Heavy Industries, Ltd.",7011,0.26%
Royal Vopak NV,VPK,0.26%
Axfood AB,AXFO,0.26%
Imerys SA,NK,0.26%
Warehouses De Pauw SCA,WDP,0.26%
"Zardoya Otis, S.A.",ZOT,0.26%
ALD SA,ALD,0.26%
JB Hi-Fi Limited,JBH,0.26%
Trend Micro Incorporated,4704,0.26%
Valmet Corp,VALMT,0.26%
Alumina Limited,AWC,0.25%
Julius Baer Gruppe AG,BAER,0.25%
Bollore SA,BOL,0.25%
Edenred SA,EDEN,0.25%
Computershare Limited,CPU,0.25%
Keppel Corporation Limited,BN4,0.25%
"Osaka Gas Co., Ltd.",9532,0.25%
Pennon Group Plc,PNN,0.24%
China Everbright Environment Group Limited,257,0.24%
"T&D Holdings, Inc.",8795,0.24%
Seiko Epson Corp.,6724,0.24%
