DIVB: iShares U.S. Dividend and Buyback ETF
Inception Date: 2017-11-07
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	39740
Shares Outstanding: 1200000
Expense Ratio: 0.25%
Tracks This Index: Morningstar US Dividend and Buyback Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DIVB


Holding,Symbol,Weighting
Apple Inc.,AAPL,5.26%
Microsoft Corporation,MSFT,3.87%
JPMorgan Chase & Co.,JPM,3.03%
Bank of America Corp,BAC,2.41%
Wells Fargo & Company,WFC,2.28%
Intel Corporation,INTC,2.03%
Johnson & Johnson,JNJ,1.75%
Citigroup Inc.,C,1.74%
Oracle Corporation,ORCL,1.65%
AT&T Inc.,T,1.65%
"Cisco Systems, Inc.",CSCO,1.55%
Exxon Mobil Corporation,XOM,1.45%
Procter & Gamble Company,PG,1.45%
Pfizer Inc.,PFE,1.34%
"Home Depot, Inc.",HD,1.2%
"Merck & Co., Inc.",MRK,1.18%
Visa Inc. Class A,V,1.08%
Chevron Corporation,CVX,1.05%
Alphabet Inc. Class A,GOOGL,1.0%
"AbbVie, Inc.",ABBV,0.98%
Alphabet Inc. Class C,GOOG,0.98%
Amgen Inc.,AMGN,0.97%
Verizon Communications Inc.,VZ,0.97%
Broadcom Inc.,AVGO,0.91%
Berkshire Hathaway Inc. Class B,BRK.B,0.88%
Dell Technologies Inc Class C,DELL,0.82%
"PepsiCo, Inc.",PEP,0.81%
Starbucks Corporation,SBUX,0.8%
UnitedHealth Group Incorporated,UNH,0.78%
Bristol-Myers Squibb Company,BMY,0.78%
Union Pacific Corporation,UNP,0.76%
International Business Machines Corporation,IBM,0.76%
McDonald\'s Corporation,MCD,0.73%
Philip Morris International Inc.,PM,0.71%
Biogen Inc.,BIIB,0.67%
Texas Instruments Incorporated,TXN,0.67%
Mastercard Incorporated Class A,MA,0.65%
Altria Group Inc,MO,0.65%
"Goldman Sachs Group, Inc.",GS,0.64%
Honeywell International Inc.,HON,0.63%
Coca-Cola Company,KO,0.62%
Booking Holdings Inc.,BKNG,0.59%
"Facebook, Inc. Class A",FB,0.59%
Morgan Stanley,MS,0.58%
eBay Inc.,EBAY,0.57%
"Charter Communications, Inc. Class A",CHTR,0.55%
Caterpillar Inc.,CAT,0.55%
U.S. Bancorp,USB,0.55%
Walmart Inc.,WMT,0.54%
Eli Lilly and Company,LLY,0.51%
"Gilead Sciences, Inc.",GILD,0.5%
"PNC Financial Services Group, Inc.",PNC,0.5%
Johnson Controls International plc,JCI,0.49%
"Lowe\'s Companies, Inc.",LOW,0.48%
Linde plc,LIN,0.47%
Qualcomm Inc,QCOM,0.45%
3M Company,MMM,0.44%
Accenture Plc Class A,ACN,0.41%
Comcast Corporation Class A,CMCSA,0.41%
"BlackRock, Inc.",BLK,0.41%
ConocoPhillips,COP,0.41%
"NIKE, Inc. Class B",NKE,0.41%
Medtronic Plc,MDT,0.39%
Bank of New York Mellon Corporation,BK,0.37%
Lockheed Martin Corporation,LMT,0.36%
CSX Corporation,CSX,0.36%
American Express Company,AXP,0.36%
Raytheon Technologies Corporation,RTX,0.34%
HP Inc.,HPQ,0.34%
Boeing Company,BA,0.34%
"United Parcel Service, Inc. Class B",UPS,0.33%
Walgreens Boots Alliance Inc,WBA,0.33%
"Prudential Financial, Inc.",PRU,0.33%
Allstate Corporation,ALL,0.31%
"MetLife, Inc.",MET,0.31%
Abbott Laboratories,ABT,0.31%
LyondellBasell Industries NV,LYB,0.3%
"Mondelez International, Inc. Class A",MDLZ,0.3%
"DuPont de Nemours, Inc.",DD,0.29%
Eaton Corp. Plc,ETN,0.28%
Phillips 66,PSX,0.28%
Synchrony Financial,SYF,0.28%
Adobe Inc.,ADBE,0.27%
Valero Energy Corporation,VLO,0.27%
Marathon Petroleum Corporation,MPC,0.27%
"Anthem, Inc.",ANTM,0.27%
Truist Financial Corporation,TFC,0.26%
Target Corporation,TGT,0.26%
Norfolk Southern Corporation,NSC,0.26%
Colgate-Palmolive Company,CL,0.25%
Chubb Limited,CB,0.25%
"Automatic Data Processing, Inc.",ADP,0.25%
CVS Health Corporation,CVS,0.24%
Charles Schwab Corporation,SCHW,0.24%
"Simon Property Group, Inc.",SPG,0.24%
Illinois Tool Works Inc.,ITW,0.24%
Lam Research Corporation,LRCX,0.24%
"Dow, Inc.",DOW,0.23%
"Applied Materials, Inc.",AMAT,0.23%
Emerson Electric Co.,EMR,0.22%
"Intercontinental Exchange, Inc.",ICE,0.22%
Cognizant Technology Solutions Corporation Class A,CTSH,0.22%
"Ameriprise Financial, Inc.",AMP,0.22%
EQUITY OTHER,Other,0.21%
Duke Energy Corporation,DUK,0.21%
Kimberly-Clark Corporation,KMB,0.21%
Crown Castle International Corp,CCI,0.21%
"NetApp, Inc.",NTAP,0.21%
"NextEra Energy, Inc.",NEE,0.21%
"S&P Global, Inc.",SPGI,0.21%
Aflac Incorporated,AFL,0.21%
MUTUAL FUND (OTHER),Other,0.2%
American Tower Corporation,AMT,0.2%
Hewlett Packard Enterprise Co.,HPE,0.2%
"Travelers Companies, Inc.",TRV,0.2%
State Street Corporation,STT,0.2%
Discover Financial Services,DFS,0.2%
Aon Plc Class A,AON,0.2%
Blackstone Group Inc. Class A,BX,0.2%
T. Rowe Price Group,TROW,0.2%
Thermo Fisher Scientific Inc.,TMO,0.19%
Northrop Grumman Corporation,NOC,0.19%
Cigna Corporation,CI,0.19%
TJX Companies Inc,TJX,0.19%
Kinder Morgan Inc Class P,KMI,0.19%
Schlumberger NV,SLB,0.18%
Cummins Inc.,CMI,0.18%
"Delta Air Lines, Inc.",DAL,0.18%
Deere & Company,DE,0.18%
Fifth Third Bancorp,FITB,0.18%
Walt Disney Company,DIS,0.18%
Baxter International Inc.,BAX,0.18%
"Prologis, Inc.",PLD,0.17%
Dollar General Corporation,DG,0.17%
General Dynamics Corporation,GD,0.17%
"Williams Companies, Inc.",WMB,0.17%
PayPal Holdings Inc,PYPL,0.17%
Sysco Corporation,SYY,0.17%
"Altice USA, Inc. Class A",ATUS,0.17%
McKesson Corporation,MCK,0.16%
"American International Group, Inc.",AIG,0.16%
Waters Corporation,WAT,0.16%
M&T Bank Corporation,MTB,0.16%
"Evergy, Inc.",EVRG,0.15%
Devon Energy Corporation,DVN,0.15%
Sherwin-Williams Company,SHW,0.15%
Estee Lauder Companies Inc. Class A,EL,0.15%
Capital One Financial Corporation,COF,0.15%
Exelon Corporation,EXC,0.15%
Comerica Incorporated,CMA,0.15%
"Citizens Financial Group, Inc.",CFG,0.15%
Costco Wholesale Corporation,COST,0.14%
KLA Corporation,KLAC,0.14%
"Analog Devices, Inc.",ADI,0.14%
"AutoZone, Inc.",AZO,0.14%
"Marriott International, Inc. Class A",MAR,0.14%
Cerner Corporation,CERN,0.14%
"O\'Reilly Automotive, Inc.",ORLY,0.14%
"NRG Energy, Inc.",NRG,0.14%
TE Connectivity Ltd.,TEL,0.14%
Northern Trust Corporation,NTRS,0.14%
Public Storage,PSA,0.13%
"American Electric Power Company, Inc.",AEP,0.13%
Regions Financial Corporation,RF,0.13%
"Ross Stores, Inc.",ROST,0.13%
Corning Inc,GLW,0.13%
