DLS: WisdomTree International SmallCap Dividend
Inception Date: 2006-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1384130
Shares Outstanding: 20250000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree International SmallCap Dividend Index
ETFdb.com Category: Foreign Small & Mid Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DLS


Holding,Symbol,Weighting
Ferrexpo plc,FXPO,1.18%
Euronav NV,EURN,1.05%
Neles Oyj,NELES,1.03%
Nexity SA Class A,NXI,0.95%
ENAV S.p.A.,ENAV,0.74%
China Power International Development Ltd,2380,0.71%
Societe BIC SA,BB,0.71%
"CIE Automotive, S.A.",CIE,0.7%
TP ICAP plc,TCAP,0.69%
TGS-NOPEC Geophysical Company ASA,TGS,0.68%
Scandinavian Tobacco Group A/S,STG,0.68%
Osterreichische Post AG,POST,0.65%
Cromwell Property Group,CMW,0.64%
Platinum Asset Management Ltd,PTM,0.62%
Hutchison Port Holdings Trust,NS8U,0.62%
Compania de Distribucion Integral Logista Holdings S.A.,LOG,0.62%
Jupiter Fund Management plc,JUP,0.57%
Growthpoint Properties Australia,GOZ,0.56%
Keppel Infrastructure Trust,A7RU,0.56%
Yanlord Land Group Limited,Z25,0.51%
TKH Group N.V. Cert,TWEKA,0.5%
ANIMA Holding S.p.A.,ANIM,0.5%
Drax Group plc,DRX,0.5%
Workspace Group PLC,WKP,0.49%
Sonae SGPS SA,SON,0.48%
Ahlstrom-Munksjo Oyj,AM1,0.48%
Close Brothers Group plc,CBG,0.47%
China Overseas Grand Oceans Group Limited,81,0.47%
CMC Markets Plc,CMCX,0.46%
Diversified Gas & Oil PLC,DGOC,0.45%
Orora Ltd.,ORA,0.44%
Metcash Limited,MTS,0.44%
Nine Entertainment Co. Holdings Limited,NEC,0.43%
ALTRI SGPS SA,ALTR,0.43%
Telecom Plus PLC,TEP,0.42%
Cargotec Oyj Class B,CGCBV,0.42%
UNIQA Insurance Group AG,UQA,0.41%
Kemira Oyj,KEMIRA,0.41%
Electra Consumer Products Ltd.,ECP,0.4%
DIC Asset AG,DIC,0.4%
Pendal Group Limited,PDL,0.4%
Durr AG,DUE,0.4%
Atrium Ljungberg AB Class B,ATRLJ.B,0.4%
SpareBank 1 SMN,MING,0.39%
Moneysupermarket.com Group plc,MONY,0.39%
Shanghai Industrial Holdings Limited,363,0.39%
Manulife US REIT,BTOU,0.38%
Valiant Holding AG,VATN,0.38%
Brewin Dolphin Holdings PLC,BRW,0.37%
Rai Way SpA,RWAY,0.37%
Sheng Siong Group Ltd.,OV8,0.36%
Ultra Electronics Holdings plc,ULE,0.36%
Uponor Oyj Class A,UPONOR,0.35%
StarHub Ltd,CC3,0.35%
Austevoll Seafood ASA,AUSS,0.34%
Guotai Junan International Holdings Limited,1788,0.34%
Hamburger Hafen und Logistik AG,HHFA,0.34%
YIT Oyj,YIT,0.34%
Safestore Holdings plc,SAFE,0.33%
Kardex Holding AG,KARN,0.33%
Poly Property Group Co. Ltd.,119,0.33%
Redes Energeticas Nacionais SA,RENE,0.33%
IGO Limited,IGO,0.32%
Brickworks Ltd,BKW,0.32%
Perpetual Limited,PPT,0.32%
Premier Investments Limited,PMV,0.32%
John Laing Group Plc,JLG,0.32%
Prosegur Cash SA,CASH,0.32%
Genertec Universal Medical Group Company Limited,2666,0.31%
Big Yellow Group PLC,BYG,0.31%
Steadfast Group Limited,SDF,0.31%
Van Lanschot Kempen NV cert. of shs,VLK,0.3%
TORM PLC Class A,TRMD.A,0.3%
PayPoint plc,PAY,0.3%
Euskaltel SA,EKT,0.3%
IRESS Limited,IRE,0.3%
Oil Refineries Ltd.,ORL,0.29%
NIB Holdings Ltd,NHF,0.29%
Piaggio & C. S.p.a.,PIA,0.29%
Derichebourg SA,DBG,0.28%
"Faes Farma, S.A.",FAE,0.28%
Ringkjoebing Landbobank A/S,RILBA,0.28%
Europris ASA,EPR,0.27%
Polar Capital Holdings Plc,POLR,0.27%
Elkem ASA,ELK,0.27%
ChemoMetec A/S,CHEMM,0.26%
HUBER+SUHNER AG,HUBN,0.26%
Bodycote plc,BOY,0.26%
Tikkurila Oyj,TIK1V,0.26%
Dah Sing Financial Holdings Limited,440,0.26%
Fjordkraft Holding ASA,FKRFT,0.26%
OPC Energy Ltd.,OPCE,0.26%
Barco NV,BAR,0.25%
Viva Energy Group Ltd.,VEA,0.25%
ADBRI Limited,ABC,0.25%
JM AB,JM,0.25%
Kungsleden AB,KLED,0.25%
Shougang Fushan Resources Group Limited,639,0.25%
SpareBank 1 Nord-Norge,NONG,0.25%
Sanoma Oyj,SAA1V,0.25%
Orange Belgium SA,OBEL,0.25%
Hamborner REIT AG,HAB,0.24%
mobilezone holding AG,MOZN,0.24%
GRENKE AG,GLJ,0.24%
Accent Group Ltd,AX1,0.23%
Albioma,ABIO,0.23%
EFG International AG,EFGN,0.23%
Great Portland Estates plc,GPOR,0.23%
FIBI Holdings Ltd.,FIBIH,0.23%
Almirall SA,ALM,0.23%
CLS Holdings plc,CLI,0.23%
Regis Resources Limited,RRL,0.23%
Daily Mail & General Trust plc Class A,DMGT,0.23%
PZ Cussons Plc,PZC,0.22%
CropEnergies AG,CE2,0.22%
Beach Energy Limited,BPT,0.22%
Sabre Insurance Group Plc,SBRE,0.21%
Immobiliare Grande Distribuzione SIIQ S.p.A.,IGD,0.21%
Atea ASA,ATEA,0.21%
Catena AB,CATE,0.21%
Ashtrom Group Ltd.,ASHG,0.21%
Cranswick plc,CWK,0.21%
EMIS Group plc,EMIS,0.2%
Dicker Data Limited,DDR,0.2%
