DMRM: DeltaShares S&P 400 Managed Risk ETF
Inception Date: 2017-07-31
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	92925
Shares Outstanding: 1750000
Expense Ratio: 0.45%
Tracks This Index: S&P 400 Managed Risk 2.0 Index
ETFdb.com Category: Mid Cap Blend Equities
Issuer: Transamerica Asset Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DMRM


Holding,Symbol,Weighting
TREASURY ISSUES (LONG-TERM),Other,32.39%
U.S. Dollar,Other,0.86%
"Enphase Energy, Inc.",ENPH,0.72%
Trimble Inc.,TRMB,0.54%
"SolarEdge Technologies, Inc.",SEDG,0.53%
Caesars Entertainment Inc,CZR,0.5%
"Monolithic Power Systems, Inc.",MPWR,0.5%
Fair Isaac Corporation,FICO,0.48%
Cognex Corporation,CGNX,0.46%
Generac Holdings Inc.,GNRC,0.46%
"Ceridian HCM Holding, Inc.",CDAY,0.45%
Masimo Corporation,MASI,0.44%
PTC Inc.,PTC,0.41%
"Penn National Gaming, Inc.",PENN,0.41%
FactSet Research Systems Inc.,FDS,0.41%
"Molina Healthcare, Inc.",MOH,0.41%
"Charles River Laboratories International, Inc.",CRL,0.4%
Bio-Techne Corporation,TECH,0.4%
Graco Inc.,GGG,0.39%
"Cable One, Inc.",CABO,0.39%
"Medical Properties Trust, Inc.",MPW,0.38%
RPM International Inc.,RPM,0.38%
"Cree, Inc.",CREE,0.38%
"Brown & Brown, Inc.",BRO,0.36%
Nordson Corporation,NDSN,0.35%
Sunrun Inc.,RUN,0.35%
"XPO Logistics, Inc.",XPO,0.35%
"Essential Utilities, Inc.",WTRG,0.34%
Toro Company,TTC,0.33%
"Trex Company, Inc.",TREX,0.32%
Camden Property Trust,CPT,0.32%
"Five Below, Inc.",FIVE,0.32%
Universal Display Corporation,OLED,0.32%
Lennox International Inc.,LII,0.31%
Repligen Corporation,RGEN,0.31%
"Amedisys, Inc.",AMED,0.31%
Jazz Pharmaceuticals Plc,JAZZ,0.3%
"Boston Beer Company, Inc. Class A",SAM,0.3%
Darling Ingredients Inc.,DAR,0.3%
"Aptargroup, Inc.",ATR,0.29%
"CyrusOne, Inc.",CONE,0.29%
WEX Inc.,WEX,0.29%
"IAA, Inc.",IAA,0.28%
Service Corporation International,SCI,0.28%
Hubbell Incorporated Class B,HUBB,0.28%
Lear Corporation,LEA,0.28%
Alleghany Corporation,Y,0.28%
Chemed Corporation,CHE,0.28%
"Omega Healthcare Investors, Inc.",OHI,0.27%
"First Solar, Inc.",FSLR,0.27%
Encompass Health Corporation,EHC,0.27%
RenaissanceRe Holdings Ltd.,RNR,0.27%
Gentex Corporation,GNTX,0.27%
Owens Corning,OC,0.27%
"MKS Instruments, Inc.",MKSI,0.27%
Carlisle Companies Incorporated,CSL,0.27%
Ciena Corporation,CIEN,0.27%
"PRA Health Sciences, Inc.",PRAH,0.26%
II-VI Incorporated,IIVI,0.26%
STORE Capital Corporation,STOR,0.26%
Scotts Miracle-Gro Company Class A,SMG,0.26%
"Reinsurance Group of America, Incorporated",RGA,0.26%
Deckers Outdoor Corporation,DECK,0.26%
"Arrowhead Pharmaceuticals, Inc.",ARWR,0.26%
"Williams-Sonoma, Inc.",WSM,0.25%
Paylocity Holding Corp.,PCTY,0.25%
Eaton Vance Corp.,EV,0.25%
"Lithia Motors, Inc. Class A",LAD,0.25%
Jones Lang LaSalle Incorporated,JLL,0.25%
Axon Enterprise Inc,AAXN,0.25%
Reliance Steel & Aluminum Co.,RS,0.25%
New York Times Company Class A,NYT,0.24%
"Watsco, Inc.",WSO,0.24%
"Steel Dynamics, Inc.",STLD,0.24%
UGI Corporation,UGI,0.24%
Signature Bank,SBNY,0.24%
"Arrow Electronics, Inc.",ARW,0.24%
AECOM,ACM,0.24%
RH,RH,0.23%
"Lumentum Holdings, Inc.",LITE,0.23%
"Woodward, Inc.",WWD,0.23%
Middleby Corporation,MIDD,0.23%
Lamar Advertising Company Class A,LAMR,0.23%
"Royal Gold, Inc.",RGLD,0.23%
"Donaldson Company, Inc.",DCI,0.23%
First Horizon Corporation,FHN,0.23%
"National Retail Properties, Inc.",NNN,0.23%
"Commerce Bancshares, Inc.",CBSH,0.23%
"East West Bancorp, Inc.",EWBC,0.23%
Quidel Corporation,QDEL,0.22%
"Grubhub, Inc.",GRUB,0.22%
"Lincoln Electric Holdings, Inc.",LECO,0.22%
"ITT, Inc.",ITT,0.22%
SEI Investments Company,SEIC,0.22%
"Manhattan Associates, Inc.",MANH,0.22%
United Therapeutics Corporation,UTHR,0.22%
"LHC Group, Inc.",LHCG,0.22%
Churchill Downs Incorporated,CHDN,0.22%
OGE Energy Corp.,OGE,0.21%
Kohl\'s Corporation,KSS,0.21%
"Stericycle, Inc.",SRCL,0.21%
"Hill-Rom Holdings, Inc.",HRC,0.21%
"Rexford Industrial Realty, Inc.",REXR,0.21%
"Casey\'s General Stores, Inc.",CASY,0.21%
AGCO Corporation,AGCO,0.21%
"Prosperity Bancshares, Inc.(R)",PB,0.21%
Kilroy Realty Corporation,KRC,0.2%
"Post Holdings, Inc.",POST,0.2%
TopBuild Corp.,BLD,0.2%
"CoreLogic, Inc.",CLGX,0.2%
"Mattel, Inc.",MAT,0.2%
"American Financial Group, Inc.",AFG,0.2%
"CDK Global, Inc.",CDK,0.2%
"Littelfuse, Inc.",LFUS,0.2%
"Exelixis, Inc.",EXEL,0.2%
"Tetra Tech, Inc.",TTEK,0.2%
CACI International Inc Class A,CACI,0.2%
Haemonetics Corporation,HAE,0.2%
"Life Storage, Inc.",LSI,0.19%
Sonoco Products Company,SON,0.19%
Oshkosh Corp,OSK,0.19%
Jabil Inc.,JBL,0.19%
First American Financial Corporation,FAF,0.19%
National Instruments Corporation,NATI,0.19%
"American Campus Communities, Inc.",ACC,0.19%
Brunswick Corporation,BC,0.19%
"Penumbra, Inc.",PEN,0.19%
Apartment Income REIT Corp,AIRC,0.19%
Marriott Vacations Worldwide Corporation,VAC,0.18%
Helen of Troy Limited,HELE,0.18%
"First Industrial Realty Trust, Inc.",FR,0.18%
TCF Financial Corporation,TCF,0.18%
"Wyndham Hotels & Resorts, Inc.",WH,0.18%
Silicon Laboratories Inc.,SLAB,0.18%
"EastGroup Properties, Inc.",EGP,0.18%
"Harley-Davidson, Inc.",HOG,0.18%
Polaris Inc.,PII,0.18%
Old Republic International Corporation,ORI,0.18%
"Halozyme Therapeutics, Inc.",HALO,0.18%
"MSA Safety, Inc.",MSA,0.18%
Science Applications International Corp.,SAIC,0.18%
CoreSite Realty Corporation,COR,0.17%
ManpowerGroup Inc.,MAN,0.17%
Ingredion Incorporated,INGR,0.17%
Timken Company,TKR,0.17%
HealthEquity Inc,HQY,0.17%
"Syneos Health, Inc. Class A",SYNH,0.17%
"BJ\'s Wholesale Club Holdings, Inc.",BJ,0.17%
