DMXF: iShares ESG Advanced MSCI EAFE ETF
Inception Date: 2020-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	63132
Shares Outstanding: 1000000
Expense Ratio: 0.12%
Tracks This Index: MSCI EAFE Choice ESG Screened Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DMXF


Holding,Symbol,Weighting
ASML Holding NV,ASML,2.39%
Toyota Motor Corp.,7203,1.83%
EQUITY OTHER,Other,1.75%
AIA Group Limited,1299,1.71%
Sony Corporation,6758,1.42%
Novo Nordisk A/S Class B,NOVO.B,1.38%
SoftBank Group Corp.,9984,1.36%
Allianz SE,ALV,1.18%
Keyence Corporation,6861,1.16%
CSL Limited,CSL,1.15%
L\'Oreal SA,OR,1.1%
"Nintendo Co., Ltd.",7974,1.01%
Air Liquide SA,AI,0.91%
Schneider Electric SE,SU,0.91%
Shin-Etsu Chemical Co Ltd,4063,0.83%
adidas AG,ADS,0.8%
Zurich Insurance Group Ltd,ZURN,0.74%
Deutsche Telekom AG,DTE,0.71%
Hong Kong Exchanges & Clearing Ltd.,388,0.7%
"DAIKIN INDUSTRIES, LTD.",6367,0.7%
HOYA CORPORATION,7741,0.66%
"Daiichi Sankyo Company, Limited",4568,0.65%
"Recruit Holdings Co., Ltd.",6098,0.64%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.63%
Prosus N.V. Class N,PRX,0.61%
Nidec Corporation,6594,0.6%
ABB Ltd.,ABBN,0.6%
Tokyo Electron Ltd.,8035,0.59%
Infineon Technologies AG,IFX,0.59%
"Murata Manufacturing Co., Ltd.",6981,0.57%
Deutsche Post AG,DPW,0.57%
"FAST RETAILING CO., LTD.",9983,0.57%
KDDI Corporation,9433,0.56%
Prudential plc,PRU,0.56%
Lonza Group AG,LONN,0.55%
RELX PLC,REL,0.55%
Vestas Wind Systems A/S,VWS,0.54%
AXA SA,CS,0.54%
Fanuc Corporation,6954,0.51%
EssilorLuxottica SA,EL,0.51%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.49%
Kao Corp.,4452,0.49%
Munich Reinsurance Company,MUV2,0.48%
Danone SA,BN,0.48%
Givaudan SA,GIVN,0.47%
Sika AG,SIKA,0.45%
London Stock Exchange Group plc,LSE,0.45%
Vonovia SE,VNA,0.44%
SoftBank Corp.,9434,0.42%
"Chugai Pharmaceutical Co., Ltd.",4519,0.42%
ING Groep NV,INGA,0.42%
"Tokio Marine Holdings, Inc.",8766,0.41%
"Industria de Diseno Textil, S.A.",ITX,0.41%
Lloyds Banking Group plc,LLOY,0.41%
Atlas Copco AB Class A,ATCO.A,0.4%
DSV Panalpina A/S,DSV,0.4%
DBS Group Holdings Ltd,D05,0.39%
Hermes International SCA,RMS,0.39%
Investor AB Class B,INVE.B,0.39%
Volvo AB Class B,VOLV.B,0.39%
Amadeus IT Group SA Class A,AMS,0.38%
CRH Plc,CRG,0.38%
Compass Group PLC,CPG,0.38%
Deutsche Boerse AG,DB1,0.38%
"Alcon, Inc.",ALC,0.38%
Nippon Telegraph and Telephone Corporation,9432,0.37%
