DPST: Direxion Daily Regional Banks Bull 3X Shares
Inception Date: 2015-08-19
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	166673
Shares Outstanding: 1389000
Expense Ratio: 1.0%
Tracks This Index: Solactive US Regional Banks Total Return Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DPST


Holding,Symbol,Weighting
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,22.75%
U.S. Dollar,Other,11.87%
First Republic Bank,FRC,2.62%
SVB Financial Group,SIVB,2.55%
"PNC Financial Services Group, Inc.",PNC,2.39%
KeyCorp,KEY,2.37%
Regions Financial Corporation,RF,2.36%
M&T Bank Corporation,MTB,2.32%
Truist Financial Corporation,TFC,2.31%
"Citizens Financial Group, Inc.",CFG,2.31%
Fifth Third Bancorp,FITB,2.29%
Huntington Bancshares Incorporated,HBAN,2.24%
Comerica Incorporated,CMA,2.18%
"Zions Bancorporation, N.A.",ZION,1.83%
First Horizon Corporation,FHN,1.77%
Signature Bank,SBNY,1.64%
"People\'s United Financial, Inc.",PBCT,1.36%
Sterling Bancorp,STL,1.31%
CIT Group Inc.,CIT,1.06%
"East West Bancorp, Inc.",EWBC,1.0%
Synovus Financial Corp.,SNV,0.86%
Dreyfus Government Cash Management Funds Institutional,DGCXX,0.81%
Western Alliance Bancorp,WAL,0.77%
"Cullen/Frost Bankers, Inc.",CFR,0.77%
"Prosperity Bancshares, Inc.(R)",PB,0.74%
PacWest Bancorp,PACW,0.71%
"Commerce Bancshares, Inc.",CBSH,0.69%
Umpqua Holdings Corporation,UMPQ,0.67%
TCF Financial Corporation,TCF,0.67%
"Popular, Inc.",BPOP,0.66%
"Pinnacle Financial Partners, Inc.",PNFP,0.65%
"First Hawaiian, Inc.",FHB,0.62%
Bank OZK,OZK,0.62%
Associated Banc-Corp,ASB,0.62%
F.N.B. Corporation,FNB,0.6%
"BankUnited, Inc.",BKU,0.59%
South State Corporation,SSB,0.54%
Wintrust Financial Corporation,WTFC,0.53%
"Texas Capital Bancshares, Inc.",TCBI,0.53%
Bank of Hawaii Corporation,BOH,0.52%
Webster Financial Corporation,WBS,0.49%
Cadence Bancorporation Class A,CADE,0.46%
"United Bankshares, Inc.",UBSI,0.45%
Valley National Bancorp,VLY,0.43%
"First Citizens BancShares, Inc. Class A",FCNCA,0.4%
"Glacier Bancorp, Inc.",GBCI,0.38%
BOK Financial Corporation,BOKF,0.37%
Investors Bancorp Inc,ISBC,0.36%
"Community Bank System, Inc.",CBU,0.36%
Hilltop Holdings Inc.,HTH,0.35%
First Financial Bankshares Inc,FFIN,0.34%
"Independent Bank Group, Inc.",IBTX,0.33%
Hancock Whitney Corporation,HWC,0.33%
"Live Oak Bancshares, Inc.",LOB,0.32%
Renasant Corporation,RNST,0.32%
"Pacific Premier Bancorp, Inc.",PPBI,0.32%
"Home BancShares, Inc.",HOMB,0.31%
UMB Financial Corporation,UMBF,0.31%
"United Community Banks, Inc.",UCBI,0.31%
Fulton Financial Corporation,FULT,0.3%
Old National Bancorp,ONB,0.28%
First Bancorp,FBP,0.28%
Ameris Bancorp,ABCB,0.28%
Cathay General Bancorp,CATY,0.27%
BancorpSouth Bank,BXS,0.26%
Independent Bank Corp.,INDB,0.26%
"Columbia Banking System, Inc.",COLB,0.25%
"First Interstate BancSystem, Inc. Class A",FIBK,0.25%
Simmons First National Corporation Class A,SFNC,0.24%
"First Midwest Bancorp, Inc.",FMBI,0.22%
Silvergate Capital Corp. Class A,SI,0.22%
CVB Financial Corp.,CVBF,0.21%
"Hope Bancorp, Inc.",HOPE,0.21%
"Triumph Bancorp, Inc.",TBK,0.19%
Atlantic Union Bankshares Corporation,AUB,0.19%
Banner Corporation,BANR,0.18%
Westamerica Bancorporation,WABC,0.18%
First Financial Bancorp.,FFBC,0.18%
First Merchants Corporation,FRME,0.17%
Park National Corporation,PRK,0.17%
ServisFirst Bancshares Inc,SFBS,0.16%
"Veritex Holdings, Inc.",VBTX,0.16%
International Bancshares Corporation,IBOC,0.16%
"Berkshire Hills Bancorp, Inc.",BHLB,0.16%
"WesBanco, Inc.",WSBC,0.15%
First Commonwealth Financial Corporation,FCF,0.15%
Trustmark Corporation,TRMK,0.15%
"Boston Private Financial Holdings, Inc.",BPFH,0.14%
Lakeland Financial Corporation,LKFN,0.14%
"Great Western Bancorp, Inc.",GWB,0.14%
Seacoast Banking Corporation of Florida,SBCF,0.14%
FB Financial Corporation,FBK,0.13%
"Eagle Bancorp, Inc.",EGBN,0.12%
"Sandy Spring Bancorp, Inc.",SASR,0.12%
"Brookline Bancorp, Inc.",BRKL,0.11%
NBT Bancorp Inc.,NBTB,0.11%
"Heartland Financial USA, Inc.",HTLF,0.11%
First Bancorp,FBNC,0.1%
National Bank Holdings Corporation Class A,NBHC,0.1%
OceanFirst Financial Corp.,OCFC,0.1%
"S&T Bancorp, Inc.",STBA,0.1%
BancFirst Corporation,BANF,0.1%
City Holding Company,CHCO,0.1%
Enterprise Financial Services Corp,EFSC,0.09%
Heritage Financial Corporation,HFWA,0.08%
