DTH: WisdomTree DEFA Equity Income Fund
Inception Date: 2006-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	166387
Shares Outstanding: 4450000
Expense Ratio: 0.58%
Tracks This Index: WisdomTree DEFA Equity Income Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DTH


Holding,Symbol,Weighting
Novartis AG,NOVN,4.43%
Fortescue Metals Group Ltd,FMG,2.77%
GlaxoSmithKline plc,GSK,2.72%
British American Tobacco p.l.c.,BATS,2.34%
China Mobile Limited,941,2.33%
Sanofi,SAN,2.22%
Rio Tinto plc,RIO,1.98%
Allianz SE,ALV,1.92%
SoftBank Corp.,9434,1.89%
Iberdrola SA,IBE,1.57%
BASF SE,BAS,1.55%
Commonwealth Bank of Australia,CBA,1.51%
Enel SpA,ENEL,1.45%
BHP Group Ltd,BHP,1.44%
Siemens AG,SIE,1.38%
KDDI Corporation,9433,1.35%
Nippon Telegraph and Telephone Corporation,9432,1.33%
Deutsche Telekom AG,DTE,1.28%
Zurich Insurance Group Ltd,ZURN,1.26%
Bayer AG,BAYN,1.22%
Equinor ASA,EQNR,1.16%
Vodafone Group Plc,VOD,1.15%
"Mitsubishi UFJ Financial Group, Inc.",8306,1.06%
BHP Group Plc,BHP,1.04%
Japan Tobacco Inc.,2914,0.95%
National Australia Bank Limited,NAB,0.94%
AXA SA,CS,0.92%
Rio Tinto Limited,RIO,0.91%
Takeda Pharmaceutical Co. Ltd.,4502,0.9%
Australia and New Zealand Banking Group Limited,ANZ,0.87%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.84%
DBS Group Holdings Ltd,D05,0.82%
National Grid plc,NG,0.7%
E.ON SE,EOAN,0.69%
Bayerische Motoren Werke AG,BMW,0.68%
BOC Hong Kong (Holdings) Limited,2388,0.67%
Mitsubishi Corporation,8058,0.67%
Wesfarmers Limited,WES,0.66%
Itochu Corporation,8001,0.66%
Munich Reinsurance Company,MUV2,0.64%
ABB Ltd.,ABBN,0.61%
Danone SA,BN,0.6%
Swisscom AG,SCMN,0.59%
"Naturgy Energy Group, S.A.",NTGY,0.58%
Sun Hung Kai Properties Limited,16,0.58%
"Hang Seng Bank, Limited",11,0.57%
Endesa S.A.,ELE,0.57%
"Mizuho Financial Group, Inc.",8411,0.56%
Koninklijke Ahold Delhaize N.V.,AD,0.56%
Oversea-Chinese Banking Corporation Limited,O39,0.55%
UBS Group AG,UBSG,0.52%
Canon Inc.,7751,0.52%
Orange SA,ORA,0.5%
Telstra Corporation Limited,TLS,0.49%
LafargeHolcim Ltd.,LHN,0.49%
United Overseas Bank Ltd. (Singapore),U11,0.47%
Singapore Telecommunications Limited,Z74,0.46%
CLP Holdings Limited,2,0.45%
"Tokio Marine Holdings, Inc.",8766,0.45%
Fortum Oyj,FORTUM,0.45%
"MS&AD Insurance Group Holdings, Inc.",8725,0.44%
Telenor ASA,TEL,0.43%
BAE Systems plc,BA,0.41%
Henderson Land Development Co. Ltd.,12,0.4%
Tesco PLC,TSCO,0.4%
SSE plc,SSE,0.4%
China Overseas Land & Investment Limited,688,0.39%
Macquarie Group Limited,MQG,0.38%
Power Assets Holdings Limited,6,0.36%
Assicurazioni Generali S.p.A.,G,0.36%
OMV AG,OMV,0.35%
Snam S.p.A.,SRG,0.34%
UPM-Kymmene Oyj,UPM,0.34%
