DVLU: First Trust Dorsey Wright Momentum & Value ETF
Inception Date: 2018-09-05
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	16168
Shares Outstanding: 900000
Expense Ratio: 0.6%
Tracks This Index: Dorsey Wright Momentum Plus Value Index
ETFdb.com Category: All Cap Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DVLU


Holding,Symbol,Weighting
General Motors Company,GM,3.56%
ViacomCBS Inc. Class B,VIAC,3.46%
HCA Healthcare Inc,HCA,3.45%
"Nexstar Media Group, Inc. Class A",NXST,3.28%
Ally Financial Inc,ALLY,3.28%
Regions Financial Corporation,RF,3.04%
Synchrony Financial,SYF,3.04%
"L Brands, Inc.",LB,3.03%
"AutoNation, Inc.",AN,3.02%
US Foods Holding Corp.,USFD,2.98%
LKQ Corporation,LKQ,2.96%
"Starwood Property Trust, Inc.",STWD,2.86%
"Quanta Services, Inc.",PWR,2.84%
"United Rentals, Inc.",URI,2.83%
LyondellBasell Industries NV,LYB,2.73%
AES Corporation,AES,2.5%
Owens Corning,OC,2.34%
Lennar Corporation Class A,LEN,2.31%
Discover Financial Services,DFS,2.28%
"Toll Brothers, Inc.",TOL,2.24%
"PulteGroup, Inc.",PHM,2.18%
"Primerica, Inc.",PRI,2.1%
Snap-on Incorporated,SNA,2.04%
"Lithia Motors, Inc. Class A",LAD,2.04%
Scotts Miracle-Gro Company Class A,SMG,1.98%
"D.R. Horton, Inc.",DHI,1.97%
"Williams-Sonoma, Inc.",WSM,1.8%
Essent Group Ltd.,ESNT,1.77%
Knight-Swift Transportation Holdings Inc. Class A,KNX,1.59%
Darling Ingredients Inc.,DAR,1.52%
Keurig Dr Pepper Inc.,KDP,1.48%
"CarMax, Inc.",KMX,1.45%
Humana Inc.,HUM,1.39%
Carrier Global Corp.,CARR,1.37%
UnitedHealth Group Incorporated,UNH,1.32%
FedEx Corporation,FDX,1.22%
Tempur Sealy International Inc,TPX,1.22%
"Best Buy Co., Inc.",BBY,1.22%
"XPO Logistics, Inc.",XPO,1.21%
"BJ\'s Wholesale Club Holdings, Inc.",BJ,1.17%
Cummins Inc.,CMI,1.15%
"Qorvo, Inc.",QRVO,1.15%
"Leggett & Platt, Incorporated",LEG,1.09%
Target Corporation,TGT,1.06%
Helen of Troy Limited,HELE,1.02%
Whirlpool Corporation,WHR,0.93%
KKR & Co. Inc.,KKR,0.92%
"Fortune Brands Home & Security, Inc.",FBHS,0.87%
"Gap, Inc.",GPS,0.83%
"NVR, Inc.",NVR,0.81%
U.S. Dollar,Other,0.1%
