DWMC: AdvisorShares Dorsey Wright Micro-Cap ETF
Inception Date: 2018-07-10
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2904
Shares Outstanding: 100000
Expense Ratio: 1.25%
Tracks This Index: n/a
ETFdb.com Category: Small Cap Growth Equities
Issuer: AdvisorShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DWMC


Holding,Symbol,Weighting
"Celsius Holdings, Inc.",CELH,3.35%
"Digital Turbine, Inc.",APPS,3.12%
"Five9, Inc.",FIVN,2.13%
Beam Global,BEEM,1.8%
"Kinsale Capital Group, Inc.",KNSL,1.66%
MUTUAL FUND (OTHER),Other,1.65%
"Ameresco, Inc. Class A",AMRC,1.42%
"XPEL, Inc.",XPEL,1.31%
"Goosehead Insurance, Inc. Class A",GSHD,1.25%
Twist Bioscience Corp.,TWST,1.23%
Novanta Inc,NOVT,1.16%
"Calix, Inc.",CALX,1.16%
Veracyte Inc,VCYT,1.15%
Ocular Therapeutix Inc,OCUL,1.15%
Kornit Digital Ltd.,KRNT,1.09%
"Infrastructure & Energy Alternatives, Inc.",IEA,1.09%
R1 RCM Inc,RCM,1.05%
"Kirkland\'s, Inc.",KIRK,0.99%
Freedom Holding Corp.,FRHC,0.94%
Silvergate Capital Corp. Class A,SI,0.92%
"TechTarget, Inc.",TTGT,0.92%
Camtek Ltd,CAMT,0.88%
OptimizeRx Corporation,OPRX,0.85%
"Marathon Patent Group, Inc.",MARA,0.85%
Riot Blockchain Inc,RIOT,0.84%
VOXX International Corporation Class A,VOXX,0.83%
Vista Outdoor Inc,VSTO,0.8%
American Superconductor Corporation,AMSC,0.76%
Addus HomeCare Corporation,ADUS,0.74%
Cambium Networks Corporation,CMBM,0.71%
"Liquidity Services, Inc.",LQDT,0.71%
"ClearPoint Neuro, Inc.",CLPT,0.7%
"Aviat Networks, Inc.",AVNW,0.69%
Perion Network Ltd,PERI,0.68%
"Surgery Partners, Inc.",SGRY,0.68%
"Pulse Biosciences, Inc.",PLSE,0.66%
"IES Holdings, Inc.",IESC,0.66%
"Avid Bioservices, Inc.",CDMO,0.65%
"TRACON Pharmaceuticals, Inc.",TCON,0.65%
"Castle Biosciences, Inc.",CSTL,0.64%
"RCI Hospitality Holdings, Inc.",RICK,0.63%
"Green Brick Partners, Inc.",GRBK,0.62%
Qumu Corporation,QUMU,0.62%
"Citi Trends, Inc.",CTRN,0.61%
"AXT, Inc.",AXTI,0.61%
Capstone Turbine Corporation,CPST,0.6%
"Lumber Liquidators Holdings, Inc.",LL,0.6%
UTZ Brands Inc Class A,UTZ,0.6%
