DWX: SPDR S&P International Dividend ETF
Inception Date: 2008-02-12
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	594859
Shares Outstanding: 16201000
Expense Ratio: 0.45%
Tracks This Index: S&P International Dividend Opportunities Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DWX


Holding,Symbol,Weighting
Total SE,FP,2.41%
Telenor ASA,TEL,1.7%
Canadian Imperial Bank of Commerce,CM,1.57%
"SK Telecom Co., Ltd.",017670,1.55%
BCE Inc.,BCE,1.54%
Commonwealth Bank of Australia,CBA,1.54%
TELUS Corporation,T,1.53%
Hanon Systems,018880,1.51%
Singapore Technologies Engineering Ltd,S63,1.5%
Red Electrica Corp. SA,REE,1.43%
Endesa S.A.,ELE,1.42%
Al Rajhi Bank,1120,1.41%
Shaw Communications Inc. Class B,SJR.B,1.41%
Zurich Insurance Group Ltd,ZURN,1.39%
United Utilities Group PLC,UU,1.38%
Enagas SA,ENG,1.37%
Algonquin Power & Utilities Corp.,AQN,1.36%
National Grid plc,NG,1.35%
"Bank of Communications Co., Ltd. Class H",3328,1.3%
Canadian Utilities Limited Class A,CU,1.29%
Helvetia Holding Ltd,HELN,1.29%
Tate & Lyle PLC,TATE,1.27%
Italgas SpA,IG,1.27%
TAG Immobilien AG,TEG,1.26%
Malayan Banking Bhd.,1155,1.25%
TC Energy Corporation,TRP,1.25%
Swiss Prime Site AG,SPSN,1.24%
Toronto-Dominion Bank,TD,1.22%
AusNet Services Limited,AST,1.22%
"MS&AD Insurance Group Holdings, Inc.",8725,1.22%
"Sankyo Co., Ltd.",6417,1.22%
Hang Lung Properties Limited,101,1.22%
Swisscom AG,SCMN,1.2%
Guangdong Investment Limited,270,1.19%
GlaxoSmithKline plc,GSK,1.18%
APA Group,APA,1.13%
Terna S.p.A.,TRN,1.13%
Rogers Communications Inc. Class B,RCI.B,1.12%
"Mega Financial Holding Co., Ltd.",2886,1.09%
Severn Trent Plc,SVT,1.09%
CLP Holdings Limited,2,1.08%
Sega Sammy Holdings Inc.,6460,1.08%
National Bank of Canada,NA,1.08%
Capital Power Corporation,CPX,1.07%
"Fubon Financial Holding Co., Ltd.",2881,1.07%
Spar Group Limited,SPP,1.07%
Toyota Motor Corp.,7203,1.07%
CTBC Financial Holding Company Ltd.,2891,1.06%
SGS SA,SGSN,1.06%
Baloise-Holding AG,BALN,1.06%
Royal Bank of Canada,RY,1.06%
Novartis AG,NOVN,1.05%
Unilever PLC,UNA,1.04%
Cembra Money Bank AG,CMBN,0.99%
Sun Life Financial Inc.,SLF,0.98%
Fortis Inc.,FTS,0.97%
LEG Immobilien AG,LEG,0.96%
Inter RAO UES PJSC,Other,0.96%
GPT Group,GPT,0.96%
Munich Reinsurance Company,MUV2,0.94%
MTR Corporation Limited,66,0.92%
Entra ASA,ENTRA,0.91%
Sino Land Co. Ltd.,83,0.88%
Vonovia SE,VNA,0.88%
"Chugoku Electric Power Co., Inc.",9504,0.87%
Danone SA,BN,0.86%
Banque Cantonale Vaudoise,BCVN,0.85%
"Electric Power Development Co., Ltd.",9513,0.85%
"China Merchants Bank Co., Ltd. Class H",3968,0.8%
Sonic Healthcare Limited,SHL,0.8%
UnipolSai Assicurazioni S.p.A.,US,0.79%
Orica Limited,ORI,0.79%
Gecina SA,GFC,0.79%
Spark New Zealand Limited,SPK,0.76%
"Taishin Financial Holdings Co., Ltd.",2887,0.75%
Kenedix Office Investment Corporation,8972,0.71%
Frontier Real Estate Investment Corporation,8964,0.71%
HKT Trust and HKT Ltd,6823,0.71%
Groupe Bruxelles Lambert SA,GBLB,0.7%
Grand City Properties SA,GYC,0.62%
Sekisui House Reit. Inc.,3309,0.61%
Allreal Holding AG,ALLN,0.59%
"E.SUN Financial Holding Co., Ltd.",2884,0.58%
Britvic plc,BVIC,0.56%
Daiwa House REIT Investment Corporation,8984,0.56%
PCCW Limited,8,0.55%
AEON REIT Investment Corp.,3292,0.54%
IRESS Limited,IRE,0.53%
Japan Real Estate Investment Corp.,8952,0.52%
Allied Properties Real Estate Investment Trust,AP.UT,0.49%
Moneysupermarket.com Group plc,MONY,0.49%
"Nippon Building Fund, Inc.",8951,0.47%
GLP-J REIT,3281,0.46%
Mori Hills Reit Investment Corporation,3234,0.44%
"Japan Logistics Fund, Inc.",8967,0.42%
Advance Residence Investment Corporation,3269,0.41%
"Japan Excellent, Inc.",8987,0.39%
Daiwa Securities Living Investment Corporation,8986,0.37%
Nippon Accommodations Fund Inc.,3226,0.37%
U.S. Dollar,Other,0.06%
State Street Institutional Liquid Reserves Fund,SSIXX,0.02%
Unilever PLC,ULVR,0.0%
