DXJ: WisdomTree Japan Hedged Equity Fund
Inception Date: 2006-06-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1602370
Shares Outstanding: 29550000
Expense Ratio: 0.48%
Tracks This Index: WisdomTree Japan Hedged Equity Index
ETFdb.com Category: Japan Equities
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DXJ


Holding,Symbol,Weighting
Toyota Motor Corp.,7203,5.11%
"Mitsubishi UFJ Financial Group, Inc.",8306,3.96%
Japan Tobacco Inc.,2914,3.41%
Takeda Pharmaceutical Co. Ltd.,4502,3.25%
"Sumitomo Mitsui Financial Group, Inc.",8316,3.1%
"Nintendo Co., Ltd.",7974,2.95%
Itochu Corporation,8001,2.53%
Mitsubishi Corporation,8058,2.32%
Tokyo Electron Ltd.,8035,2.18%
"Mizuho Financial Group, Inc.",8411,2.06%
"Chugai Pharmaceutical Co., Ltd.",4519,1.94%
Canon Inc.,7751,1.8%
"Honda Motor Co., Ltd.",7267,1.71%
"Tokio Marine Holdings, Inc.",8766,1.62%
DENSO CORPORATION,6902,1.45%
"Murata Manufacturing Co., Ltd.",6981,1.39%
Shin-Etsu Chemical Co Ltd,4063,1.18%
"Daiichi Sankyo Company, Limited",4568,1.12%
SoftBank Group Corp.,9984,1.11%
"Hitachi,Ltd.",6501,1.1%
Kao Corp.,4452,1.07%
Sumitomo Corporation,8053,1.06%
"Seven & I Holdings Co., Ltd.",3382,1.02%
Bridgestone Corporation,5108,1.0%
"Otsuka Holdings Co., Ltd.",4578,0.97%
Mitsubishi Electric Corp.,6503,0.93%
Astellas Pharma Inc.,4503,0.9%
"DAIKIN INDUSTRIES, LTD.",6367,0.85%
Panasonic Corporation,6752,0.85%
"Nomura Holdings, Inc.",8604,0.84%
Sony Corporation,6758,0.83%
"Kirin Holdings Company, Limited",2503,0.79%
"ENEOS Holdings, Inc.",5020,0.78%
"Dai-ichi Life Holdings,Inc.",8750,0.76%
Fujitsu Limited,6702,0.76%
Komatsu Ltd.,6301,0.69%
"Sumitomo Mitsui Trust Holdings, Inc.",8309,0.68%
"FAST RETAILING CO., LTD.",9983,0.68%
"Eisai Co., Ltd.",4523,0.65%
"Sompo Holdings,Inc.",8630,0.65%
"Asahi Group Holdings,Ltd.",2502,0.65%
Keyence Corporation,6861,0.61%
Nitto Denko Corp.,6988,0.61%
Fanuc Corporation,6954,0.58%
Kubota Corporation,6326,0.55%
Marubeni Corporation,8002,0.55%
Toyota Tsusho Corp.,8015,0.54%
Asahi Kasei Corporation,3407,0.54%
FUJIFILM Holdings Corp,4901,0.51%
INPEX CORPORATION,1605,0.51%
"Idemitsu Kosan Co., Ltd.",5019,0.47%
Suzuki Motor Corp.,7269,0.47%
SUBARU CORP,7270,0.47%
"Recruit Holdings Co., Ltd.",6098,0.45%
Nidec Corporation,6594,0.43%
"Shionogi & Co., Ltd.",4507,0.4%
Mitsubishi Chemical Holdings Corporation,4188,0.4%
HOYA CORPORATION,7741,0.39%
"Mitsubishi Heavy Industries, Ltd.",7011,0.38%
"ONO Pharmaceutical Co., Ltd.",4528,0.36%
Seiko Epson Corp.,6724,0.36%
Kajima Corporation,1812,0.35%
Trend Micro Incorporated,4704,0.35%
NEC Corp.,6701,0.34%
BANDAI NAMCO Holdings Inc.,7832,0.34%
OMRON Corporation,6645,0.32%
SMC Corporation,6273,0.32%
"Sumitomo Electric Industries, Ltd.",5802,0.31%
AGC Inc.,5201,0.31%
Dentsu Group Inc.,4324,0.3%
NTT DATA Corporation,9613,0.3%
Isuzu Motors Limited,7202,0.28%
TDK Corporation,6762,0.28%
Sysmex Corporation,6869,0.28%
"Toray Industries, Inc.",3402,0.27%
"Kyowa Kirin Co., Ltd.",4151,0.27%
"NIPPON EXPRESS CO., LTD.",9062,0.27%
Aisin Seiki Co Ltd,7259,0.26%
"Sekisui Chemical Co., Ltd.",4204,0.26%
"SBI Holdings, Inc.",8473,0.25%
Mitsubishi UFJ Lease & Finance Company Limited,8593,0.25%
"Sumitomo Chemical Co., Ltd.",4005,0.25%
Terumo Corporation,4543,0.25%
Suntory Beverage & Food Ltd.,2587,0.24%
Nissan Chemical Corporation,4021,0.24%
"Mitsui Chemicals, Inc.",4183,0.24%
Shimano Inc.,7309,0.23%
Advantest Corp.,6857,0.23%
Obayashi Corporation,1802,0.23%
TOTO Ltd,5332,0.23%
"Yamaha Motor Co., Ltd.",7272,0.23%
LIXIL Corporation,5938,0.23%
"Shiseido Company,Limited",4911,0.22%
"Rohm Co., Ltd.",6963,0.2%
"Mitsubishi Gas Chemical Company, Inc.",4182,0.2%
Disco Corporation,6146,0.2%
"Sumitomo Metal Mining Co., Ltd.",5713,0.2%
"Ajinomoto Co., Inc.",2802,0.2%
Oji Holdings Corp.,3861,0.19%
Unicharm Corporation,8113,0.19%
Tosoh Corporation,4042,0.18%
"Nissin Foods Holdings Co., Ltd.",2897,0.18%
"Brother Industries, Ltd.",6448,0.18%
"AMADA Co., Ltd.",6113,0.18%
"Daifuku Co., Ltd.",6383,0.18%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.18%
JSR Corp.,4185,0.17%
Olympus Corp.,7733,0.17%
Sojitz Corp.,2768,0.17%
"Kuraray Co., Ltd.",3405,0.17%
"Kansai Paint Co., Ltd.",4613,0.16%
Makita Corporation,6586,0.16%
Nippon Sanso Holdings Corporation,4091,0.15%
"Denka Co., Ltd.",4061,0.15%
Teijin Limited,3401,0.15%
"Koei Tecmo Holdings Co., Ltd.",3635,0.15%
