EBLU: Ecofin Global Water ESG Fund
Inception Date: 2017-02-15
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	23622
Shares Outstanding: 600000
Expense Ratio: 0.4%
Tracks This Index: Ecofin Water ESG Index
ETFdb.com Category: Water Equities 
Issuer: Tortoise Capital
Structure: 
ETF Home Page: https://etfdb.com/etf/EBLU


Holding,Symbol,Weighting
Ferguson Plc,FERG,7.81%
Geberit AG,GEBN,7.74%
"American Water Works Company, Inc.",AWK,7.57%
Xylem Inc.,XYL,7.56%
Veolia Environnement SA,VIE,5.36%
"Essential Utilities, Inc.",WTRG,4.38%
SUEZ SA,SEV,4.02%
Pentair plc,PNR,3.94%
United Utilities Group PLC,UU,3.76%
Severn Trent Plc,SVT,3.76%
A. O. Smith Corporation,AOS,3.71%
"Miura Co., Ltd.",6005,3.14%
"Tetra Tech, Inc.",TTEK,3.12%
Pennon Group Plc,PNN,2.74%
Georg Fischer AG,FI.N,2.65%
Guangdong Investment Limited,270,2.59%
Rexnord Corporation,RXN,2.38%
Aalberts N.V.,AALB,2.14%
Kurita Water Industries Ltd.,6370,2.04%
"Watts Water Technologies, Inc. Class A",WTS,1.67%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,SBS,1.47%
American States Water Company,AWR,1.47%
Evoqua Water Technologies Corp,AQUA,1.41%
"Badger Meter, Inc.",BMI,1.37%
California Water Service Group,CWT,1.33%
"Franklin Electric Co., Inc.",FELE,1.33%
Reliance Worldwide Corp. Ltd.,RWC,1.23%
Beijing Enterprises Water Group Limited,371,1.03%
"Mueller Water Products, Inc. Class A",MWA,0.98%
Sulzer AG,SUN,0.92%
SJW Group,SJW,0.92%
China Lesso Group Holdings Limited,2128,0.78%
Lindsay Corporation,LNN,0.7%
Middlesex Water Company,MSEX,0.64%
Uponor Oyj Class A,UPONOR,0.6%
First American Funds Inc X Government Obligations Fund,FGXXX,0.37%
METAWATER Co.Ltd.,9551,0.34%
China Water Affairs Group Limited,855,0.34%
York Water Company,YORW,0.31%
Aegion Corporation,AEGN,0.29%
Organo Corp.,6368,0.2%
Montrose Environmental Group Inc,MEG,0.18%
U.S. Dollar,Other,-0.3%
