EDOG: ALPS Emerging Sector Dividend Dogs ETF
Inception Date: 2014-03-27
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	22780
Shares Outstanding: 1000000
Expense Ratio: 0.6%
Tracks This Index: S-Network Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: ALPS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EDOG


Holding,Symbol,Weighting
Delta Electronics (Thailand) Public Co. Ltd.,DELTA,3.03%
Vedanta Limited Sponsored ADR,VEDL,2.24%
Grupo Mexico S.A.B. de C.V. Class B,GMEXICOB,2.22%
CEZ as,CEZ,2.19%
Falabella S.A.,FALABELLA,2.18%
Infosys Limited Sponsored ADR,INFY,2.14%
Enel Chile SA Sponsored ADR,ENIC,2.13%
Huadian Power International Corp. Ltd. Class H,1071,2.13%
Severstal PAO Sponsored GDR RegS,SVST,2.12%
Wipro Limited Sponsored ADR,WIT,2.1%
Ford Otomotiv Sanayi A.S.,FROTO,2.09%
Gazprom PJSC Sponsored ADR,OGZD,2.07%
Orbia Advance Corp. SAB de CV,ORBIA,2.07%
Exxaro Resources Limited,EXX,2.07%
Enel Americas S.A. Sponsored ADR,ENIA,2.05%
Magnit PJSC Sponsored GDR RegS,MGNT,2.05%
Kimberly-Clark de Mexico SAB de CV Class A,KIMBERA,2.04%
Dr. Reddy\'s Laboratories Ltd. Sponsored ADR,RDY,2.03%
Multichoice Group Ltd,MCG,2.03%
Legend Holdings Corporation Class H,3396,2.01%
PT Kalbe Farma Tbk,KLBF,1.99%
"PLDT, Inc.",TEL,1.99%
MMC Norilsk Nickel PJSC ADR,MNOD,1.97%
Sime Darby Bhd.,4197,1.97%
Aboitiz Equity Ventures Inc.,AEV,1.96%
"China Minsheng Banking Corp., Ltd. Class H",1988,1.96%
Promotora y Operadora de Infraestructura SA,PINFRA,1.96%
Intouch Holdings Public Company Limited,INTUCH,1.96%
Coca-Cola FEMSA SAB de CV Sponsored ADR Class L,KOF,1.95%
PT Indofood Sukses Makmur Tbk,INDF,1.95%
MISC Bhd,3816,1.95%
Genting Malaysia Bhd.,4715,1.95%
China Railway Signal & Communication Corp. Ltd. Class H,3969,1.93%
Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,1.93%
Globe Telecom Inc.,GLO,1.92%
Credicorp Ltd.,BAP,1.92%
Chemical Works of Gedeon Richter Plc,RICHT,1.91%
Petrobras Distribuidora SA,BRDT3,1.91%
Genting Bhd.,3182,1.89%
Yanzhou Coal Mining Co. Ltd. Class H,1171,1.88%
PT Adaro Energy Tbk,ADRO,1.87%
"Bumrungrad Hospital Public Co., Ltd.",BH,1.87%
Banco Santander (Brasil) S.A. Sponsored ADR,BSBR,1.86%
Sberbank Russia PJSC Sponsored ADR,SBER,1.86%
Telefonica Brasil S.A.,VIVT3,1.82%
BB Seguridade Participacoes SA,BBSE3,1.82%
Osotspa Public Co. Ltd.,OSP,1.77%
BTS Group Holdings Public Co. Ltd.,BTS,1.76%
Centrais Eletricas Brasileiras SA-Eletrobras,ELET3,1.72%
Top Glove Corporation Bhd.,7113,1.57%
U.S. Dollar,Other,0.22%
STATE STR INSTL INVT TR TREA PLUS INST,TPIXX,0.03%
