EDOW: First Trust Dow 30 Equal Weight ETF
Inception Date: 2017-08-08
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	71992
Shares Outstanding: 2647000
Expense Ratio: 0.5%
Tracks This Index: Dow Jones Industrial Average Equal Weight Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EDOW


Holding,Symbol,Weighting
"Goldman Sachs Group, Inc.",GS,3.67%
Visa Inc. Class A,V,3.51%
Apple Inc.,AAPL,3.51%
JPMorgan Chase & Co.,JPM,3.5%
UnitedHealth Group Incorporated,UNH,3.44%
Johnson & Johnson,JNJ,3.4%
Microsoft Corporation,MSFT,3.39%
"NIKE, Inc. Class B",NKE,3.39%
Caterpillar Inc.,CAT,3.37%
Walt Disney Company,DIS,3.36%
McDonald\'s Corporation,MCD,3.36%
Procter & Gamble Company,PG,3.35%
"Travelers Companies, Inc.",TRV,3.34%
"Dow, Inc.",DOW,3.32%
Intel Corporation,INTC,3.32%
Walmart Inc.,WMT,3.31%
Amgen Inc.,AMGN,3.31%
"Home Depot, Inc.",HD,3.31%
Walgreens Boots Alliance Inc,WBA,3.31%
International Business Machines Corporation,IBM,3.31%
"Cisco Systems, Inc.",CSCO,3.29%
"salesforce.com, inc.",CRM,3.29%
Coca-Cola Company,KO,3.28%
3M Company,MMM,3.28%
American Express Company,AXP,3.26%
Verizon Communications Inc.,VZ,3.24%
"Merck & Co., Inc.",MRK,3.24%
Honeywell International Inc.,HON,3.22%
Chevron Corporation,CVX,3.04%
Boeing Company,BA,2.92%
U.S. Dollar,Other,0.17%
