EEMS: iShares MSCI Emerging Markets Small-Cap ETF
Inception Date: 2011-08-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	243116
Shares Outstanding: 4600000
Expense Ratio: 0.69%
Tracks This Index: MSCI Emerging Markets Small Cap Index
ETFdb.com Category: Foreign Small & Mid Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EEMS


Holding,Symbol,Weighting
TCS Group Holding Plc Sponsored GDR Class A RegS,TCSG,0.42%
Sino-American Silicon Products Inc.,5483,0.38%
"21Vianet Group, Inc. Sponsored ADR Class A",VNET,0.36%
"HMM CO.,LTD",011200,0.34%
"Parade Technologies, Ltd.",4966,0.34%
Daqo New Energy Corp Sponsored ADR,DQ,0.31%
Crompton Greaves Consumer Electricals Ltd.,539876,0.3%
Voltronic Power Technology Corp.,6409,0.29%
Chinasoft International Ltd.,354,0.28%
"Weimob, Inc.",2013,0.27%
"Macronix International Co., Ltd.",2337,0.27%
Foschini Group Limited,TFG,0.26%
Voltas Limited,500575,0.26%
Simplo Technology Co. Ltd.,6121,0.25%
GCL-Poly Energy Holdings Limited,3800,0.25%
Chroma Ate Inc.,2360,0.25%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,0.24%
U.S. Dollar,Other,0.24%
Green Cross Corporation,006280,0.24%
Cholamandalam Investment and Finance Co. Ltd.,511243,0.24%
Srf Limited,503806,0.24%
Eneva S.A.,ENEV3,0.23%
"Genexine, Inc.",095700,0.23%
"Merida Industry Co., Ltd.",9914,0.23%
"Daelim Industrial Co., Ltd",000210,0.23%
Grupo Aeroportuario del Centro Norte SAB de CV Class B,OMAB,0.23%
Azul SA Pfd Registered Shs,AZUL4,0.22%
Tianneng Power International Limited,819,0.22%
Tripod Technology Corporation,3044,0.21%
"SINBON Electronics Co., Ltd.",3023,0.21%
"International Games System Co., Ltd.",3293,0.21%
Mouwasat Medical Services Co.,4002,0.21%
Radiant Opto-Electronics Corp.,6176,0.21%
Max Financial Services Limited,500271,0.21%
"SKC Co., Ltd.",011790,0.21%
Inari Amertron Berhad,0166,0.21%
DB HiTek Co. LTD,000990,0.2%
Eurobank Ergasias Services & Holdings SA,EUROB,0.2%
Companhia de Locacao das Americas,LCAM3,0.2%
LifeTech Scientific Corporation,1302,0.2%
Mando Corp,204320,0.2%
Ashok Leyland Limited,500477,0.2%
Metalurgica Gerdau SA Pfd,GOAU4,0.19%
"OCI Co., Ltd",010060,0.19%
Astral Poly Technik Limited,532830,0.19%
YDUQS Participacoes SA,YDUQ3,0.19%
"Teco Electric & Machinery Co., Ltd.",1504,0.19%
Mphasis Limited,526299,0.19%
"Elite Material Co., Ltd.",2383,0.19%
Walsin Lihwa Corporation,1605,0.19%
Cyrela Brazil Realty SA Empreendimentos e Participacoes,CYRE3,0.19%
"SK Materials Co., Ltd",036490,0.18%
Alpha Bank AE,ALPHA,0.18%
"Hansol Chemical Co., Ltd",014680,0.18%
Nan Ya Printed Circuit Board Corporation,8046,0.18%
Cogna Educacao S.A.,COGN3,0.18%
"Taiwan Fertilizer Co., Ltd.",1722,0.18%
"GeniuS Electronic Optical Co., Ltd.",3406,0.18%
AVI Limited Class Y,AVI,0.17%
Jindal Steel & Power Ltd.,532286,0.17%
Sundaram Finance Limited,590071,0.17%
National Bank of Greece S.A.,ETE,0.17%
"BNK Financial Group, Inc.",138930,0.17%
Southern Province Cement Co.,3050,0.17%
E Ink Holdings Inc.,8069,0.17%
ELAN Microelectronics Corp.,2458,0.17%
"Gigabyte Technology Co., Ltd.",2376,0.17%
Laurus Labs Ltd.,540222,0.17%
Mahindra & Mahindra Financial Services Ltd.,532720,0.17%
Banpu Public Co. Ltd. NVDR,BANPU.R,0.16%
BR Malls Participacoes S.A.,BRML3,0.16%
Atul Limited,500027,0.16%
Chong Kun Dang Pharmaceutical Corp.,185750,0.16%
Tianli Education International Holding Limited,1773,0.16%
LIC Housing Finance Ltd,500253,0.16%
Federal Bank Ltd. (India),500469,0.16%
"Makalot Industrial Co., Ltd.",1477,0.16%
"YFY, Inc.",1907,0.16%
"Flexium Interconnect, Inc.",6269,0.16%
IRB Brasil Resseguros SA,IRBR3,0.16%
MYTILINEOS S.A.,MYTIL,0.16%
Qualicorp Consultoria e Corretora de Seguros S.A.,QUAL3,0.16%
"Kiwoom Securities Co., Ltd",039490,0.16%
AARTI Industries Ltd,524208,0.16%
Godrej Properties Limited,533150,0.16%
"Ecopro BM Co., Ltd.",247540,0.16%
Banco Inter SA Units Cons of 1 Sh + 2 Pfd Shs,BIDI11,0.16%
Sistema PJSFC Sponsored GDR RegS,SSA,0.15%
"IRPC Public Co., Ltd. NVDR",IRPC.R,0.15%
Tata Power Company Limited,500400,0.15%
Petro Rio SA,PRIO3,0.15%
Life Healthcare Group Holdings Limited,LHC,0.15%
Bursa Malaysia Bhd.,1818,0.15%
"POYA International Co., Ltd.",5904,0.15%
Qisda Corporation,2352,0.15%
"ASPEED Technology, Inc.",5274,0.15%
"Lotes Co., Ltd",3533,0.15%
Oscotec Inc.,039200,0.15%
"eMemory Technology, Inc.",3529,0.15%
Supreme Industries Limited,509930,0.15%
Bata India Ltd,500043,0.15%
Leeno Industrial Inc.,058470,0.15%
China Petrochemical Development Corporation,1314,0.15%
Ramco Cements Limited,500260,0.15%
Adani Gas Ltd.,542066,0.15%
Varun Beverages Ltd.,540180,0.15%
Mindtree Limited,532819,0.15%
"TA Chen Stainless Pipe Co., Ltd.",2027,0.15%
Alchip Technologies Ltd.,3661,0.15%
TIME dotCom Bhd.,5031,0.15%
LS Corp.,006260,0.14%
IDFC First Bank Ltd.,539437,0.14%
"Great Wall Enterprise Co., Ltd.",1210,0.14%
"Doosan Fuel Cell Co., Ltd.",336260,0.14%
Taiwan Surface Mounting Technology Corp.,6278,0.14%
NATCO Pharma Limited,524816,0.14%
AIA Engineering Limited,532683,0.14%
"United Integrated Services Co., Ltd.",2404,0.14%
Indian Hotels Co. Ltd.,500850,0.14%
"Tong Hsing Electronic Industries ,Ltd.",6271,0.14%
Xintec Inc.,3374,0.14%
Sappi Limited,SAP,0.14%
Exide Industries Limited,500086,0.14%
Com2us Corporation,078340,0.14%
King\'s Town Bank,2809,0.14%
Vodafone Idea Ltd,532822,0.14%
IJM Corp. Bhd.,3336,0.14%
"WONIK IPS CO., LTD.",240810,0.14%
Transmissora Alianca De Energia Eletrica S.A. Unit,TAEE11,0.14%
Cia de Saneamento do Parana SA - Sanepar Units Cons of 1 Sh + 4 Pfd Shs,SAPR11,0.14%
"KCE Electronics Public Co., Ltd. NVDR",KCE.R,0.13%
"Supalai Public Co., Ltd. NVDR",SPALI.R,0.13%
Fortress REIT Ltd Class A,FFA,0.13%
Duratex S.A.,DTEX3,0.13%
Boubyan Petrochemical Co. (K.S.C.),BPCC,0.13%
Lien Hwa Industrial Holdings Corporation,1229,0.13%
PT Tower Bersama Infrastructure Tbk,TBIG,0.13%
Fleury SA,FLRY3,0.13%
Emami Limited,531162,0.13%
"Hanall Biopharma Co., Ltd.",009420,0.13%
Coromandel International Limited,506395,0.13%
Pick N Pay Stores Limited,PIK,0.13%
Qatar Navigation QSC,QNNS,0.13%
Dalmia Bharat Ltd.,542216,0.13%
"United Renewable Energy Co., Ltd.",3576,0.13%
Barloworld Limited,BAW,0.13%
"Dongjin Semichem Co., Ltd",005290,0.13%
Corporacion Inmobiliaria Vesta S.A.B. de C.V.,VESTA,0.13%
Human Soft Holding Co. KSCC,HUMANSOFT,0.13%
Aeroflot-Russian Airlines PJSC,AFLT,0.13%
momo.com Incorporated,8454,0.13%
BizLink Holding Inc.,3665,0.13%
Redefine Properties Ltd.,RDF,0.13%
Navin Fluorine International Limited,532504,0.13%
Tata Communications Limited,500483,0.13%
China Airlines Ltd.,2610,0.13%
PT Aneka Tambang Tbk,ANTM,0.13%
Fideicomiso PLA Administradora Industrial S de RL de CV,TERRA13,0.13%
"Taichung Commercial Bank Co., Ltd.",2812,0.13%
Rostelecom PJSC,RTKM,0.13%
Light S.A.,LIGT3,0.13%
Embraer S.A.,EMBR3,0.13%
My E.G. Services Bhd.,0138,0.13%
Ever Sunshine Lifestyle Services Group Limited,1995,0.13%
Manappuram Finance Limited,531213,0.13%
RBL Bank Ltd.,540065,0.13%
Grupo Argos S.A.,GRUPOARGOS,0.13%
Sanofi India Limited,500674,0.13%
Syngene International Ltd.,539268,0.13%
La Comer SAB de CV Ctf de Participacion Ordinario Cons of 3 Shs -B- + 1 Sh -C-,LACOMERUBC,0.13%
Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd  A,USIM5,0.12%
Glenmark Pharmaceuticals Limited,532296,0.12%
Detsky mir PJSC,DSKY,0.12%
Truworths International Limited,TRU,0.12%
MMG Ltd.,1208,0.12%
Nexteer Automotive Group Limited,1316,0.12%
Taiwan Union Technology Corporation,6274,0.12%
Hannstar Display Corp.,6116,0.12%
EDP - Energias do Brasil S.A.,ENBR3,0.12%
KCC Corporation,002380,0.12%
Jiumaojiu International Holdings Ltd.,9922,0.12%
"Daewoong Co., Ltd.",003090,0.12%
Locaweb Servicos de Internet SA,LWSA3,0.12%
"Hyundai Mipo Dockyard Co., Ltd",010620,0.12%
"LOTTE Fine Chemical Co,. Ltd.",004000,0.12%
Asseco Poland S.A.,ACP,0.12%
"Hanssem Co., Ltd",009240,0.12%
"Merry Electronics Co., Ltd.",2439,0.12%
General Interface Solution (GIS) Holding Ltd.,6456,0.12%
"LegoChem Biosciences, Inc.",141080,0.12%
FIBRA Macquarie Mexico,FIBRAMQ12,0.12%
"L & F Co., Ltd.",066970,0.12%
Bolsa Mexicana de Valores SAB de CV Class A,BOLSAA,0.12%
Feng Hsin Steel Co. Ltd.,2015,0.12%
Yang Ming Marine Transport Corp.,2609,0.12%
Marfrig Alimentos SA,MRFG3,0.12%
"Sam Chun Dang Pharm. Co., Ltd.",000250,0.12%
"Iljin Materials Co., Ltd.",020150,0.12%
ITEQ Corporation,6213,0.12%
"Prologis Property Mexico, S.A. de C.V.",FIBRAPL14,0.12%
Grupo Cementos de Chihuahua,GCC,0.12%
"Mezzion Pharma Co., Ltd.",140410,0.12%
"Soulbrain Co., Ltd.",357780,0.12%
"Hanwha Aerospace Co., Ltd.",012450,0.12%
DGB Financial Group Co Ltd,139130,0.12%
Epistar Corporation,2448,0.12%
"Eternal Materials Co., Ltd.",1717,0.12%
Qassim Cement Co.,3040,0.12%
IndiaMART InterMESH Ltd.,542726,0.12%
Tata Chemicals Limited,500770,0.12%
Chipbond Technology Corporation,6147,0.12%
MiTAC Holdings Corp.,3706,0.12%
MRV Engenharia e Participacoes S.A.,MRVE3,0.12%
"Cellivery Therapeutics, Inc.",268600,0.12%
"Hugel, Inc.",145020,0.12%
"Compeq Manufacturing Co., Ltd.",2313,0.12%
Global Unichip Corp.,3443,0.12%
Dongyue Group Limited,189,0.12%
"MedPacto, Inc.",235980,0.12%
Fortis Healthcare Ltd.,532843,0.12%
China Grand Pharmaceutical and Healthcare Holdings Ltd,512,0.12%
"Doosan Infracore Co., Ltd",042670,0.12%
Dixon Technologies (India) Ltd.,540699,0.12%
Tube Investments of India Limited,540762,0.12%
Escorts Limited,500495,0.12%
WHA Corporation Public Company Limited NVDR,WHA.R,0.11%
CESP - Companhia Energetica de Sao Paulo Class B,CESP6,0.11%
HYUNDAI BIOSCIENCE CO. LTD.,048410,0.11%
China Steel Chemical Corporation,1723,0.11%
"Helixmith Co., Ltd.",084990,0.11%
Amara Raja Batteries Limited,500008,0.11%
Public Power Corporation S.A.,PPC,0.11%
Fu Shou Yuan International Group Ltd.,1448,0.11%
"HLB Life Science Co.,Ltd.",067630,0.11%
Intercorp Financial Services Inc.,IFS,0.11%
Dhani Services Ltd,532960,0.11%
Scientex Bhd.,4731,0.11%
"EO Technics Co., Ltd",039030,0.11%
Carlsberg Brewery Malaysia Bhd.,2836,0.11%
"Regional, S.A.B. de C.V. Class A",RA,0.11%
Huabao International Holdings Limited,336,0.11%
Yamamah Saudi Cement Co.,3020,0.11%
Netcare Limited,NTC,0.11%
Hyundai Development Co.,294870,0.11%
Gujarat Gas Ltd.,539336,0.11%
Sao Martinho S.A.,SMTO3,0.11%
Yinson Holdings Bhd.,7293,0.11%
Dr. Lal PathLabs Limited,539524,0.11%
"Taiwan Secom Co., Ltd.",9917,0.11%
CS Wind Corp.,112610,0.11%
CAP S.A.,CAP,0.11%
Doha Bank,DHBK,0.11%
Linx SA,LINX3,0.11%
Parque Arauco S.A.,PARAUCO,0.11%
Cummins India Limited,500480,0.11%
"Hyundai Department Store Co., Ltd",069960,0.11%
Qatar Insurance Co.,QATI,0.11%
PixArt Imaging Inc.,3227,0.11%
Air Arabia PJSC,AIRARABIA,0.11%
"King Yuan Electronics Co., Ltd.",2449,0.11%
