EFAS: Global X MSCI SuperDividend® EAFE ETF
Inception Date: 2016-11-14
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	9583
Shares Outstanding: 650000
Expense Ratio: 0.55%
Tracks This Index: MSCI EAFE Top 50 Dividend Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EFAS


Holding,Symbol,Weighting
Pandora A/S,PNDORA,3.87%
Fortescue Metals Group Ltd,FMG,2.95%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,2.58%
Covivio SA,COV,2.48%
OMV AG,OMV,2.32%
Legal & General Group Plc,LGEN,2.31%
Actividades de Construccion y Servicios SA,ACS,2.3%
Marubeni Corporation,8002,2.22%
BASF SE,BAS,2.21%
Swiss Re AG,SREN,2.19%
Scentre Group,SCG,2.18%
Japan Retail Fund Investment Corporation,8953,2.18%
Klepierre SA,LI,2.16%
Rio Tinto plc,RIO,2.14%
Zurich Insurance Group Ltd,ZURN,2.13%
EDP-Energias de Portugal SA,EDP,2.12%
ageas SA/NV,AGS,2.11%
Fortum Oyj,FORTUM,2.11%
"Naturgy Energy Group, S.A.",NTGY,2.08%
Wartsila Oyj Abp,WRT1V,2.05%
NN Group N.V.,NN,2.05%
M&G Plc,MNG,2.04%
Telecom Italia Rsp,TITR,2.02%
Standard Life Aberdeen PLC,SLA,2.02%
SoftBank Corp.,9434,2.01%
Power Assets Holdings Limited,6,1.98%
Vodafone Group Plc,VOD,1.96%
Aurizon Holdings Ltd.,AZJ,1.96%
Assicurazioni Generali S.p.A.,G,1.94%
Snam S.p.A.,SRG,1.92%
British American Tobacco p.l.c.,BATS,1.91%
Poste Italiane SpA,PST,1.88%
Endesa S.A.,ELE,1.87%
Hochtief AG,HOT,1.83%
Phoenix Group Holdings plc,PHNX,1.82%
Total SE,FP,1.79%
Spark New Zealand Limited,SPK,1.79%
Swire Pacific Limited Class A,19,1.79%
Repsol SA,REP,1.75%
Eni S.p.A.,ENI,1.7%
GALP Energia SGPS SA Class B,GALP,1.67%
Royal Dutch Shell Plc Class A,RDSA,1.66%
Imperial Brands PLC,IMB,1.66%
Japan Tobacco Inc.,2914,1.61%
PCCW Limited,8,1.56%
Proximus SA de droit public,PROX,1.54%
Telefonica SA,TEF,1.52%
Enagas SA,ENG,1.48%
BP p.l.c.,BP,1.36%
HKT Trust and HKT Ltd,6823,1.25%
Repsol S.A. Rights 2020-08.01.21 For Shs,Other,0.06%
U.S. Dollar,Other,-0.11%
