EFAV: iShares Edge MSCI Min Vol EAFE ETF
Inception Date: 2011-10-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	10648100
Shares Outstanding: 144700000
Expense Ratio: 0.2%
Tracks This Index: MSCI EAFE Minimum Volatility Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EFAV


Holding,Symbol,Weighting
Novo Nordisk A/S Class B,NOVO.B,1.53%
Roche Holding Ltd,ROG,1.51%
Givaudan SA,GIVN,1.49%
Swisscom AG,SCMN,1.48%
"Chugai Pharmaceutical Co., Ltd.",4519,1.46%
Coloplast A/S Class B,COLO.B,1.44%
Nestle S.A.,NESN,1.43%
Novartis AG,NOVN,1.42%
Hermes International SCA,RMS,1.27%
Unilever PLC,ULVR,1.11%
Kerry Group Plc Class A,KRZ,1.09%
Wesfarmers Limited,WES,1.07%
Woolworths Group Ltd,WOW,1.07%
Deutsche Telekom AG,DTE,1.06%
CLP Holdings Limited,2,1.04%
EMS-CHEMIE HOLDING AG,EMSN,1.03%
Power Assets Holdings Limited,6,0.96%
National Grid plc,NG,0.96%
MTR Corporation Limited,66,0.96%
Hong Kong & China Gas Co. Ltd.,3,0.95%
"SG Holdings Co., Ltd.",9143,0.94%
Sanofi,SAN,0.93%
"Oriental Land Co., Ltd.",4661,0.93%
Groupe Bruxelles Lambert SA,GBLB,0.89%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.87%
Keyence Corporation,6861,0.86%
GlaxoSmithKline plc,GSK,0.83%
QIAGEN NV,QIA,0.82%
"Nippon Prologis REIT, Inc.",3283,0.78%
Nippon Telegraph and Telephone Corporation,9432,0.76%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.73%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.73%
"Hang Seng Bank, Limited",11,0.71%
SoftBank Corp.,9434,0.71%
RELX PLC,REL,0.7%
Admiral Group plc,ADM,0.68%
"Secom Co., Ltd.",9735,0.68%
Zurich Insurance Group Ltd,ZURN,0.66%
Elisa Oyj Class A,ELISA,0.65%
Schindler Holding AG,SCHN,0.64%
"Kintetsu Group Holdings Co., Ltd.",9041,0.62%
Link Real Estate Investment Trust,823,0.62%
Orsted,ORSTED,0.62%
Koninklijke Ahold Delhaize N.V.,AD,0.62%
Air Liquide SA,AI,0.61%
Orange SA,ORA,0.6%
East Japan Railway Company,9020,0.6%
AstraZeneca PLC,AZN,0.59%
"Mizuho Financial Group, Inc.",8411,0.59%
HKT Trust and HKT Ltd,6823,0.59%
Baloise-Holding AG,BALN,0.58%
Sonic Healthcare Limited,SHL,0.58%
Kuehne & Nagel International AG,KNIN,0.56%
Canon Inc.,7751,0.55%
NEC Corp.,6701,0.55%
L\'Oreal SA,OR,0.54%
Commonwealth Bank of Australia,CBA,0.53%
"Toyo Suisan Kaisha, Ltd.",2875,0.52%
Merck KGaA,MRK,0.52%
Beiersdorf AG,BEI,0.52%
UCB S.A.,UCB,0.51%
Singapore Exchange Ltd.,S68,0.51%
Carlsberg A/S Class B,CARL.B,0.51%
Direct Line Insurance Group Plc,DLG,0.5%
Singapore Telecommunications Limited,Z74,0.5%
DiaSorin S.p.A.,DIA,0.5%
Singapore Technologies Engineering Ltd,S63,0.49%
Tryg A/S,TRYG,0.49%
West Japan Railway Company,9021,0.49%
"Nitori Holdings Co., Ltd.",9843,0.48%
Jardine Matheson Holdings Limited,J36,0.48%
"Nagoya Railroad Co., Ltd.",9048,0.48%
Royal Vopak NV,VPK,0.47%
"Yamada Holding Co., Ltd.",9831,0.47%
Orkla ASA,ORK,0.46%
Swiss Prime Site AG,SPSN,0.46%
KDDI Corporation,9433,0.46%
"Welcia Holdings Co., Ltd.",3141,0.45%
Snam S.p.A.,SRG,0.45%
Bank Leumi Le-Israel Ltd.,LUMI,0.44%
Genmab A/S,GMAB,0.44%
"Chugoku Electric Power Co., Inc.",9504,0.44%
Suntory Beverage & Food Ltd.,2587,0.43%
Etablissementen Franz Colruyt N.V.,COLR,0.43%
"Japan Post Bank Co., Ltd.",7182,0.43%
