EFNL: iShares MSCI Finland ETF
Inception Date: 2012-01-25
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	29078
Shares Outstanding: 650000
Expense Ratio: 0.53%
Tracks This Index: MSCI Finland IMI 25/50 Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EFNL


Holding,Symbol,Weighting
Neste Corporation,NESTE,13.16%
Kone Oyj Class B,KNEBV,11.93%
Nokia Oyj,NOKIA,9.35%
Sampo Oyj Class A,SAMPO,8.33%
Stora Enso Oyj Class R,STERV,4.92%
UPM-Kymmene Oyj,UPM,4.89%
Fortum Oyj,FORTUM,4.8%
Kesko Oyj Class B,KESKOB,3.61%
Elisa Oyj Class A,ELISA,3.58%
Metso Outotec Oyj,MOCORP,3.32%
Huhtamaki Oyj,HUH1V,2.66%
Orion Oyj Class B,ORNBV,2.6%
Nokian Renkaat Oyj,TYRES,2.52%
Wartsila Oyj Abp,WRT1V,2.42%
Valmet Corp,VALMT,2.16%
TietoEVRY Oyj,TIETO,1.92%
Konecranes Oyj,KCR,1.39%
Metsa Board Oyj Class B,METSB,1.27%
Cargotec Oyj Class B,CGCBV,1.16%
Kemira Oyj,KEMIRA,1.12%
Kojamo Oyj,KOJAMO,0.97%
Outokumpu Oyj,OUT1V,0.97%
Sanoma Oyj,SAA1V,0.96%
Uponor Oyj Class A,UPONOR,0.95%
Musti Group Oyj,MUSTI,0.84%
Tokmanni Group Oyj,TOKMAN,0.83%
Neles Oyj,NELES,0.79%
YIT Oyj,YIT,0.72%
Finnair Oyj,FIA1S,0.71%
Aktia Bank plc Class A,AKTIA,0.64%
Caverion Oyj,CAV1V,0.63%
Citycon Oyj,CTY1S,0.61%
Basware Oyj,BAS1V,0.58%
MUTUAL FUND (OTHER),Other,0.57%
Rovio Entertainment Oyj,ROVIO,0.56%
F-Secure Oyj,FSC1V,0.55%
Oriola Corp Class B,OKDBV,0.45%
U.S. Dollar,Other,0.23%
Revenio Group Oyj,REG1V,0.2%
Admicom Oyj,ADMCM,0.13%
